,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Loans Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,"Machinery, Furniture and Equipment","Flight, Fleet, Vehicle and Related Equipment","Furniture, Fixtures and Office Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Other Loans, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
Preferred Stock,0.00866277858504438,-0.005691486312696248,-0.02914006428619788,-0.014456246082589226,0.015910108352426934,-0.0025627472068604188,0.05150409352328776,0.02788319606389674,0.02193104181755119,0.01556098303956725,0.03443588915008762,0.04745708167706113,0.013245611193530026,0.001959403631530997,-0.005067578208638326,0.021773530009074286,0.013761838313174974,0.059304637966832385,0.028722343771719547,0.01675037094791413,-0.00351048900414193,0.008811093472965603,0.030182711827864358,0.020053248417607535,0.0010618068569543618,-0.014969339755332363,-0.01651504240188988,-0.0020486365778855575,-0.01758067015128092,0.08098182305539509,0.012921673098056112,0.015394776110783511,0.042958164116147876,0.013933247031630926,0.017337774239010888,0.05699924185267674,0.03252070619223839,0.03417065984145688,0.06486446653081765,0.05629589211899207,0.05325992011190817,-0.0009921851574811822,0.034188336098532904,0.0223013084696798,0.05856224899576574,0.0682180406189813,-0.029403121700905144,0.07887301943105865,0.034375574707288165,0.12564403369919835,0.10351376930559003,-0.004013071129000258,0.08876886518348985,-0.02055675551198438
Retained Earnings,0.1004606233355481,0.0792227615906467,0.016265676488794026,0.009410818100404563,-0.02273096065985718,0.007297210633683681,0.007982210559660098,0.03221707221221157,0.040559731054691454,0.025522626878402576,0.01766493219140412,-0.020186981250491995,0.08427988431319759,0.0194242586609704,0.035243765269909626,0.029719411015032733,0.04081905495695518,-0.027694518212621064,0.005965666848322023,0.027060295680529388,0.04704272153773883,-0.02404935465330983,0.05194123695548972,0.031916324451707105,0.04486475571026668,0.005310931077684575,0.003651382463143077,0.04791461648004325,-0.000343248261966161,0.050786686275598625,0.03011302425298419,0.03522510840513772,0.12410315432135362,0.04044064599673557,0.035293390527353516,0.0711892909164641,-0.008615834430608052,-0.0110407308429454,-0.013965814155004802,-0.007743071252447917,-0.023832796568544805,0.027437081605103462,-0.007408393613484082,-0.00988251738427388,-0.0053265318765540505,-0.004875310025398876,0.014371702064799917,0.024388092127200195,-0.011545877291588309,-0.006959121947229149,-0.010460683715188674,0.008413861945356852,0.6811777042955641,0.09328801727141973
Accumulated other comprehensive income (loss),0.03690030980752556,0.03680475663888566,-0.015379883685646967,0.00021579626343844237,0.01058189895573716,0.03277019491892784,0.10956606997491962,0.010529181172366226,0.03429620733767892,0.0057829033940666906,0.03880044931714104,0.06252000176789252,0.056337636667961495,0.0001774655104160184,0.01117722815259806,-0.012334423840865746,0.016738128543298005,0.02960907428778501,0.07081252753767325,0.014311622925117009,0.04176742285380972,0.10969722111367747,0.1006800552676994,0.11249533710079265,0.06817366985396993,0.020949189220454405,0.033546233606856726,0.047224448711012904,0.037889845189057844,0.06707133279802464,0.037081513198748625,0.043458617399305635,0.08933746790054431,0.04508206603912103,0.014591702039266066,0.0967421274705911,0.05925431014786366,0.056653113768290464,0.01189746556046971,0.0532980713972136,0.06357488916474828,0.07051902935237572,0.10676798980137515,0.052287953752249684,0.004853645383979117,0.06484499897726449,-0.03680737289405903,-0.0013419080353671967,0.002399445370041502,0.012540840611290838,0.010954364820555743,-0.011957164253635091,0.18049226306629307,0.189333642636003
Additional Paid-In Capital,0.009379687586885541,0.038000806838717927,0.0928089269483014,0.02580414546521153,0.05496310452779136,0.017567198985786455,-0.0002659851053734047,0.05262286887735569,0.03354994238431391,0.034831092510636014,0.0695200153336167,0.06080856530290645,0.05237182889359967,0.029041367872096477,0.04207022397423739,0.001162364164832168,0.02102704632314899,-0.023416463770366786,-0.03057678707847793,0.026059687538347965,0.040395622915447196,0.013997933980334177,0.01693423592518393,0.05225292501571974,0.05257723487983211,0.005049932832746224,0.009989168379684596,0.042141775126716935,0.002428890597804597,0.02098892034012504,0.005534124566256795,0.023704399341715185,0.07193071912071865,0.04862388323832871,0.0321196806647326,0.06728896769616628,0.01638893006526175,0.03324534531968223,-0.0029462098547434,0.013364027825526398,-0.00016925018683975972,0.07340446959955749,0.007394497344595297,0.035833479149220554,0.005766586888759199,-0.0011685316381420516,0.04433970869373687,0.04653669163441002,0.28275025385200764,0.08725790327268151,-0.005658123030133893,0.1942195283171312,0.022773822120351728,0.028949056510843743
Treasury Stock,0.08416174812956165,0.044781367052844336,0.025437875716911803,-0.02367251226348625,-0.0037051874009423175,0.05607161960885071,0.038613420644134554,0.015098303413918442,0.011972512765654203,0.06775592818787556,0.09721952561849118,0.015052671857984335,0.011803895738831265,-0.0059518549703558195,-0.01576906079167877,0.010480888433986094,-0.04426537746177323,0.009587386984045996,0.017374726341272833,-0.027425325335480207,-0.017440619080584165,0.0028057058750893447,0.022157212248718607,-0.009829369382991065,-0.018723750137715798,-0.027625693577184772,-0.0268315074658296,-0.01609210243663701,-0.027324528660934023,0.053776644762660156,0.035522786937451624,0.03979343565094056,0.008401271544920689,0.07309907918290502,0.07558914718802992,0.052726278511718516,0.03275363892380674,0.03627311477111125,0.10285322230068437,0.10924726376275617,0.04238895974488484,0.016867527908487223,0.017123686067557802,0.0103645950808067,0.037851671553969124,0.05238644653123978,-0.008596420326317591,0.025201710539196693,0.014735196288685979,0.09873460821915576,0.10432331576683665,-0.03601920021725996,0.05520893389593983,-0.020798594894795363
Other Stockholders Equity,0.06404759206004516,0.05510408693106308,0.06311962884089631,0.0666733671479174,0.01223086973709367,0.06457418722066867,0.031189160610637364,0.05772530558375171,0.1212890803287634,0.05055818513350578,0.08370311280782548,0.021641540948981422,0.04517401970122236,0.06987939674691589,0.08155355727109072,0.06246246090076596,0.06551391119547836,0.025600862730308458,0.055162981862863336,0.07955937873924977,0.12000398644211058,0.02535394972169678,0.032670026042634075,0.07589642520906656,0.06245336054896182,0.041979598279479904,0.03948435514734673,0.08456006753089709,0.06221895843334574,0.028721758004798113,0.08300433094843385,0.0881848171694143,0.0907346886719027,0.09822310613836156,0.06986739761199166,0.03180104392525003,0.03846346423814722,0.03799876647705573,0.02243889675469352,0.0388626743429321,0.06675919497704091,0.06980933040914387,0.04115407826482973,0.027750390568610575,0.030678008153956517,0.07652233607013104,0.13986142415648462,0.35340656776557583,0.015068033199027388,0.07874190191250602,0.0824491999020062,0.09742977129841367,0.03764716046936426,0.056093128354980926
Total Stockholders Equity,0.1547124595255084,0.14947093310404702,0.06578370533163888,0.07822988914319803,0.009695148679888231,0.0545323198284172,0.02685192568345369,0.06261692394973031,0.06751244449777195,0.06320612479967398,0.06476714247023749,0.012950310178937375,0.10074472640032096,0.08258215713340192,0.0942437259524978,0.057499063718614137,0.05430479062518504,0.02412886032094215,0.0320369547098074,0.06918077032590617,0.09283685519731662,0.013617568341943873,0.013549412840499346,0.07227963481211701,0.05763777759404263,0.039149923100195994,0.03789728081824824,0.07896941453719186,0.04119243750550809,0.025198066124322967,0.10183830730810639,0.1157324850599429,0.06995827101653254,0.0645843466050069,0.0668334650169448,0.02346413716442721,0.021132605230890274,0.02958470935710475,0.01765804638998102,0.02911512841776942,0.016930262702753416,0.09132525514279352,0.02337235063271839,0.03240204241974538,0.02352429434443915,0.026771849338586937,0.20629090272451267,0.2917983100591316,0.02759116075730358,0.09717542504024189,0.08161394927678449,0.11194746894841709,0.020600709199480916,0.04755101689345118
Minority Interest,-0.008772946626731911,0.01960009530630765,0.017703264216680732,-0.007301639336730288,-0.012469296666369081,0.016689242733140472,0.008426347223556285,0.03738288538572922,0.027452968881153308,0.027565283293321526,0.009050791965116737,0.012082836025634022,0.02716924268952791,0.007681209009207285,0.02626477322137376,0.026596184493632165,0.02450671199130168,-0.02054831718165909,-0.017093681344161414,0.002271145849135887,0.014442697890054186,0.010112874756792685,0.018954374181321485,0.019142668410737893,0.02126222386441548,0.0055771104450588315,2.0290588568322183e-05,0.004348319187451653,0.008882021789431043,-0.0027939335676003423,0.006658373713245817,0.018909272647324112,0.022256945039496486,0.019467783664897976,0.021277851563976494,0.008506423568423042,0.008805154437165053,0.00411786495050837,0.008926797338929789,0.007513476269955413,-5.700746748886227e-05,0.040703696685178904,0.00888523078203181,0.008489060189454825,0.012549972646399845,0.008303501150210418,0.030225973206231146,0.02958962588823602,0.01834036162370892,0.012688439762267098,0.014874502717211937,0.018984464330217325,0.015978924847876462,0.01403353782188584
Total Equity,0.16028394822238584,0.14956045652755456,0.05865634233598288,0.07028965625943637,0.006261191331904586,0.04584782772552564,0.027389510076484352,0.055975546415451556,0.06511647805098635,0.05657424804384489,0.05704715379133484,0.007589121024978479,0.09527131414651749,0.08165478882991879,0.10151067692465722,0.06396309063965167,0.05688937517295819,0.02413086973934304,0.02781304752384586,0.07153799160031139,0.09187840348136624,0.0022864530102561518,0.004712322819749103,0.04943894230298992,0.0554321288235957,0.03471654388377528,0.030880753121276323,0.07222767679939376,0.029694364700860933,0.014362062889100975,0.1135275136498871,0.10789691190367881,0.04561619011789576,0.06352213275738582,0.053385594865000566,0.026261792840248013,0.027678630052939728,0.02548865566890786,0.02247302184351142,0.02382176902643224,0.01595728954104729,0.06699593670552767,0.032522543224936494,0.026634434851123514,0.017658432074661664,0.029264353412476934,0.9242560716660783,0.12811452572421175,0.04326593937630206,0.13033409651854488,0.09975652666399037,0.06327166290304256,0.011684004236594617,0.037707909799772246
Equity-to-Asset.1,0.17564094953716747,0.20023055106993654,0.16472794056021609,0.11473058425840753,0.04269554367140197,0.06671949725403341,0.04426518358853962,0.0897181059910229,0.08375008617679985,0.06820016336575695,0.08957460098038086,0.04811801138150658,0.20677592168545275,0.11691558188555529,0.11428534513272648,0.0666274379138917,0.07569494963141156,0.056308837881190246,0.04228350003259833,0.07190273984055343,0.09756065838635959,0.04468458565904611,0.03292221816954841,0.06468135611927989,0.06085996438397476,0.09199671941130147,0.0867968258250314,0.09176767125394109,0.08364999007599465,0.1647388063241984,0.08406452798703244,0.09589170168182923,0.041511523858026936,0.0765836844116511,0.07222400003312568,0.05390331066686898,0.05305465031419046,0.11736012255445645,0.07443687574412033,0.06842836573686145,0.044305379319212614,0.11200191232572249,0.03579381791272036,0.0676859811609059,0.03935562064322847,0.06492523923387393,0.20070516062734078,0.18399831045163723,0.031106033585261542,0.1166394601484332,0.09844112215343867,0.07646966891612739,0.0023718993609824187,0.05646050474234853
Net Income From Continuing Operations,0.00042839318105240116,-0.003360253820477096,0.006059820321529433,0.007879117354795073,-0.016462644748819154,0.011609019387708277,0.010063779927145912,0.02792931013250519,0.03424591934931263,0.012689068519597592,0.044847670674535246,-0.006690326232607733,0.0011184854504212697,0.029252072391320622,0.03316655500155592,0.008813553658647676,0.03339028120329079,0.007326569699137369,0.003889492715801047,0.03649112296706434,0.05317942841252347,0.05157553411312599,0.04538457581824227,0.07723573046258102,0.06009577123660373,0.05171103574552511,0.03176081705812786,0.04179902461436788,0.05943772051161273,0.0032676063845408134,0.011065130253600853,0.045172148595348405,0.04471196435085758,0.03373726632121906,0.03127329051917676,0.009632347526936137,0.007998530584209233,0.030947042117080773,-0.012274099303457287,0.0028510372999012257,-0.008245637336991449,0.018595431234338645,0.005415216810080798,0.028300693333596718,0.01542985412118998,0.0018324358579355948,-0.0008213203415812061,0.011364965044476368,0.01671738641230778,0.0014470537123944796,0.007767140842725615,0.020241954772265335,0.07975094884998178,0.03790297676448671
"Depreciation, Depletion and Amortization.1",-0.003048143493895973,-0.005211697010333383,0.03007171169770932,0.02380309214022607,-0.00398487497066439,0.030949914721656802,0.019177015919070967,0.03398732060572105,0.032403417535892286,0.026987247950845106,0.0740013512800571,0.011868097208346461,0.0368989659484143,0.04107446988882829,0.049387841553565,0.027903208353997098,0.058839053582668006,0.04403575438544283,0.04447644942679416,0.04727193324752613,0.06859224549709951,0.2596837660262286,0.2903959285525664,0.30831461705754754,0.12483798768730031,0.09592739500139302,0.09751414528131618,0.14738685763885914,0.08451990830140965,0.08220633206660775,-0.008539115732549207,0.024771772976154856,0.06228839259627404,0.06462236330398735,0.04343122101406302,0.005406182523853319,0.014237171253513004,0.061639617161905184,-0.014810758625907255,0.02539683545573388,-0.011190176731867438,0.04915368042855764,0.013240647645410044,0.0538377735736786,-0.011882165114609194,0.015559331180890975,0.009563875954756391,0.02465756794913674,-0.03953268035456823,-0.037293761176102516,-0.03273412510497198,0.03132275400761661,0.05594445182273345,0.09455414300582068
  Change In Receivables,0.0027069697938620994,0.02656222151078114,0.08359863846410162,0.0935637164128596,0.03125045118805315,0.09593974393241825,0.10309033608192682,0.16997570838444237,0.1368777372275001,0.1401251631551836,0.11366521102418159,0.046471040359646325,0.02714772206194092,0.03225638294501402,0.046484058451281424,0.04612025354358725,0.06806736165147087,-0.02472123229809678,-0.013684453668991377,0.03863981975075349,0.06151446714889439,0.052229161469509046,0.053542885231561976,0.12770991779299387,0.05079725591044776,-0.006506285639576942,0.0013023355908552254,0.05445171182113904,-0.0050988398921089795,0.021623474440075462,0.03589500328911732,0.047025576617988486,0.13410750743474484,0.13869524956832602,0.13727529839514263,0.0637145704364335,-0.000127057594691612,-0.003548679014419625,-0.010234730372171813,0.07971544438750162,-0.00617001383688748,0.048162932479450596,-4.698124982485566e-05,-0.005333684779569103,-0.00321501265477414,7.855123863150675e-05,0.02522230503343347,0.053072467173664845,0.018634861872222176,-0.014508385174382472,-0.006852845967678088,0.02722257743694543,0.013046725920906294,0.11842596164102695
  Change In Inventory,0.07449877714853337,0.036932759894930875,0.049734999893248505,0.046298466289943004,-0.0006770138362324215,0.0971844975083824,0.033441070635305124,0.0725771205978577,0.0867613270766378,0.10549393774682075,0.07658816810263147,0.030408205712196656,0.034040118421570814,0.025273565938757923,0.04050754467491087,0.03450996595260248,0.09202902377513393,0.04475660806591295,0.046271056559429175,0.06889197735364998,0.06363462137223627,0.017226640414768686,0.0195275219948894,0.048986981033221064,0.06535334288773183,0.06272859090406584,0.027258661686117003,0.04148577316498013,0.03109014582305369,0.03544843397732404,0.07273661318624933,0.11192338446597676,0.09700369574620615,0.12900750172675932,0.061085827352853436,0.03350039099699941,0.03553987115566832,0.04437428860842743,0.032848791504003105,0.037002221736279255,0.020781042708381985,0.05531164501009769,0.03242278849612314,0.039640381882340155,0.030060680397430137,0.03501947867824822,0.047031478996131304,0.05544982187505354,0.040161282245776926,0.01769825122206048,0.019447741540528564,0.04459710306241366,0.027565905400028866,0.05191335384864267
  Change In Prepaid Assets,0.10207093809044467,0.07833829975325567,0.056148244102850846,-0.009835170416718301,-0.0028914479797033255,0.057769578889469486,0.038407724949012824,0.0683177860010431,0.008504253854668931,0.06014945294755416,0.06448632677071642,0.09935255355890904,0.09323387104844753,0.008669934008127043,0.01451672503108316,0.008315201024684712,0.028972553330324294,0.02512494245465254,0.02199639912929902,-0.0011380822828070938,0.01813672467582386,0.029767204678503467,0.08063365824313327,0.07586804626863766,-0.0019932590005497064,0.0020645782410000572,-0.004333929041033393,0.013857927204402244,-0.014266853759994046,0.10092415460502306,0.025344205431008092,0.09650904303986675,0.07820592784271065,0.0717027439682494,0.059923995460975224,0.10536181292986468,0.10556544541623734,0.10760545940186196,0.09828322654624003,0.0955228858056892,0.09748527342840752,0.06903445872541308,0.10333958508779195,0.10688618700077979,0.10956606997491962,0.10668669373480337,-0.00781636910675512,-0.0005187737513660711,0.0654143099792054,0.025845354415827804,0.034114315893368975,0.038300322554978734,0.07466844379106628,0.07274563246140213
  Change In Payables And Accrued Expense,0.0007257666332521088,0.009811525749553102,0.07384856293637299,0.07081035986621084,0.053355973134288734,0.08994097384126287,0.10303024922454308,0.07867841824075844,0.08651116247309588,0.07773337920541433,0.06978612916904536,0.09619676294004786,0.006519260636823872,0.01901689980895337,0.03490997408892776,-0.012760538488763417,0.0425631357554447,0.04134236024943136,0.0719343295651533,0.05489740152487477,0.04420935352370982,0.051752848507113085,0.07377500918360917,0.004718371161874587,0.03789398153824435,0.008495137203426723,0.008013324036827148,0.03563621485252705,0.009457244786752547,0.09490645423452748,0.07231333910721383,0.09784680878863686,0.27133441757855475,0.09913148606444674,0.09768436536374762,0.24572901860662924,0.1047317484286114,0.05226643527720466,0.05447063150631435,0.11993453761324195,0.09598923191932131,0.06982431740618306,0.10540103270194191,0.059779630793410025,0.056109358414531504,0.05545953162544785,-0.0245040075770776,0.017237905295075153,0.10197272246356737,0.00977708500234637,0.013035287231463208,0.02777238021239198,0.1826350907909833,0.07479891098529554
  Change In Other Working Capital,0.10100645005905898,0.06392135055958237,0.13511547767724635,0.07029439344172038,0.045078134644620675,0.1838776796475431,0.08100832888381301,0.09444190400305062,0.13745721174572298,0.08042176632359843,0.09981226368902263,0.07481987817528964,0.09189270629721345,0.07122820560480149,0.08332661188471902,0.08611241800511155,0.1107521889908909,0.09152873006858286,0.05154752238394942,0.11383929210915346,0.141558619849469,0.044475987715492216,0.03002203956973991,0.11549702564508675,0.11076541047736703,0.047352969444536167,0.04446485941438736,0.11032703921434263,0.0694760724805437,0.07661111786134243,0.11558864903123645,0.12132003820590864,0.10548032839069968,0.2257600227778983,0.10665628028398745,0.08184723236582442,0.0870852316128005,0.12450095647106195,0.049343697987522535,0.08320122767654226,0.11455046589464209,0.121805938478806,0.08787257007794501,0.12415866833389501,0.09110909273003356,0.11185607042783838,0.06915550588086337,0.07613289894433463,0.12320795931312803,0.109115355674518,0.009160038581603722,0.10431916272455315,0.007849358751228419,0.1114679818991189
Change In Working Capital,0.10380757238986997,0.08939396095075497,0.13548223199638376,0.07875954766347909,0.049953559489530786,0.06041737023932807,0.0915779367419763,0.10636667629596559,0.1091525131618319,0.0885118030000903,0.10805073406100914,0.0761378699586316,0.09552303559481384,0.07584351397999334,0.08977816516507937,0.08419795482683967,0.11253118508052028,0.09911468613608329,0.04590267938794471,0.10573964612108241,0.11151013716218233,0.06819656813770074,0.05379340995997847,0.10787638094979937,0.1016600390110437,0.04256591492576638,0.02666260219095427,0.094806645808717,0.026415978986754934,0.08712380758010253,0.1183196465599405,0.12720228598360522,0.11075892288052369,0.09533450645663426,0.10516752261049664,0.08809510126661729,0.09562076020543504,0.12957716545654388,0.053699763150793674,0.0879257434201383,0.08602958288552119,0.108983011691918,0.090590681204859,0.1314508038056509,0.10510878785825532,0.08936967161413527,0.09086207804462992,0.0971359710637069,0.13819877687143725,0.1336899075816607,0.017681442568602893,0.10795787671448615,0.0073625249327979175,0.08372296253678606
Deferred Tax,0.08170465340351005,0.05746124766511634,0.025967722114013183,0.03090506514928168,0.0014775772426467325,0.04419365015175764,0.07248443849494908,0.04227030295098595,0.05111620267171048,0.06923313041654978,0.07481878492214977,0.010660926807345476,0.027716330991595664,0.01965997799813834,0.043003340629805736,0.04953546744752817,0.028545161527172045,-0.006337393622985698,-0.012107027027798643,0.01353532276592302,0.011789531247787572,0.0003469904051077175,0.009883543502340265,0.035462917238347054,0.03170119376638841,0.013285044479694382,0.016656600373300273,0.03665607317998811,0.012313389933875294,0.10194892568604517,0.0710677882675481,0.08831265842850115,0.09209894530491415,0.04899860528964302,0.04580742272653714,0.017812876930245417,0.022941204905235848,0.03015427730414024,0.04542760966944384,0.026607491960389782,0.022217915062544412,0.031065109300383687,0.024127539898236464,0.025915206370999144,0.02514543337412589,0.029000636194690146,0.0584337449728393,0.0490070460585487,0.023726849691881047,0.021767832378611608,0.014811516918281552,0.033341555852349644,0.020313126170594963,0.015992723526989248
Stock Based Compensation,0.02895741055214914,-0.006115554262086464,-0.006400104201795838,0.004785208452381895,0.01829483086963343,-0.0021791907467668074,0.05146514102909522,0.022032987231793318,0.016996848418951594,0.008947280372617168,0.030109727727520047,0.041435098119291074,-0.00235773588184188,-0.002699072284871583,0.014091681270650473,0.006633257395437856,0.010052935487496866,0.021041783210644715,0.049456886733633944,-0.008404760126888077,0.015282462953791388,0.0367199649623687,0.05097288814352232,0.03488502508379925,0.04590040683638273,0.0016345341183697664,-0.007020164814863771,0.003090906910690529,0.0077157313380623715,0.05503704981767724,0.028764283323677763,0.04066372718609487,0.037166333216898426,-0.0005993201201314026,0.013431248315868298,0.053268750264360815,0.050262788229069176,0.0710655902223156,0.049169200244858234,0.05390154501965476,0.042634259918566994,0.018004702411899692,0.049504429671377394,0.07031440045358779,0.06119686651554802,0.05794288619113923,0.014346118131578364,0.06877385152210748,0.042814481814903334,0.12202794811914079,0.12344478205293258,0.042929663508768444,0.07395174122015684,0.030122872943555857
Asset Impairment Charge,0.1017973037782791,0.08343898509280331,-0.00045228663142497056,0.005003978108841847,0.01829483086963343,0.00034330229186354914,0.049555439020220686,0.025154603885294485,0.022619901154082436,0.006211226869078101,0.03782706963174028,0.036043069794278584,0.10040219840735197,0.012598883893236712,0.021252035116191344,1.0739326083815393e-05,0.06145990794964384,0.039610290032873106,0.05706511107835695,-0.0007710808691138936,0.03657713996461861,0.10652859962356502,0.05917378787038534,0.04477396952532871,0.023223744256847055,-0.0021697300736612094,-0.025351002736518757,-0.005602833250785511,0.05316914628688885,0.10994531571022749,0.06962236093721007,0.10899810371280785,0.08777542307856841,0.006781613361564401,-0.001845154783749713,0.10474302388288367,0.10056783946178324,0.111318409716305,0.11455491753878842,0.05417143546240566,0.10704555607683784,0.08876924541452634,0.106559868753241,0.06352381712559788,0.06275506928356732,0.03429684446770264,-0.02110576986399908,0.010680053855526637,0.04214627861000523,0.028831367527142538,0.03027283068746036,0.0007775357447777553,0.07010898775045205,0.06501708539319424
Cash from Discontinued Operating Activities,-0.008589734711144048,-0.016568872757741163,0.07260798243839542,0.06542731314062972,0.41827106503669575,-0.009003960224239077,0.04154189771046962,0.007898951898144912,0.003256248734599683,0.02786316215595132,0.05207414920748239,0.11255671076515872,0.06838517622779476,0.007333198225696058,0.01984028737827092,-0.020682149878777967,-0.013411216089654773,0.05382665775610365,0.05121170365971754,0.0032163355493359646,0.02760112313857931,0.020533952901098322,0.0005570379128157269,0.05070863234195785,0.02482802621854994,-0.015809473624853472,-0.006224111650933934,0.011406450883885446,0.008199380655884053,0.036815346028454835,0.03630527639755326,0.04108967744832894,0.10279138139549916,0.01787448775557097,0.06957863000980469,0.10538281241246215,0.059866146909185056,0.0545996031520976,0.01158172725685826,0.04418278199535405,0.04975506171964813,0.020340808626344773,0.05162967009502064,0.06554498148907034,0.021153573845625648,0.04544895809194608,-0.01844182966940846,0.004157060971844775,0.0243072860656121,0.01127545930950785,0.01252311796028528,0.0016531980420588155,0.11102773121211165,-0.01594218991916918
Cash Flow from Others,0.03917141806418332,0.008871218715027218,0.07541725692366713,0.10162496931610449,0.44435263412175213,0.10038714747974099,0.013194654459392587,0.02179804297338889,0.04328572278505942,0.06201975623208437,0.010016506032187343,0.07540371462584516,0.006170590257285826,0.009046254605090271,0.01962215012722484,0.018692438485963768,0.004252059665733151,-0.004837065947974072,0.02064627330102862,0.005246424465898957,0.05575324720114946,0.022228456810246662,0.022558976166069816,0.02769502305938324,0.025605374185150277,0.008309805773039877,0.017629404350612082,0.0216135814201829,0.025252639285824115,0.0422295897032225,0.04500790967402803,0.054559276908186,0.011769722374948157,0.11371421286607589,0.073206798688341,0.014769143785988181,0.013142171547799763,0.044897914856494046,0.011710767447708584,0.041621056534864524,0.05417361577550562,0.021444023619010943,0.013370215533332114,0.04537264990044373,0.04661510931255613,0.060073257860531894,0.021802712753585626,0.023729178505273035,0.02895613428092138,0.023137315231657282,0.027384162400279202,0.011042470482587573,-0.003993537799953751,0.014917423540949513
Cash Flow from Operations,0.0352523722157765,0.06928626450963264,0.08291093373725242,0.10067094006019255,0.41491566527153356,0.018351996359538554,-0.016194477175456523,0.020619732711253197,0.03050921968506903,0.0857881659639326,0.007541521690675416,0.011850370667461271,0.07979758646502888,0.024854989482601748,0.031689786872864625,0.027521096238838687,0.01434491243139386,0.000657446611467093,0.0167163368577338,0.030235589628071713,0.04557235342434275,0.036013619105112686,0.04850014535763558,0.0616172695889994,0.05676783502626511,0.03577299754664014,0.035346577304521856,0.046047161556371626,0.04800458168416333,0.009749790629606955,0.036788789348298434,0.04635746114172838,0.06263466690469494,0.09607650054378855,0.09712240272993625,-0.0029253098153661093,4.8375952082873284e-06,0.03088543046453952,-0.013310269664678565,-0.014737444196530558,-0.0029040339021368855,0.02376740870610101,0.00031180038511914804,0.032266445009788175,0.0036333892850261614,0.005451632288472324,-0.004443345162382749,0.014985064226746872,-0.00046699736875832794,0.001965436189045293,0.008251285525769937,0.017732632785743496,0.03397277372336031,0.013185420198835975
"Purchase Of Property, Plant, Equipment",0.08002676125172142,0.09775793336174275,0.13057741179639104,0.13094904252527803,0.06389096108262765,0.11228393783924857,0.1332179094029789,0.11427709050167914,0.12056981360026377,0.12211071908834223,0.18435340747569315,0.13200880434048465,0.10920016532676527,0.3270115603556411,0.3757976981335017,0.18277968680464968,0.20067773477637085,0.23216177916037653,0.1620853003361103,0.161530294176362,0.34846544363154136,0.12446292543803344,0.09719343872377742,0.15874054807224525,0.20830717846888389,0.18691054877762547,0.11056088746421694,0.15028069408263198,0.17408870322614756,0.1307639866389366,0.11407874840284053,0.16794078641177523,0.16770367163181849,0.1316090356565839,0.13097882536384894,0.12681141997572568,0.12832333571293092,0.15044602465651066,0.09930482910923813,0.12859796356453707,0.11554353181046616,0.13104973346292934,0.12924054337034158,0.1485845226674615,0.07129673264875082,0.12183776896800844,0.1206219367231198,0.14027504648733,0.03714610397060752,0.03575816728525397,0.03856321889460172,0.10569772271706054,0.10864998482472259,0.11241179597687882
"Sale Of Property, Plant, Equipment",-0.031934511711526926,0.030410792521486436,0.04802692678137685,0.04734025034114157,-0.01882125667190932,0.027277340307978536,0.0030352814957375408,0.06751089654358376,0.026648355045242333,0.039454188053321224,0.038050283008984026,0.005224771848542358,0.025513788099309632,0.24941928650766468,0.28079044597781383,0.03425382699361688,0.060138690975101106,0.10719934510052775,0.04352800161730607,0.06987260794254135,0.25492724624109886,0.02340418770561198,-0.0032768108647997516,0.08029351655796757,0.11689394084996953,0.10719657627356151,0.04545129069906938,0.06058289568251741,0.07419770742830775,0.00566216988433213,-0.015075473693407834,0.01684228851270677,0.01580560018809126,0.032457055716731256,0.03609072014812613,0.0025900323884823174,0.003303798549241689,0.006441674982919787,-0.006182595695846181,0.004335709978009719,-0.0005519048764527589,0.04713572466620729,0.003760490782668533,-0.0024322513888754295,-0.010088341755355265,-0.0010059859025842329,0.051812962018746356,0.07686998159641781,-0.02016889981190101,-0.019859375496349675,-0.015895231254345308,0.022599559244970518,-0.016527801517222898,0.015116216274506019
