,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current",Other Current Assets,Total Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
Pre-Tax Income,0.008622419185422364,0.044328429108145315,0.00633627218290502,-0.005165216662880214,-0.00413983973344001,0.010586957279408228,0.032197288094727716,0.003349590605452982,0.08513321566813963,0.02151606496173013,0.03956139858639039,0.0416741118924492,0.002626775163368078,0.0042206133762846855,-0.006110491511134109,-0.013437463078055932,0.032166249787052646,0.04194805558553181,0.07587265171317165,0.01980098526536606,0.038268888786194284,0.009011554962248598,0.07837052701913189,-0.004687459980130357,0.009718637388484126,0.04003932822004952,0.019515701708879715,0.031722375240370186,0.03520458568889291,0.0845457211450511,0.07589383565761923,0.0385460240090996,0.03862611871121629,0.02378131475019594,0.02996054213133817,0.02815051804170677,0.0537353404436582,0.018923172011051616,0.009917781089974232,0.03570495128279962,0.13521084543641693,0.07000199683982743
Tax Provision,0.031613403459999606,0.08702125688045655,0.012552867451590188,0.011471863488310398,0.014682477136761119,0.027741672192529446,0.2919746350234038,0.021543021939958752,0.03236117127157866,0.02228564623056659,0.08979536893848176,0.08713416848970273,0.0657915131036314,0.028135453601289447,-0.006606137530299263,0.0022248500907018926,0.07600905715493973,0.08716611658540689,0.03874931573394824,0.05153327462977231,0.04974483338091942,0.035261610337492096,0.13617678676928474,-0.009891123778151796,0.036621699446484766,0.10526433596573839,0.13623901356490137,0.042383915060065,0.12070086888155888,0.10751161263774428,0.10614030582358877,0.055641544134290316,0.08230415004751578,0.05541926887365798,0.04267364133378629,0.07346648774175489,0.08661957408410675,0.040876912555528805,0.012431298832256046,0.00721422742422239,0.055791676593555294,0.044572003241899076
Tax Rate %,0.004654134863546265,0.03986322437547608,0.017649979962947766,0.01674235925949887,0.011642809141921649,0.040529524379329517,0.08198991203063138,0.027099388465741597,0.06712611527846625,0.020174150956109225,0.049389705614526005,0.051890120007792855,0.03740863403270841,0.03695296681221073,-0.014348739138007903,-0.010214381358181306,0.03819157785243014,0.038842306831558815,0.01020814712894945,0.052279472474863135,0.028204260186678366,0.051032581807143464,0.11509820079750535,-0.01347057709262794,0.021351912559751603,-0.025748400910291118,0.03901719310383995,0.052095783948545644,0.0025780003668346503,0.035546003840200874,0.02756964586644521,0.03141029376680222,0.036427630164594514,0.028598216072147825,0.025423649629597065,0.03794405146896887,0.019043346350474475,0.030859653914428263,0.02530585370259657,0.013911341534274979,0.047119012057151285,0.028002881367227467
Net Income (Continuing Operations),0.0035470816975466733,0.06030787900808228,0.0023573817399730984,0.0006951081393822328,-0.0036132145036354944,0.04320687816445123,0.008835634818776987,-0.000551662858548276,0.11268281327260168,0.013802906245148894,0.06016837980752488,0.058438591141931416,0.046287390913721464,0.03750119038311053,0.007000239597490226,-0.004025461937949099,0.0141859732558175,0.046577915998650056,0.12392322136811637,0.05426368680602557,0.04633933816942188,0.011242063359513206,0.021778233681863587,-0.006019180047612543,-0.0016370114525581041,0.06572250197042825,0.022616875333436162,0.025486659621897056,0.06096354033689875,0.012007456872769821,-0.004518100774956494,0.02430915267719684,0.01789736728445593,0.047799852432761594,0.01789110233162097,0.013080017653563182,0.02648784820953706,0.0257062894278327,-2.871562832121961e-05,0.0658346652435648,0.1548801340947246,0.07955743159172268
Net Income (Discontinued Operations),0.010319466970959937,0.05705852362411518,-0.012289317218887407,0.001178587087941791,-0.02047305232256645,0.033093028290629295,0.04116034876143077,0.00021081753554263744,0.07840559316677123,0.005076813163919922,0.09326142419529672,0.03534306728086374,0.041687019381250176,0.03393090167823387,0.04923493149215548,0.046337307385764144,0.018620457516279817,0.032421533940372484,0.10345074772370827,0.033865901683234736,0.038448884280612376,0.024194729326560128,0.016952414667500852,0.047895663795120405,0.01578072388403165,0.041551544245873005,0.021898858957940134,0.0007182552301024962,0.04356849040977972,0.05461884880290079,0.05475087371998848,0.008278863050869171,-0.003068981019225395,0.042029126332621,-0.003743458179449258,0.0014832433351332553,0.02626063355578153,0.03275021861504876,0.01386128362601143,0.05768502208715357,0.1102936083286079,0.0596590689956691
  Other Income (Minority Interest),0.023620620823967722,0.06338268410649335,0.08136539229370607,0.06155278220023974,0.03625493974909171,0.09136070539484906,0.06869502817040662,0.1038941348622397,0.17211092873759232,0.1026462782949012,0.0806591744966354,0.08551009110748099,0.10644308215421246,0.06392674236539572,0.09605094293764123,0.04478692921056358,0.062373569001853126,0.07694043260622126,0.15325601125464933,0.10597118510876445,0.06882532605261267,0.07410145929835715,0.07705919201796625,0.055274304560867134,0.028084535754366063,0.06446070241828446,0.06137171268841256,0.0669334263700797,0.10537232242744715,0.10732622219092143,0.10816775742867289,0.1175175722974814,0.07527702057173137,0.08880550631618388,0.04466388721519862,0.04356624232961317,0.08136274427974102,0.028921478066409042,0.02668487667423861,0.10810461254479996,0.17523161468474338,0.11933092460082317
Net Income,0.023007737176408468,0.05677335974792379,0.005006056665894151,-0.004702661064969978,-0.014891842692818473,0.014441895310528616,0.017330638700548625,0.0013027057008655907,0.08757500963466072,0.025801183175426696,0.04992458905424608,0.06194000221714703,0.04059116651889182,0.03982517114307193,0.004782944225734565,-0.01863157827623335,0.015811669375011658,0.05425215926045881,0.07835605645762013,0.011825748485166243,0.030447876797992345,0.0053461673687298285,0.03379101815539415,-0.0031018574877683443,0.007293465727678215,0.01304202448358944,0.005439226353953803,0.006324573912632765,0.016268322546918082,-0.012084375049099627,-0.005602884302733823,0.030992712552437053,0.04979255664012713,0.024847815335367795,0.016419182626113703,0.0268174479762903,0.07504244528798894,0.018198466282282937,0.008736883524705771,0.07018276197871705,0.15563492130098816,0.08542983455064442
Net Margin %.1,0.011051064858055525,0.048590090885613106,0.013705446503535768,0.010314699231522702,0.010262481255851023,0.009744791877096428,-0.007563206179201804,0.025046783223476185,0.03775108920658825,0.03177449352948005,0.042763672561687935,0.04772985590174889,0.01610561969527816,0.011808735709477375,0.011169296188005093,-0.0013067056871384158,0.010149708543095824,0.04611055209854807,0.009886895180038312,0.013822788898536647,0.011548800626559393,0.029208080024796114,0.015405672707074384,0.005275297968601149,0.010542883334999708,0.013059422369616026,0.037469113467034354,0.03542619406446806,0.01028759731447089,0.009577114366437985,0.011785771816051966,0.044582079574465576,0.040056542583685316,0.029030834842525156,0.028684780920290528,0.011553166380893902,0.04329117789900551,0.03572020103610034,0.06386864756827447,0.004247166134899451,0.015424819330041533,0.046748419600184096
Preferred Dividends,-0.03398698663686129,0.037276025186656236,0.0009311049217310668,0.000367795778544293,-0.021317683698031664,0.023112185673402716,0.038191874534844954,0.01062086743802007,-0.008966331904345176,0.013904054789292294,0.03995985185056666,0.038915669136429465,0.04911055325097688,0.03787852284790484,0.014904590324617505,0.1075098200896245,0.027289990298649713,0.03979100885850409,0.037581319595041365,0.03942934219594055,0.03605360800199901,-0.01734753013762601,0.03519517768002054,0.05248901623213819,-0.0005443254912612609,0.03968299033847926,0.022627341842708152,0.025005113306629842,0.047649198484233726,-0.02614047646411812,0.00319039888276155,0.022887919463254632,-0.008984748789180628,0.022288392394578152,0.01568955503588234,-0.01329413292347546,-0.01494194002597378,0.038200420146587304,0.014464932756232608,0.061102606343462276,0.051177257284170066,0.04384545587183618
EPS (Basic),0.11705147692882008,0.08065753259207746,0.043130745633537644,0.050408278109932765,0.04324510722860482,0.04393183717713267,0.07159552442350131,0.07831095114457648,0.030173380625586478,0.1071054543840434,0.03579151787139116,0.007652602352725116,0.025366558429293785,0.084375549865041,0.020611672000240208,0.05450214914716315,0.05510539080863043,0.05220384134723812,0.060776172066628414,0.05283798236321653,0.041015385643097174,0.09240038673247608,0.08935368598004272,0.05590311170154761,0.07783492294288324,0.07684108645795125,0.07572160638584616,0.06163928102675982,0.07815956188956925,0.06152590898164191,0.06916729159416499,0.07272995126234386,0.07133591038941879,0.04942274768599515,0.10075625580344597,0.05873963929492701,0.09553881524842117,0.030327934277412722,0.1428871100114106,0.08204734985277477,0.056549773203615816,0.05517470551409894
