,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current",Other Current Assets,Total Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
  Current Deferred Taxes Liabilities,-0.014478313327558789,0.07126237554645817,-0.00688206491628846,-0.0023825442150013417,-0.019909020224507103,0.05572111026943111,0.08685726853061328,0.08168318631300507,0.06853158623544785,0.043875606460837956,0.059171092473555474,0.03264477117760388,0.03934959980892197,0.03924644091857053,0.0831965329441291,0.07648155134737498,0.11478209715712988,0.08255987328247211,0.10838441883857206,0.06476541844364708,0.10684958556729976,0.11411853019698408,0.08140615568691396,0.09306118073610477,0.07359371241747523,0.04784230769942032,0.03241889629087988,0.113765788607831,0.06020372731196364,0.20072504678456343,0.19531508502870099,0.10283342641107207,0.006403514961043175,0.058807050545479855,-0.01971618617309284,-0.0033094089941277656,0.001713829220730548,0.0152302169352182,0.02061694167743015,0.0659440693787647,0.08954983155090557,0.04624283572420185
DeferredTaxAndRevenue,-0.029325600493550506,0.044802132910765124,0.003380552459637186,-0.005184647967853819,-0.02017646107460517,0.02778004287012934,0.05129938960006763,-0.006765425770165211,0.005996693608216644,0.020549899546665442,0.04502468979281271,0.05199681455327714,0.026022569723366085,0.04650276483225046,0.05963890138192472,0.05426581061302981,0.010781408581363769,0.05289500455084298,0.038111383540072714,0.0450667440392389,0.04542768107877582,0.027543220490107493,0.04958533790967063,0.05429609323599603,0.005357577551955157,0.0321605402093651,0.002417843493362659,0.028424525568409957,0.0253412150178521,0.007446026173141183,0.002794766821413261,0.021716721826565193,0.01157512162992325,0.04502542943947763,-0.004732333307950864,-0.027946016860943872,0.0009300727099815992,-0.018860938330048455,0.01552407767963941,-0.006086830651990483,0.04405523559115997,0.03723959378542135
Other Current Liabilities,0.06750803003058503,0.18087817530504566,0.016185327853362182,0.031443883912296244,0.008260061768293627,0.10078960921502352,0.0926791496495161,0.1256837046693625,0.1299681068427073,0.13044314549240096,0.1840505790207553,0.06549917319263186,0.05635367271400195,0.059785530238406305,0.06021879755172474,0.04535398024430302,0.39671651607175223,0.6120776944706546,0.1672886770020725,0.17960893176816659,0.17922951355928066,0.11537071640232353,0.1101470927042741,0.9465599004130112,0.3145989853680253,0.08350285338976567,0.039680888810952386,0.28571329919882243,0.09579042110598801,0.30021258177859883,0.10234019315110401,0.5452080473781626,0.060586452548199485,0.08346984903414101,0.04081424469703904,0.03323832477961138,0.018707421040105646,0.0030607020072361568,0.003679297406231118,0.09367725178759233,0.1412197689072967,0.09751653541453954
Total Current Liabilities,0.13098200202114033,0.14863821986461256,0.049038284959030114,0.057720250658395256,0.04101079376190926,0.09353425298103135,0.08956476738160056,0.1300407185671225,0.15396593681925932,0.17091558562137785,0.16824200088274313,0.11056029883202914,0.04627848149444409,0.04737420766653857,0.05753271137174162,0.06381097167947852,0.6052565664451975,0.9793345970313501,0.1446145229887854,0.1206744661783473,0.18126432195588277,0.1552916939635145,0.18031942578861632,0.5476885805612383,0.5234776594983684,0.10058757252819006,0.10088384511994422,0.1373978893892151,0.1057240028386492,0.20767706600598912,0.11088383711430502,0.320295928286837,0.0914416467148912,0.0994713959672206,0.058674304345157816,0.09295596792706774,0.04178555041132034,0.057884377179208614,0.006402910946927198,0.10637567456829468,0.14404261904198531,0.07546141810986184
  Long-Term Debt,0.01598009094135585,0.03623788226375447,0.10085852647468095,0.019362113937617803,0.020772407411516106,0.04566694834126992,0.02271433018008162,0.025137433122906713,0.016464436811344088,0.03559913438662859,0.05610536699146583,0.15976283020653545,0.16857816625523295,0.06107736422786692,0.03685040203515622,-0.012749708975839352,0.08177516665465243,0.07604100050705792,0.07343610406608737,0.0499638981084741,0.045541915402231056,0.036615222425394424,0.016434500216442428,0.04616128309338582,0.07362473918687491,0.04601192780040665,0.03027984612191558,0.040681782711723145,0.04666158683313509,0.07834036125854486,0.06180216754141697,0.0998599736652243,0.029391005072991833,0.030788086255019158,0.022600736037111997,0.02494696151013779,0.04436530026822399,0.026115700256352285,-0.02084975099035352,0.08283265364280705,0.09696721140801136,0.06077921235453797
  Long-Term Capital Lease Obligation,0.023519485875462737,0.002900124721350233,0.042531619944183974,0.03129432803458324,0.02295869307102099,-0.004932652336494115,-0.013415855491904678,0.018146763067638027,0.01818820838528265,0.03954531251449646,0.008910903141801933,0.08934095329845114,0.07924071170666704,-0.01607030664453508,0.026937423135427425,-0.017356442448305583,0.026062277718579673,0.08751958633297709,0.0007342988125106195,0.008867403384691743,-0.00037413592371683766,0.004638289594678863,0.0006343377320280944,0.055408484805568474,0.062463290321263215,0.013870299809555592,0.01943858807344976,0.020273679006327927,-0.005158680419676537,0.019074485734934234,0.024732203355918803,0.03578011391350963,0.017257916447446165,0.005903659863630747,0.05366636909666591,0.0031687876074600356,-0.015855247402337756,0.030238598078656698,0.008289858230647179,0.01848333679693337,0.001222314353941548,0.0051193188593295705
Long-Term Debt & Capital Lease Obligation,0.03065815853577243,0.09025846699047994,0.05093899768625446,0.02644234781102215,0.02610965992000106,0.04846501427097933,0.05436499775585285,0.008192473567499471,0.03808183735988573,0.014509804309258368,0.07909842764488868,0.1751379982398602,0.16054077334011546,0.05016428120171274,0.07620441189274282,0.008126651728062016,0.1398578591836433,0.1436701642377764,0.04421231327076522,0.05410986926737014,0.051646822499299666,0.01805315700674466,0.03188830270314329,0.07154124264098509,0.09641722643656428,0.05347929679959254,0.035246036071745326,0.03437053239003861,0.04835684922863458,0.08476189613769208,0.08486685292835594,0.0950325117524633,0.034757946953719566,0.057703994448711646,0.03473433494461961,0.041684930939334085,0.019428267632204618,0.05614572103588883,-0.017916964969838283,0.011256966119895313,0.044290120013138444,0.053959679204321896
Debt-to-Equity.1,0.19140174296981144,0.15892283308083163,0.0897788775368668,0.14275393252266977,0.08069634148568655,0.03580920173206075,0.028303798408578384,0.10064503109383174,0.10239037191711435,0.12041224841386122,0.15363137898340376,0.09042229556213419,0.10951408092405295,0.058102951246102305,0.02709259620188907,0.0568665702101981,0.14028600878045516,0.10965451692674365,0.06926123517884054,0.06939639067507852,0.10848658202118987,0.12142480974450606,0.04933129923312417,0.09186564938679406,0.15294900024172434,0.0342793766438154,0.04874970583460059,0.06728401498215529,0.03440836180710977,0.15616793427643275,0.1083343933965918,0.15120752412599756,0.19320974851474884,0.09124639534508314,0.08312751071726357,0.06954837384128991,0.0542542566013676,0.04989371222763593,0.11925964975964666,0.13335874236217182,0.07510907338411331,0.03454256111608397
PensionAndRetirementBenefit,-0.032420582439602844,0.03353967281770758,-0.011545796571216408,-0.0011179282283984202,-0.019028048489307302,0.032651157180939985,0.051533794068724804,0.006658542844811872,0.06772043849846342,0.0041660060844290496,0.03785476167790156,0.05966436070643263,0.05415642464784661,0.04811917430623432,0.052107268714798496,0.05063470397384789,0.026834729838161916,0.03292246056287991,0.10851098739176926,0.03863615751929013,0.03432836476329933,0.017466105917718574,0.028801233569157897,0.05293520124477164,-0.01163883062197342,0.03466360570238597,0.05900143726007775,0.029519688821670987,0.03327948956338985,0.058709392304263065,0.06205634474107997,0.036307874534295834,0.002052840741474962,0.040254759280883304,0.00939478622755461,0.0037256627997654447,0.0050367982490489745,0.015930190869766464,0.0027430774014481807,0.009257456679191211,0.09469574019180661,0.047811558733513275
NonCurrent Deferred Liabilities,-0.04869323903568301,0.0646348608386279,-0.0013113453837817843,-0.006524358593792402,-0.020469132645642044,0.06031813864980178,0.059379306923837485,0.08200333944274928,0.08460164004806117,0.044431548091132034,0.1257545249452377,0.04356847002421734,0.04320726342510484,0.03999229271894418,0.06882837300279301,0.07675162291925458,0.07747998096933084,0.0866723783378103,0.12140306722853407,0.06886529334978622,0.056415520655244134,0.11349262632421367,0.0587564669872445,0.08672706672612729,0.17695576051877349,0.05528041522807979,0.05963996069270341,0.08071641588909899,0.060566862071767334,0.1421465214014424,0.048349851422672674,0.2108995741648518,0.00788866106404573,0.060049861203052904,-0.010443790681815734,0.000291631409202187,0.0022082754934096152,0.013213844158063613,0.009821832437459183,0.07231148872068195,0.0448403275901357,0.04764769755983777
Other Long-Term Liabilities,0.020210186253529626,0.04940768652844699,0.01739270462140113,0.0026262097431010495,0.023398344647290136,0.059521443128432376,0.027992268652038053,0.09244462787524806,0.06592534927978062,0.13726198965875552,0.12484214809865272,0.16587595797449645,0.15573775629245842,0.03419756345380038,0.07511807062335124,0.02840676000802764,0.34020048753482207,0.3489720662568562,0.14860562042614392,0.06275204556809895,0.03776632834541564,0.10847754592739572,0.04874578749043128,0.49321113698998575,0.2895394765991022,0.04190989761460487,0.03287363259027163,0.2961730548112538,0.07169255543672218,0.08701156597210971,0.09389922306843558,0.33518682321472537,0.027000664212065106,0.04121843786556125,0.026040744927904324,0.03079855938328295,0.02943330700442813,0.023286152383111314,-0.013908860969137621,0.08486555816106152,0.13807016077097445,0.08573022155350275
Total Long-Term Liabilities,0.11190708600510381,0.1698800584524529,0.03705324115759775,0.021750584796155423,0.009401738546093275,0.03027139460633081,0.03791099351920129,0.10554011227475672,0.11222579078843424,0.023073342520672252,0.17351273837242523,0.1514821623480027,0.15600206718393483,0.04042755144796714,0.020673706310732207,0.024144380270125648,0.4013771683983227,0.38088792627341955,0.1332061755225348,0.0410226917767374,0.035806094153538644,0.11044464797233103,0.04496055721621564,0.28236345997589757,0.31478676764713426,0.03947840478087476,0.03529372251486985,0.11612765945132601,0.04072134555085135,0.11456470234363222,0.12359861398176364,0.31057477162969604,0.06976891122471687,0.04320634077243554,0.046265663669669284,0.06015107685586974,0.017534283957339525,0.022931589973415673,-0.0022034266218844117,0.09883781839589396,0.13390874553256932,0.05225293523517711
Total Liabilities,0.1462381176554308,0.13963434417252177,0.054369425289170666,0.056619895445320645,0.04810618031928477,0.023958849712878205,0.022274098260125646,0.112536030647097,0.09623546300619505,0.06680491982812925,0.1345985014755432,0.07019872983019311,0.017547742855208926,0.02200367824084722,0.02897984764572402,0.046439593270303677,0.9438562953962205,0.5699872153173833,0.0765635556562722,0.0345006964884159,0.045701739299992876,0.13091042524827753,0.03645351595303904,0.3241250558444897,0.5615255105404072,0.013461733554754758,0.071044281661552,0.1429462861387518,0.04026536693100999,0.12191389448577698,0.13512742975946002,0.31428230696172094,0.08663726739041154,0.04718946937328245,0.07612300438475395,0.05475112586233149,0.04016285380240716,0.07576552085799305,0.022771292681169987,0.11985329110670377,0.06816845181523562,0.04756169968391364
Common Stock,0.01013277298374963,0.014987862067627972,0.008107117416644332,0.010678611871851516,0.00930629847471009,-0.015864458261483833,-0.014011215911018653,0.021806569322743472,0.012220819262854687,0.00767545600282851,0.019001001056521607,0.02410695855838296,-0.005484080027686837,0.0018503695698994572,-0.0009536170592083043,0.044651463269401344,0.01660383085749314,0.018388940770013573,-0.00987106248521483,-0.012952565262776047,0.008144895301732586,0.035109558163656476,-0.007401541862895887,-0.007544562692882209,0.027283082328155874,0.011801522341085469,0.03561324786849294,0.022080903466175014,0.019106954026586596,0.02907326716330903,0.0278675254976158,0.043339596887444425,0.0916590448246101,0.09733299552680094,0.043015127147280584,0.08587094799280677,0.9401248349653002,0.014132042994458718,0.11149945574059857,0.011750485310199083,0.01493996944967622,0.025065826287098313
Preferred Stock,-0.02474075657756579,0.03872819054526948,-0.035614984418693554,-0.02092857610260793,-0.023712882348467787,0.026549767183824794,0.04041388387332496,0.004580314743913189,-0.009114667467591557,0.018741375859031954,0.047808611896928165,0.01297526079610372,0.09810871709629591,0.036350842057573544,0.014586873209010035,0.08880591171390266,0.01324934780265592,0.015335232138345313,0.042946299921692806,0.03701707635352082,0.04316886803247759,-0.01148058494563765,0.047238452872429317,0.06173694266588782,-0.018100003160783494,0.038435510724336916,0.001941525726574981,0.022870176433519834,0.03428230217648651,-0.014560964475638361,-0.01361734789238658,0.02624770167880301,0.003034831473151346,0.11277776318844916,0.021646707914128375,0.09919590719201894,0.07012052943260033,0.002226935366060989,0.12211526839485053,0.010760619675724913,0.014442222593155932,0.04311316435014747
Retained Earnings,0.08041668509034872,0.10936169483920595,0.022224521944355365,0.015196183938239323,0.010551693606699945,0.02175089364742513,0.02344046089836283,0.005642131714262706,0.0905277727216095,0.01666375116723181,0.10898357197763393,0.055329622071525475,-0.004106319529537934,0.0059006916844430435,-0.014728911014213343,-0.006794580549856176,0.03139028432670851,0.035165564432699525,0.12409129012689854,0.032853818194968624,0.03564246515206114,0.10347195770056683,0.05179821452073032,-0.011949866242379691,0.0033811414964625545,0.03527929697292954,0.02760354517216463,0.04955508487962439,0.0346249664118079,0.008065490391038299,0.007642953653987507,0.04615868012665638,0.03228673100003612,0.044600884791262486,0.014751331623513724,0.034847728535505135,0.011591038803405963,0.020897905943574078,-0.00957783656206705,0.6240609610922117,0.11672680672036707,0.04293110542483832
Accumulated other comprehensive income (loss),0.009502414327909166,0.0791634919578543,-0.02162894211457316,-0.006256533756580268,-0.026362272608628154,0.061007557113118664,0.09885762853599715,0.07498823968203865,0.0709055750764881,0.0292643863639523,0.09111080849738087,0.09649663658627594,0.0407005652977923,0.04041380662215134,0.10098015454399294,0.04530310786268179,0.038147772385542816,0.04339907342686744,0.08932560370608923,0.06239871294153355,0.040254759280883304,0.09999833122830065,0.005257579153309074,0.07094256117469044,0.05332403124151571,-0.0016197762549135949,0.031635344358321625,0.06518167196610423,0.04274834447629556,0.05022263128730664,0.05749329599732259,0.10073164881130875,-0.009970559252936492,0.03703389809029962,-0.018137100588958364,0.0013419175941728275,0.003594826142297268,-0.0012525903469153758,0.006945775991722124,0.04549129266509962,0.21559026414554772,0.07538010152340795
Additional Paid-In Capital,0.04996491126786572,0.004685507633995931,0.10513983004609709,0.047053737724631034,0.07927844375093954,-0.0078032662909581964,-0.0053325391093333955,0.039133541681861776,0.0868786594759638,0.047100739433677596,0.013870384314435342,0.08023195420388059,0.011525223960270826,-0.012772976856846415,0.0756749097699848,0.011011874860426688,0.00698275096245389,0.023644855369276987,0.07191885492626357,0.01573350591179294,-9.796993712350016e-05,0.047121122622443536,0.008549194264507816,0.012230697038221319,0.03562216129457631,-0.0018299789134204416,0.045199005008502983,0.04525661873228989,-0.00045368127197206384,0.020657151736276313,0.013222517394969904,0.043879534845339095,0.00799317001774699,0.0077957735529808215,0.33355978861587027,0.10010703119974756,0.0029764313959997958,0.2096614627509037,0.002858931884137627,0.036307238881405406,0.023260408534511237,0.01995443358586203
Treasury Stock,0.04951576394166489,0.08881057247410158,0.019377047798252587,-0.029944245652791468,-0.048250207836851064,0.08692463305198707,0.02752321099417176,-0.01711021344152751,-0.02500688245044096,0.06151996961787633,0.0485219049104274,0.02773544307981017,0.09560381766565378,0.040839503882422565,0.07256395962308372,0.09487394227468117,0.0369328042196679,0.03973389167850236,0.008541915707482443,0.09974957950082765,0.10201293958013438,-0.02544420525643236,0.027753757505577768,0.04996221773166493,0.0005329167722028126,0.04069328861334828,-0.005230498659260549,-0.0055207288922616594,0.0393671142619356,-0.013970379717629024,-0.029251091261996955,0.018974727713532993,0.03023715141101561,0.05906503970499678,-0.007697412502165652,0.06892434226687486,0.070274002599407,-0.03253251912335968,0.9004170821618986,-0.0313533343692535,0.011061659336415728,0.03778049016099504
Other Stockholders Equity,0.048630241727157575,0.0953059826234599,0.06761690667625811,0.07173255152564138,0.03517112411693472,0.0985570619859619,0.06242282224277663,0.022839839606827693,0.055324566648805175,0.1601690624977078,0.07680838445882446,0.07903836701116752,0.14776591445223464,0.1413457794474613,0.07660580917393986,0.27694944693973667,0.08454209845607921,0.08812527319697612,0.09106123186287661,0.10789977793359894,0.07545848846384491,0.13583827305207163,0.07666453406951378,0.06391800989295485,0.04385305967254475,0.043934130457820963,0.0771396545652593,0.09588593469999981,0.11362057881451455,0.04168073413715434,0.04621607606470274,0.11121929419871616,0.18973747785538764,0.42472710148655696,0.04517046460492836,0.1527176756509408,0.15048935383055295,0.11064691642882477,0.09923519667372283,0.03655734590957549,0.062461473445137826,0.12477182251224911
Total Stockholders Equity,0.1290324418805203,0.18444053550102035,0.062240977436561304,0.07462844338752853,0.044422232165575594,0.061970098411876944,0.044200569410652486,0.03560631156462108,0.05956725090686596,0.047749726742503655,0.1312497877303148,0.12796333128899814,0.1057859729992812,0.05135224295697157,0.09099182054490879,0.18122484672078562,0.1031155673818307,0.11567294108750469,0.06994640682207746,0.07064194863647684,0.0723351818436222,0.11912242460742502,0.06841326971817269,0.029619541355209927,0.08774422609980588,-0.004814078208690602,0.06046570118914641,0.06699136920679397,0.010937344104090231,0.05177872423837636,0.05962289560869613,0.06492315608637196,0.2599882434494677,0.3518489808443994,0.06706142787498567,0.14425457656913332,0.12307403260779054,0.10318443539038807,0.09893987597567445,0.050660608030230474,0.05311935914791441,0.06955996191581076
Minority Interest,0.006521390391318275,0.01980761350399609,0.020108422011893515,-0.005920954815205225,0.006705329813646233,0.01133560142777179,0.003921859278679268,0.015757013817596432,0.010184706797963631,0.03627770317191014,0.022102881695690003,0.0360472069079003,0.042682396146168214,0.016738310041053174,0.009135315410360844,0.03253649990954361,0.008267464453466898,0.018849728674885918,0.022245080845041416,0.012857067517607363,0.015826009477340756,0.037353171657592055,0.01627383376970124,0.012391727302609727,0.01888462116377392,0.009131364954161253,0.036354867453952944,0.036148581194111906,0.008397960008194098,0.017824912865552,0.015548274686758155,0.036237661603514236,0.021220889479718945,0.019714390449586866,0.03652600010244247,0.011849530557483036,0.005719314931381481,0.02952191989128072,0.04234068901146173,0.015548537380621643,0.027434033085709932,0.030928122686602454
Total Equity,0.13549285340529152,0.1843223330344753,0.06357554808969479,0.07260556917472433,0.04043380476559105,0.05609363648057931,0.04861078864591387,0.03509355467932465,0.050960068408085424,0.06064397283334946,0.12736433358555507,0.09140324466964352,0.14053259592196174,0.015636649494592862,0.029658452789630717,0.11045969344731518,0.11473919101648446,0.10783736793124062,0.045556646145457555,0.0621460230918192,0.04786308394729051,0.09486006561571446,0.06585821334232131,0.02821864088034712,0.05657337577519504,0.04654096189569144,0.05794017536448133,0.06087173697981644,0.07596562460739717,0.05350430835907276,0.047956477671822505,0.06393761251381366,0.9430230116194823,0.1602985654713558,0.0701374454252777,0.1758978814465053,0.1476251887442003,0.060209670735197396,0.009864497051451473,0.04985897603395589,0.030884597104145685,0.08442992903448959
Equity-to-Asset.1,0.1930802727051374,0.19212463584649916,0.16793450172827046,0.11872517110791714,0.0781009964499254,0.032518548274401524,0.04075067398217973,0.06922770027342708,0.052475594348443205,0.22941432583915763,0.18984453653638367,0.1026660506696127,0.15064829254980858,0.1410372175435634,0.15564552509500515,0.1350603353251561,0.08570615360786464,0.09583215770939102,0.04145197988558874,0.06325506536472338,0.059616099568898726,0.1508590155598521,0.07109050253357717,0.05546171586043035,0.085446644232289,0.06494020133805374,0.09797494043706,0.091241702316461,0.06368675613685074,0.09412130348969942,0.07215342259166563,0.1176969124132344,0.18365160038267161,0.16788082663350506,0.09096738752663382,0.14693929572813522,0.11998208274224219,0.08830870766197534,0.20614394520581392,0.0816017403578997,0.05465422781813235,0.07347400357029549
Net Income From Continuing Operations,-0.020818762639900637,0.039649359526582995,0.003974313648933687,0.005494427667136513,-0.00444596305896067,0.048493050767395685,0.04112404547615804,0.04955189997942545,0.1155273075450113,0.013471798024330196,0.03823915089334679,0.05584562051761054,0.04334595271985762,0.03508341291355199,0.011276115302197959,-0.004607851348849757,0.012513756649797944,0.04511260462291021,0.044756866622957026,0.05266536956518285,0.045405031828550914,0.012310083507150668,0.02887984870460091,-0.0067964120517488135,-0.0012710053475085852,0.06306195142355643,0.03146475090072466,0.024186602349023378,0.05631301773585577,0.0032634065208027203,0.004236939119214008,0.020304097460923258,0.01777406846338014,0.049600555313618455,0.021232512293708414,0.012627953957905112,0.013577451998919715,0.025275442571244755,0.00033545606480503594,0.07489008498672192,0.07019234502282302,0.07431284750165038
"Depreciation, Depletion and Amortization.1",-0.007745824113978762,0.008431729030515447,0.03318339235517057,0.026914772797687312,0.004156747063379551,0.054176779779358114,0.04367070968255476,0.017499921595480365,0.03613958370316988,0.009798343984661603,0.06154973630760157,0.011068354927306108,0.016091952716933696,0.05622669269425117,-0.004988100303351066,-0.014477707270492676,-0.007090489336352113,0.02471222900371666,0.06233329486837348,0.06708395569877348,0.04176758993221159,0.06601551556778254,0.016510005146450863,-0.02988305195665575,0.021869530537924623,0.04092810509103202,0.07512955560005904,0.05222657185840427,0.03646690892586934,0.0046105405854862625,0.0210382073968801,0.05652799876686571,0.01032177117029176,0.04151463644261249,0.009006695069078679,0.006136206814973146,0.007769099167100659,0.058265666745345376,-0.0386734021343441,0.07936136551778865,0.12287742900961071,0.02173387379961604
  Change In Receivables,0.014857400386283364,0.031181004565011,0.10150602881704432,0.11215436091195262,0.07704526338528273,0.11714267500461321,0.11641234685784199,0.08616543905549971,0.07165344987587928,0.033849482507913545,0.030560132315255957,0.05570934138062831,0.025165669081189983,0.04057742900933017,0.004823517751309628,-0.0007266246428346424,0.03734362968531442,0.04696603264555029,0.13409564324028977,0.129279332297247,0.13592148695051426,0.025809208367419362,0.13723108482539076,0.007076281680969227,0.016090838530687213,0.03781553378377817,0.047832943061374554,0.04818487800268517,0.025657489680001994,0.012706619398377559,0.009603124216920854,0.03989099369724075,0.01454307816654695,0.062166437911920946,0.052834266524774944,0.009820586337233813,0.024111514578889992,0.029840026973886442,-0.012951050298786359,0.03330201601584382,0.13057419781972193,0.05124055357110413
  Change In Inventory,0.033942128142389776,0.07805464377792302,0.05919414906580654,0.05554950656793854,0.02448178981992407,0.14700706509053874,0.0698099545862148,0.04168731263499201,0.07437702999789358,0.0579892801990832,0.07778999617298275,0.12631717316958585,0.10860623666405982,0.10958442223081684,0.03829297589445663,0.01259980863848251,0.07410301437142193,0.11186384049353856,0.09733023893718007,0.16980833804831616,0.09427753449750503,0.03824031737773316,0.09336646662128004,0.011767992207878044,0.034038536120093936,0.07839288558765259,0.046705248322167235,0.04043561896355422,0.07441790869247111,0.035183704221258695,0.034272830816464254,0.038687088351592534,0.07677278383029584,0.10101305194195895,0.07120836810024336,0.07138734785424548,0.0683175933551878,0.033853083879542646,0.04509676690106398,0.031240313882705092,0.09625660892143842,0.1005694284139398
  Change In Prepaid Assets,0.06811702069143645,0.12152194961257062,0.050313277887761076,-0.01588104210245405,-0.04196758828390347,0.08765018097082364,0.027317515299050032,0.05367911590659044,0.06349002219768876,0.09919586957801516,0.12131799288328797,0.02888242680120718,0.03337740095954531,0.07863242468583947,0.13079897712345165,0.06444052548125372,0.026754222713224377,0.09644949906742854,0.07819406364825557,0.09622976907354988,0.08495412288723381,0.07246368733892188,0.04508399368514463,0.1046745099883292,0.05166646215300616,0.038956652712328746,0.01743192401141223,0.0048491850071334126,0.029538284371961068,0.053096909112754546,0.05524172240653572,0.07170323408128956,0.027948643593615353,0.0380075001611152,0.045916214429840715,0.02663470076130915,0.029092183502302974,0.051713249674132836,0.019456242977079388,-0.010663499073157515,0.10365644341882999,0.051058540955894946
  Change In Payables And Accrued Expense,-0.028385120487008867,0.04997180839175293,0.06905596823891803,0.06601776516875589,0.017082422748751085,0.11747315315654178,0.09187241807933541,0.035915212905768594,0.10885651538554043,-0.010994701681873775,0.04436680322032475,0.028719821858780747,0.03710338502443474,0.037347899061790674,0.046586569682595454,0.05116050675549832,0.0737233563894301,0.09778726481619868,0.27132255338409966,0.1150429022099079,0.11341310322818302,0.07156650510446493,0.10754915909736186,0.103178468479243,0.05262931929532302,0.030667526770110594,0.023655961997034163,0.02594786177201104,0.034423048749307864,0.04636569917755851,0.05239872684672096,0.07164429734416142,0.0011216260148302383,0.052418378999480354,0.07389319089134662,0.0010234761253798122,0.0030564790310115123,0.040945941734373235,0.008646429665416212,0.06586916266562336,0.10510591329783467,0.0499543541623933
  Change In Other Working Capital,0.06264021015932493,0.11691360922208792,0.13392473643447497,0.06883248876740737,0.04611126095357945,0.2250788062289715,0.10816632289221068,0.06777530928413837,0.10099040949358169,0.11396007382876323,0.10835090834379547,0.13101581377048258,0.11621355801912533,0.13007216293005727,0.06594095564282602,0.0401461164197217,0.11719773977145752,0.12126049423347043,0.10552523066279912,0.2350874279316538,0.1024139042975456,0.10236641836408054,0.11256763261928335,0.0848009370987873,0.08297365425085304,0.06365906994365239,0.10944057485568416,0.1391812174914705,0.12957340537026685,0.06965326049882312,0.07041066020281933,0.15694559667232286,0.1080947764925262,0.10653561105502615,0.18364568576005003,0.21337222011245507,0.059140780777528844,0.13201604681317353,0.006272027839706641,0.070098579123819,0.13752027740848966,0.1556351984970686
Change In Working Capital,0.08427308551870177,0.11498941454566021,0.15544100230947677,0.09842121501875291,0.06721835476416733,0.09225519271163553,0.1175025614065723,0.06904881321583771,0.10912081676285407,0.09297247664624733,0.11931159023151301,0.12797458758747207,0.1265045688253969,0.14670621871936282,0.04536981895718422,0.05219519678493042,0.11992873730016161,0.12714274201116701,0.1108038251526231,0.10205058885992413,0.12085528743348342,0.08696207414815411,0.10926468474132042,0.05711794369706711,0.072795951818699,0.0708471455917432,0.09238578418925826,0.07930400678870918,0.06987605933926778,0.0716801430678683,0.07037834080440883,0.08781137092214043,0.11612837886368862,0.12336874315321719,0.19125406998125435,0.22547181326381852,0.06966404742742563,0.11333702090543822,0.010319253258327497,0.07062648056584393,0.11775133712924106,0.121736874927408
Deferred Tax,0.049034056044825886,0.09943635852165171,0.037936101259521945,0.04289725172193886,0.031564493534747357,0.08885545474235368,0.10243124219594513,0.03319823750718278,0.07234046559136578,0.05268417610267212,0.09608513887743036,0.07875649858723732,0.052197502031488784,0.012567037213904125,0.025137431894747965,0.025051844360208166,0.07119138253108023,0.08825311445606294,0.0922395894674759,0.09325590847608559,0.09220921486647313,0.03729603036123233,0.14630670681259453,0.03235012994320421,0.03284711417301909,0.07872726321548565,0.023311607171754154,0.033099503172649404,0.08288969710322737,0.09629838353669522,0.09046748078149644,0.03866203725634868,0.09204053790777562,0.07787483913596058,0.051729464539829566,0.08110003217261048,0.04841588942531292,0.014252487989391058,0.04183815741000116,0.026100152142224817,0.06605071208237964,0.08359776420655109
Stock Based Compensation,-0.01022838179724185,0.04058171881383671,-0.012875024334291489,-0.0009451659992724968,-0.019106345823432274,0.029207792965036127,0.04037493137913242,-0.011453821496102768,0.013301779989974097,0.009333226007496203,0.032273789356438654,0.03507118163504977,0.09979396026097183,0.03349392825838532,0.04008430317949045,0.09798823783575276,0.030174300605894055,0.04060418321365668,0.037154469022443355,0.027480347297482943,0.03958215739662231,0.07460647784133916,0.04204340569431618,0.05027304315601018,0.0006511041288237047,0.033225483885089314,0.08486155447694901,0.02357887833726193,0.04018803224758691,0.0006150609285530233,-0.0022481490081251282,0.02027924375040625,0.04798941761515728,0.10348913107093997,0.02448425947332103,0.1004185216417571,0.0968737489352638,0.05529758474593642,0.1021698023102971,-0.011670788485746666,0.06019119076885033,0.06017610724935257
