,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Dividends per Share,0.1016900031531201,0.10140452122885078,0.09935408575585378,0.005355666752031894,0.016241913298201138,0.10929802424577455,0.10292431462996823,0.06509336121367765,0.06529504046630895,0.05634066893716597,0.030751209977009437,0.05028150655744994,0.05682425167971331,0.015951860316963974,-0.0066095141589508615,0.06860831071361781,0.06976051491461198,0.059897236768541376,0.06985681850285419,0.12505013088094133,0.036832381690466605,0.06569071358964508,0.0231512282770271,0.04837157658346125,0.024724128433614857,0.08558167396281728,0.008469052691280447,0.06999225556821699,0.07012701553546918,0.057804932311751274,0.03556481139209019,0.10166147178324088,0.11822363772667327,0.044821876453414976,0.051081546884351285,0.0690958305715365,0.029454702545446933,0.06558876533957125,0.05388212865344201,-0.00443640727730463,0.08676889856499087,0.08103464384521517,0.023485084722421546,0.12115856802688638,0.1276038466635718,0.08791391682875338,0.5578358885531922,0.2858617757433686,0.06538144234812973,0.09242410352012873,-0.017090409513389877,0.057225185461870845
Book Value per Share,-0.008313900431914455,0.06187729857841189,0.06187729857841189,0.06203679131572637,0.06150333214289563,0.07152436141549924,0.06369192818722111,0.052931494938387495,-0.003068680178367046,0.008920179641018204,-0.016161141094215042,0.017977014420860696,0.022182593758971143,-0.004441490875325629,-0.013079710686525577,0.022174121451276875,0.0672761234560526,0.06510115160859718,0.06555271410706208,0.06078509672341747,0.004547221305409202,0.014391454308477818,0.004841304546469172,0.04302865997270605,0.012279590948963276,0.0419931376344163,0.0074913065292544646,0.007114129353791094,0.006706187636031473,0.0646617239347336,0.06231672826713213,0.05797744895390008,0.0789140490311721,0.007963920383943956,0.00860008604540749,0.03112768826456661,-0.0020289155115756417,0.02647691534167111,0.018794240614516948,-0.01523526116945107,0.0268392144804138,0.020094720898920008,-0.008349157188217977,0.03514010842874887,0.03427418519586973,0.015228208357158601,0.07658077064434834,0.08186497307004298,0.02571355451620736,0.02576459864005376,-0.021899008493201717,-0.008656780646654061
Tangible Book per Share,-0.007034970371582969,0.06573371447583262,0.06578217796041293,0.06080647315041414,0.06266112454577048,0.09118317460562365,0.0697198367997747,0.057516110627737996,0.0018817470981210543,0.0058173825493602485,-0.011720989933855085,0.019064649005105107,0.017141374285866748,-0.0002284053563926646,-0.0064574190890248195,0.037084480708104405,0.05301948532098274,0.05408947969759232,0.04679608859968794,0.04945805065689515,-0.009741452994930755,0.013839275350038233,0.005844705207031149,0.048452963512794225,0.011586286952183306,0.06175176666014764,0.010054991205989119,0.018397502068190713,0.011503688437058499,0.04668025973639569,0.0441693509184021,0.06123546386608931,0.09037343957274399,0.011090787961798285,-0.008619143278922419,0.04483514197441511,-0.0034941957436580924,0.03474375844974439,0.0006533775757727623,-0.009304152627991955,0.035239199276066106,0.003190722887568942,-0.010003441492548358,0.05519264863307434,0.05920166867637866,0.02725819748090491,0.08832098898484168,0.08667029283573548,0.03636242445228087,0.03424102463947933,-0.0014848991104945762,-0.002630449026538072
Total Debt per Share,0.057470802304382375,0.23079138596733462,0.07843582668770961,0.07622151682216233,0.08084027850248555,0.08494739858266173,0.07506775278510112,0.062195267562257746,0.028683237413944816,0.011658402076752488,-0.004302335509106334,0.08202990296747206,0.11519016428655074,-0.0009527432982385092,-0.009761052849820673,0.0315133268992891,0.12056720434200041,0.10230503499442647,0.10751732241543344,0.10389471000721859,0.01363133910790051,0.03236037499674556,0.015338609161973354,0.021200254981266486,0.017593866729088345,0.036874477076182646,0.016400157920389555,0.04273541489806743,0.04134472383150273,0.052558276568839095,0.036301446085004026,0.18245048014652604,0.09627311516221691,0.04557319956702156,0.01915665075456993,0.034115473403663915,-0.0013356133993869994,0.04930373331667443,0.03699547259837889,-0.02289364338277857,0.03450240438527198,0.04333212793038932,-0.022377538555315324,0.10272205872170512,0.10370387248600037,0.009257241380882653,0.17199153670665068,0.13777280578786785,0.04927586540969379,0.05164117237131789,-0.0002056427534877143,0.012399673880825347
Month End Stock Price,-0.03869168985574454,0.055410471460704304,0.05490737675911677,0.029399245971183482,0.08444882173771108,0.05691678853566178,0.06534638598020324,0.03877217023545514,0.009428567903887143,0.013222762968957151,0.007887186439335338,0.00021455773681743756,0.016805192962513,-0.004249507345321675,-0.0018207232995345337,0.004467593376177599,0.02360492352708652,0.02894572242829794,0.022413871003390408,0.025008821749492878,-0.01466014047006473,-0.00821052748426324,0.00487981612304203,0.00010628151822351505,-0.004112031315721622,0.006696581174246587,-0.006783526463884703,-0.0048199928279018395,0.01190324427632226,0.02160071069768469,0.02030740866113928,0.05325032133643176,0.058192170230059105,-0.0159089702793295,0.00027186102823908206,0.02405383596352515,-0.029374665985921287,0.013127606543130999,0.009406073138956158,0.004777663669820744,0.022914868070729948,0.008964226523766139,0.002017825861122277,0.0182283828074096,-0.008789792145608492,0.032383904924184886,0.07757369996180358,0.0853618474620994,0.021322662218028383,0.024178432844553836,-0.024690070020865946,-0.014030974922381412
ROE %,-0.004159487720492669,0.007377914593669121,0.002721150388444467,0.004881773524834677,0.003649079533039665,0.016285076078904618,0.0033928141754265393,0.012718501328602246,-0.01036165955233351,-0.01117359652493222,-0.00511337233500781,-0.007632447541273151,-0.007908771873782541,-0.02972941757315603,-0.030683773305738668,-0.009992343982075415,0.02032707914903727,0.012893774661513086,0.0201536332609432,0.02109274440364128,0.002922041445563522,0.005944649305008485,-0.013139468108510674,0.016687825577001648,-0.010882774313000845,0.0022297153937926705,-0.008136928703563022,-0.009348152103125125,-0.009694240069416273,0.020935272302343728,0.01219790598837089,0.003213667653029881,0.017259090888354096,-0.007247996910516956,-0.010362857814796596,0.0005340302020619826,-0.02888065607887865,0.04070843197917399,0.00516700933277147,-0.04232646470727364,0.037967034272281604,0.0035155782215120215,-0.03913663361689353,-0.009584958261135309,-0.012695721525590644,0.023133289881280914,0.019700944204337264,0.025789598585740238,0.036034943314591665,0.029209511490566203,-0.011317254038415213,-0.002868426527814258
ROE % Adjusted to Book Value,-0.03342764804459374,0.04913304359785509,0.047063983370148554,-0.08425403990559255,-0.08653361874679891,0.024906144293466513,0.05083429845272305,0.020692259283653144,-0.0025761348900687217,-0.0026325438121683224,-0.010526224538076744,-0.013156371378364059,0.016106690447136567,-0.022358420925380755,-0.006613546175580676,-0.0008721493222418756,0.01783965051712252,0.01503045590149707,0.023318225894004684,0.006138525666808741,-0.027019321861617908,0.0037855702288383947,-0.0036415840634619833,-0.010525512567477118,-0.016045948462717993,0.004428231385504163,-0.015180122259949231,-0.014693163998761975,-0.0019511574346842949,0.021153542638370958,0.017208608102216697,0.04314506327096487,0.04671779384073969,-0.0049052887691531525,-0.00794150510623564,0.04473084588782261,-0.01747728035624337,-0.0109295046005488,-0.02461166102660044,-0.04790549727184258,0.016308159466217973,0.01705316270034677,-0.018033987956715763,0.019921996534996367,0.017423488980349768,0.06411215843809527,0.024716269078998813,0.02655986356285785,-0.009926876906994219,0.026329797620892274,-0.027292306255805504,0.0009155079562056714
ROA %,0.035501293398916646,0.08098103571989963,0.018450355927636202,-0.09925670011623682,-0.08535824272419569,-0.014546719774551353,0.017064114080335813,0.005184407046538034,-0.009137386680239574,-0.015543058449923444,-0.01483164210731791,-0.028212157922915516,-0.02296661377283439,-0.03833740506107301,-0.028957173887737043,-0.013550885025036069,-0.010162731348116565,-0.02013355035868341,-0.00939098247310845,-0.013307612430507867,-0.02194561348894912,0.012402278417215636,-0.016944728593594555,-0.006203357680128277,-0.02224138778396613,0.004575146641839748,-0.031838221976345754,-0.026808974166252185,-0.022728908368739507,-0.009981653279056474,-0.014177757894975301,0.012997967093012059,-0.010959928225009536,-0.03013255628893427,-0.02376214885117531,-0.013042693787290803,-0.04075340561526091,0.011355441140868639,-0.017031072087740774,-0.04645288409409478,-0.004366234550031937,-0.016505928489565374,-0.04970627115581629,-0.015411612891163877,-0.008760058560341163,0.004285316831851964,-0.0032194561022900717,-0.0039705479821997005,0.004519758704984216,-0.005907951294706134,0.002305040350055857,-0.0007706336231590367
Return-on-Tangible-Equity,-0.02446437496781043,0.04406288517127622,0.036852894738299426,0.023523372062923688,0.033266666285736456,0.03188237620832754,0.044250702315802866,0.03189973827239259,0.001916980626006353,7.572206614778892e-05,-0.02204502560159001,0.013442978981957182,0.020409760372690648,-0.009748787332530566,-0.00226990688412492,0.024823629420762293,0.04059521850611329,0.03803544935206457,0.03946658266695416,0.030461828014523625,0.02017687080613293,0.011869659613130655,-0.010376191054083862,0.027374554243732935,0.006584346815230667,0.029478685068012746,0.012784715784234572,0.01642621295516713,0.01090410676115031,0.043755937801649734,0.038070001942047654,0.045041787858707376,0.0312372059924332,0.011194295688300214,0.009184801863410821,0.013787788150738447,-0.008950599426186208,0.042275916272118234,0.03464252097781185,-0.01618255394827348,0.028652271618366608,0.03155086066100451,-0.018048468165824016,0.006591847050438764,0.010101449861369478,0.003587377454549793,0.05023843248861754,0.04776201720928895,0.04331938535762213,0.04260662189300592,-0.013446278370442155,-0.014191563743612861
Return-on-Tangible-Asset,-0.03177719061281093,0.050271652555228266,0.057496420078275566,-0.004009623643367196,0.01824710861203492,0.08118867258732045,0.06041456635733259,0.017481119178773534,-0.009044997466078356,0.01332053506429901,-0.010683308250970774,-0.0008120511026745445,0.020719005072378824,-0.005078577395207573,-0.007355075417657425,0.020965096864495218,0.019991245069746085,0.020097450148972684,0.002275487330136033,0.009972808795694491,-0.008708183712703568,0.014912533440657148,-0.013096004905663962,-0.0012930114088399195,-0.022699354161309814,0.015445901610893594,-0.011601715950700128,-0.011952972082963198,-0.010938919206347828,0.022136620597451088,0.014728727641765742,0.0525576003990617,0.07802709089438169,-0.016941321609477027,-0.005164292967314315,0.020923123525291496,-0.03600964273434628,-0.0138505677505751,-0.004580167906696211,-0.011168969597686951,-0.01383039368072095,-0.028251021951824197,-0.009735077240695868,0.010305038055926719,0.013565306844181984,0.003673096015597603,0.03151826977214387,0.02869828482326844,-0.012530668178164112,-0.01383039368072095,-0.0030053725400320964,0.002284996524435922
