,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Rent and Landing Fees, Cost of Revenue","Staff Cost, Cost of Revenue",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,"Other Income/Expense, Operating","Income from Grants Received, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Dividend and Investment Income,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Goodwill Impairment/Write Off,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Discontinued Operations,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
  Short-Term Debt,-0.03567148067604927,-0.03366038151516691,-0.03243973031902139,-0.013505469433558098,0.01090724212269935,-0.027450044255869742,-0.03689116226643274,-0.03220362732276209,-0.021663692273944914,0.00705487139070328,-0.04014075235487308,-0.039801201783894846,-0.02001032502440742,0.0018982455903014542,-0.00014096330288374112,0.02027662114260297,0.05450818913165545,0.054601812131217564,-0.006680037466282178,-0.030307137062550466,-0.016748861904451316,0.049462430452777054,-0.011375376376206916,0.10810335615645647,0.06665941475232155,0.09013083628289764,0.04994789523031333,-0.043854282092410116,0.006041806583226681,-0.0027925020185183,0.030687859518372183,0.02415928881063753,0.020569255626900512,-0.0021311607288345726,0.046939202216219014,-0.02765410780747395,0.035042347765210265,-0.02844941695789491,-0.020684798670347938,0.030274731087412417,0.057003992245118,-0.008028252524939453,-0.02145407257744622,-0.010622900659817884,-0.03812159962585775,-0.02033598615437901,-0.008346795463270162,-0.011677424591443471,-0.016540053502329045,-0.014700150577155303,-0.00478724706806065,0.002560518247558796,-0.017317833915770568,0.08677258321799984,-0.013038401484286397,-0.025230073070854703,-0.005166014654383473,-0.01635481698710955,-0.003921884064722374,-0.0032646901821687087,0.04720349478915063,0.012212484597922096,-0.033505116354688905,-0.027183824254864982,-0.02458373145609975,-0.013197318725249263
  Short-Term Capital Lease Obligation,0.03478276525236953,0.09526265936965986,0.04000943909745695,-0.02558837317646653,-0.010355819652973972,0.09396838884172826,0.031037694528443047,0.05029834352302948,0.051651308359468524,0.01251648906253269,0.09342416912585297,0.03532202472510659,0.024914164335663756,0.0445544082791103,0.0010698358981491088,-0.019353872627720793,0.0052483646381208445,0.01273175394371072,0.005639852662461159,0.08120970257518383,-0.013486493409646678,-0.013902318703252762,0.08744503959679324,0.0013711339145806405,0.025014954042263133,-0.004274821316003527,0.00988983790234276,0.011839132172521038,-0.009206771433590302,0.008406702504758199,0.012641674670461484,-5.271880727344622e-06,0.007721938431103732,0.03595808316572162,0.06993625796778659,0.012516752488317136,0.003812399399532116,0.128688865374979,0.045868950945986454,0.01182454865721655,-0.01676925599789738,0.04816290359011939,-0.046662552332382465,-0.0163640996181413,-0.03338221914721162,-0.01693619492585152,-0.011145299436025232,-0.018723473359558096,-0.025193866872651734,-0.02035730967819117,0.041490341238465546,0.0401041257397057,0.11918121525022622,0.03019322863020716,-0.00855076855988806,0.10894146100631419,0.03195069070826619,0.11240295442834355,0.1279914977028612,0.00945915747588977,0.12619352526310795,0.05398094984872913,-0.06239335994101727,-0.10923778844261982,-0.03587270208561134,-0.040642353298417117
Short-Term Debt & Capital Lease Obligation,-0.04332950774453091,-0.033474597922294486,-0.04305619583620955,-0.0269088074953867,-0.008113524224896746,-0.02399073353761305,-0.026915578582716537,-0.023474292800668862,-0.03650006800304964,0.0023420980399374335,-0.022219451265189122,-0.0430687801512095,0.02297190692956109,0.04169283679579701,-0.000882044982306819,0.005750354845520877,0.04262062016462992,0.04149686385181084,0.013022635886738083,-0.016643332546647377,0.007027445523485669,0.015483842040222202,0.11934510729120162,0.0452926979145049,0.02645232761626251,0.018657251949195278,0.016528106834350846,-0.01045120776228617,0.03357726187279865,0.010241203225758172,0.025332756737536242,0.01657540874336624,0.03004417242005084,-0.006007205458089109,0.04801340220199728,-0.013447720713340397,0.0316836902452946,0.030125175664428572,0.01900117027988893,0.03241929824314146,0.03353148351927604,-0.005238935759101247,-0.02515122296540039,-0.008642569440789533,-0.007733346678167837,0.0021034698435105498,-0.012199018260181426,-0.01068496585135163,-0.010171832198564417,-0.01020753130679225,0.03517109237943698,0.03018002128518774,-0.00233377171819037,0.004189972214060478,0.01035542296775537,-0.028861174046835476,0.024286613206486944,0.028049072231348258,0.029568643955049153,0.031228946638910127,0.021252354868866175,0.006639087840003447,-0.03614942758827821,-0.024242340902777007,0.0025546953655693587,0.00224032326592722
  Current Deferred Revenue,0.013251490242342734,0.19680659886023177,0.22026740696432762,0.062170300971817354,0.1394972566210644,0.09096968603902572,0.11373555355451515,0.11350052834605917,0.17788824149926288,0.011579577796266725,0.0722531666179107,0.03035475837580508,-0.00654845831769396,-0.013894308798956692,-0.01292912868221234,-0.06752239664014299,0.010810010009045625,0.0052952329305739464,-0.008855187388192673,0.06759510184896844,-0.01090756205664806,-0.00975459327284181,-0.010576446184951746,0.01970012924877508,0.038652744341677835,0.043803911155289754,0.02959051923029043,0.03328061908333931,-0.012176101137737273,-0.012559364882865322,-0.002956428828027836,0.015030426213468406,0.011755180421541032,0.05186356544595279,0.019465564233396147,0.01784863553965404,0.020762162761549057,0.0931319207715199,0.03024330262363386,0.01456138749808111,0.02054200887989841,0.04977971300156792,0.03519830713668131,0.0194386141320293,-0.031226490132197346,-0.037393825200129086,-0.019413135840864244,-0.021715058043798103,-0.02310749791810299,-0.019101171507881973,0.00254289157586824,0.0736134925779004,0.1975915939390137,0.04084682819102141,-0.018767459154586687,0.18294484525728272,0.012205390319582825,0.0840550211314888,0.10249125651348907,0.0007028486349855093,0.10255297226193848,0.0495108227108108,-0.05286971249293827,-0.034842115403083435,-0.040879931614826476,0.017057380352449143
  Current Deferred Taxes Liabilities,0.0272630823154425,0.043107524702939076,0.08028032697370491,-0.02763000880460688,-0.006632492284582328,0.0864160740114652,0.08360564658639102,0.057312855490081936,0.04202820677844465,0.022053434975391743,0.07778953143853724,0.058184646089861854,-0.01696029917958405,0.012191508245090084,-0.017115949613711805,-0.047984979443253195,0.011174638900332177,0.01769792316169071,-0.012632604445906418,0.06995091346903726,-0.012315161149867446,0.0044713672217928475,-0.008425525854397382,0.061454104219033474,0.042700778126457305,0.0028551743004236966,0.012930495260449284,0.017698096293022905,0.002331675068517839,0.0022418489346863017,-0.0009266479462612118,0.016664620220692032,0.007516329597780614,0.056058439026804206,0.02015536072123242,-0.019771576963714625,0.012203153527128797,0.09082361369315514,0.033718676668643886,-0.0063784295889646025,0.013903591817186266,0.054337714763930234,0.041403515905845345,0.03148327623444128,-0.043120243393944754,-0.032559862094907535,-0.02308924074005855,-0.029241349130079173,-0.02895539775457376,-0.0360058400250586,0.02616605557616413,0.00918368554262908,0.07185271437284622,0.01546545025714907,-0.009722924211852777,0.23117618968502218,0.021996390908386624,0.16750541111891654,0.17868238798570613,0.06067411464288358,0.1780415508579621,0.03186479023106061,-0.07568116183495945,-0.041625837465037945,-0.05828640828249494,0.012589528559341121
DeferredTaxAndRevenue,0.02995333211774022,0.16452956725455167,0.13708681814342827,0.010490061032971539,0.07239869850981116,0.059403444822581385,0.10038660489399832,0.1009744977702744,0.11715572529881002,0.03915536724190974,0.08804576487659647,0.005569828687983591,-0.010604237812310579,-0.011695085123588269,-0.007751820074536878,-0.05918192977964338,0.016217883364686155,0.010360626100048257,-0.02732907307503094,0.07090524896962343,-0.009607159978772333,-0.007413635163267769,0.00032226011632295213,0.011731422001071775,0.03681486435133609,0.01696720392817269,0.032762335173599395,0.019436446614551794,-0.015616276443946926,-0.01142295536095594,0.01317071286087715,-0.004103633466032703,0.02509319612511861,0.04795523027319197,0.012411922889357045,0.019648404184743007,0.02144408867324144,0.06575663195027757,0.030064058996784354,0.014465761510522278,0.004345677982006485,0.05596392980780133,-0.023387963838902022,-0.01549142678091663,-0.04554912877507704,-0.022155775636512845,-0.0363248763133279,-0.04666797881708305,-0.07158110501005405,-0.04495714109131374,0.03081144279601244,0.03054111548569475,0.12536645011291886,0.01379341074095679,-0.05018115813516338,0.12037056086891727,0.011502665632847166,0.09872416146145802,0.10466964552805308,-0.017151725426265047,0.09768658783109103,0.04630840284588339,-0.054949036392676114,-0.06438330672982849,-0.050464339712133564,-0.013748105749365198
Other Current Liabilities,-0.035613651117971816,-0.019118341933358197,-0.017655860896696983,0.0012171225838223214,0.01497038442100245,-0.0121709783995954,0.011641664075837934,-0.010639676607079318,0.023650296787798286,0.03355052496818735,-0.008304028028531946,-0.03365447351402569,0.04467036107469677,0.046552065325575834,0.005507719569364592,0.054911432239925985,0.07493187749927371,0.04519113087586603,-2.833575266130003e-05,-0.007436922854525874,0.005672204625155466,-0.006572810236675856,-0.004340046182178326,-0.004179863041350642,0.10761495608065033,0.11266538031781076,0.10802835264658783,0.01518026422163439,0.03423801932976584,0.026313583028769537,0.046940538769502965,0.0444218217279907,0.037812593014032246,0.029033355156721855,0.05617549907509097,-0.008258898004465567,0.04029876012071771,-0.006315140193941548,0.026883104253096,0.08406663610186418,0.056537926814430116,0.032258176577142375,0.03230532632253639,0.0345449608891479,0.017498933123998202,0.02480682459481369,0.010027717487866433,0.030896864713759527,0.03380845115069433,0.037509331717732755,0.03036347875040677,0.005251191271742447,-0.015853163477285638,0.03081253940497757,0.02809355877375442,-0.009796478325347531,0.02987672795934778,0.04299629260325254,0.08073032291838039,0.011894323679377454,0.08507529489787918,0.035796713006738506,0.026130617470023935,0.022373906385667844,0.026709781826781395,0.02865564793147051
Total Current Liabilities,-0.02933269042355791,0.0045204420487610026,-0.01746533388011545,-0.0005173195234568738,-0.0026690906142716577,-0.011416902529944747,0.03381117274348237,0.014389018184146977,0.010359144016880836,0.008268693068114405,-0.022208744155151963,-0.022885618001412585,0.015523009596088017,0.01355163951632439,0.017570348006474935,0.0030206812795137913,0.06524333802059963,0.06810425128233565,0.07265167088436364,0.023787992448463396,0.09878770034284329,0.07185519276537246,0.0863204691304642,0.033370129715546114,0.07101286292052118,0.04969931575733674,0.07747941002995966,0.018821102718341236,0.04056018192206825,0.03768843478270502,0.05143916646818866,0.07604567386078893,0.0441554269869758,0.043663444240205754,0.0970831500261168,-0.03225975069172757,0.05547127961634889,0.011954223413250952,0.0013920783037866668,0.06103904886162933,0.07813725928333133,0.020959714194184492,0.013181715940881496,0.01269979297268013,-0.011642252044148534,0.005858886796438846,0.03929336626609693,0.012906142083069918,0.009271278078724817,0.01114647038869228,0.04949079144024525,0.028415053766127404,0.007434170990542337,0.03162314933658121,0.02814489400230303,0.015721670591960932,0.047924201630647784,0.030598020281920296,0.08238988348399837,0.0414559479040474,0.09138145659039748,0.04357466357127192,-0.01791562610936755,0.009047041688279054,0.017506909283593806,0.010187823083300457
  Long-Term Debt,-0.040343531351675614,-0.03552089891826554,-0.038402100831529916,-0.010751963303546542,0.06392973374067448,-0.03312487410134122,-0.03064075461306368,-0.037674404304058336,-0.027440062696943674,0.02155542089414532,-0.03540295173515714,-0.04316744281873915,-0.025742062241680047,-0.008694330371154699,0.0017134357513095152,0.0017299278550729422,0.04600271132004064,0.04525981889664354,-0.00450996230194879,-0.03205351794104884,0.02473164728254941,0.05445252118558446,-0.0062320102791202266,0.10915636068137857,0.05730904298076438,0.08703416493481182,0.05411475144496935,-0.0440850635357966,0.020633262824299108,0.0018234823181412273,0.042042912391512005,0.032708699312785715,0.01231201814624711,-0.0028140468603636308,0.04752269203297506,-0.032968575261271574,0.04745613841220306,-0.030760546982854506,-0.020937062816525864,0.04748156516279855,0.045810780250790134,-0.000568191791210133,-0.00862984008840648,-0.012247795901732443,-0.03596246173363088,-0.021186075657078453,-0.011454419369138545,-0.012363622366553832,-0.012139108636362559,-0.02504568000856614,0.007811906409718156,-0.011643893423810923,-0.03902310428393582,0.11386076434230961,-0.01641906331561835,-0.027799865189941493,-0.0022008021332322507,-0.018488419978800016,-0.035606900361873944,0.003278281108315994,-0.0217541476570886,0.001206415447018514,-0.05827825199199195,-0.03727300240352131,-0.05366241525734832,-0.045540404526372855
  Long-Term Capital Lease Obligation,-0.06917486739182405,-0.057404110391946955,-0.06970010245845576,-0.03514812242801573,0.0584802688235599,-0.05958032228685743,-0.058248364296310196,-0.055452836796733615,-0.060135321136349555,0.07069127534560003,-0.0657375568511786,-0.07010440818811695,0.017818535951549676,0.015284272937565527,-0.018517660746112295,-0.028434258820279758,0.04061022021787874,0.040288965001354544,-0.009425859103210577,-0.018329194862380608,-0.022299376605898927,-0.04336413427543617,0.01901967388218408,-0.0040876509872951345,-0.007338702195498911,0.0008313683386904579,0.00801698372651076,-0.02574656721725479,-0.005635331392438195,-0.009577262125039798,0.012671227079739092,0.03500163043358295,-0.023571159771286123,-0.02455385939317016,0.052722709281936835,-0.062259833086122374,0.013579951907116061,-0.011462041770130764,0.005632316588617797,-0.004458774312471684,0.016840971458407825,0.0035846178708243935,-0.017596845224432646,-0.005178094347699448,-0.013056871284715239,-0.0036790806546189497,-0.012140747937125551,-0.007106264518748115,-0.012760849480426897,-0.009454791223111079,0.03072040488044654,0.02778405852450643,-0.05485884167218758,0.062217224990629996,0.004922696205263304,-0.08878419760923328,0.02706835177568366,-0.03292296344477434,-0.016510145179079144,-0.018604795148957742,-0.01680579689838733,-0.011663388456481693,-0.03977269972672914,-0.00857190541731544,0.028082432514349245,0.021295340509331923
Long-Term Debt & Capital Lease Obligation,-0.03601486364265312,-0.023700906533924676,-0.039612256779043065,-0.034017903182301565,-0.010185331824932782,-0.02280133489350782,-0.026622774502174124,-0.023561441804694556,-0.03596266706480835,-0.0009492810592730645,-0.02044842809434493,-0.04031266994836925,0.023936655367083857,0.04304518921054434,-0.006925202356269726,-0.00047499958681391195,0.042010488536326,0.043053425156680765,0.007147292244578645,-0.015981170177523606,0.003403560720993631,0.008248602429149399,0.11526737835748779,0.025260563465892373,0.01190002869612281,-0.005338825147100887,0.01010191913897927,-0.019632184095075007,0.03583813097239983,0.012649047001133736,0.019207228663407273,0.01899773842256804,0.030842635518466204,0.009200135621449421,0.044576795536617066,-0.021492700372702463,0.05131263990339926,0.030935522828205126,0.008210113761554994,0.026763828822403943,0.018496651409838673,0.013261590770517532,-0.0255086291221552,-0.009541110582125083,-0.0019218930642372245,0.0004982813153542472,-0.010461032746008056,-0.011231972326731822,-0.01157268131142054,-0.008695992768024085,0.05188398093308585,0.0460003888118798,-0.008614020815516389,0.006105566977185623,0.009780087708753268,-0.031658517026678,0.047817284730664954,0.02849510442624826,0.02490537358255331,0.03315678506200138,0.0008820371218703554,0.0020254528827780872,-0.033410600697904795,-0.03402498642664617,-0.0131158694304717,-0.025343994056410003
Debt-to-Equity.1,0.02119847811361531,0.058222283899627476,0.04447088950317197,0.020159225454442542,0.14991510880597864,0.011839989774025624,0.022171423727063502,0.02404942401878719,0.06678229354696542,0.09833709870306048,0.00400766555799199,0.01395213749965292,0.052408033672793945,0.10725497522673579,0.0750204091196368,0.03569681189832216,0.05799179785523051,0.05941192044073723,0.07037605445484114,0.01840687746213526,0.07183608636051743,0.12396449286686757,0.03999723876669287,0.13816197235319416,0.08814871283419894,0.10721355267846129,0.1058487685069724,0.06878699214697401,0.0775589072734689,0.07360043813531192,0.08181310209831907,0.08237033470686866,0.03185163088867307,0.044703949407277864,0.09285007392477977,-0.02556341586445163,0.06285419401406321,0.019321712303039897,0.0408240264409774,0.05945915351662669,0.10622452836293339,0.032252746002787845,0.061759965897545475,0.021154056121754073,0.01741153601522874,0.01916015578135144,0.08417182500414265,0.04268797356402427,0.0332711689719392,0.022124117637627484,0.03496263977437274,0.03883059610243425,0.01420357542045013,0.18045048170931216,0.042310260118868875,0.017725769964638847,0.03764887107646382,0.039450132877741254,0.05301198618340003,0.06660777012333279,0.0530948110570882,0.07264371958302168,0.02476019333488146,0.02868509575525099,0.08237178481661611,0.12001957477172441
PensionAndRetirementBenefit,0.056572655501672536,0.08059887668658328,0.08934206160358552,-0.014576423634565142,0.0037821565480929504,0.08784266568235626,0.06837764178986917,0.041665683765832275,0.039012709516743786,0.03657495867150328,0.10386456936672106,0.03413723676168401,-0.003242431214765227,0.05698837699803411,-0.008898908117429114,0.011932406561192769,0.01252682554587354,0.06914604754678018,-0.0009527200499932953,0.09181319295123065,-0.011243856657795386,0.0662222453685237,-0.007209777671301137,0.06350503480487589,0.10855377926903965,0.07684513997106443,0.05845774511021517,0.041445779960108335,0.013852703694554547,-0.0051653610993634864,0.0515824145777638,-0.004456511330627015,0.006645395709865619,0.12190451235804231,0.012745238574794355,0.08403117751711334,-0.009349326453659322,0.09909792896101617,0.03186419780255607,0.08860487078635926,0.023424395554238323,0.11335959728608644,0.04392710550195414,0.04898541925385542,0.02975645284897629,-0.016247258193870684,-0.024903637706316314,0.04036931999604401,6.441344768807079e-05,-0.01139204963971017,0.07736770099665931,0.03480696049176637,0.10648865750545228,0.04495267198497784,-0.029524676236268987,0.09964818679757986,0.031154405964909558,0.13638389303983986,0.20660283415295527,0.03394485489761835,0.2211725442806374,0.04001789009707892,-0.05796972606141013,-0.06340552885625905,-0.04709414060435925,-0.07282344187991169
NonCurrent Deferred Liabilities,0.03632047236649022,0.05182808968716536,0.07081034001749892,-0.029065782638091463,0.015509990205112689,0.08968719700810636,0.08513145712335365,0.05865463024893703,0.04673156889649169,0.01569645081855382,0.07730031282716619,0.030161599836176726,-0.013376634124872801,0.004424985561147586,-0.02057863948401071,-0.01445524603262618,0.009771014304507197,0.016892856336020206,-0.01422850152881683,0.0740793448735806,-0.027815194365327846,-0.022363607277866425,-0.009918294639594464,-0.003358840758972057,0.04454070228388435,0.009725411657784906,0.03343071953110401,0.03354308819385442,0.0020094472482687278,0.010105627174581789,-2.025298550671368e-05,0.015960023884681724,0.019336058771347267,0.07071499066367264,0.016266731340546094,-0.012346942322048788,0.03417112673232834,0.0837389633095153,0.027621462607303023,0.0005979331914354488,0.021335382892133197,0.05198435573761167,-0.0517517106601221,-0.020960085832061746,-0.05037131130249208,-0.03295315843135987,-0.014645588663113503,-0.03095961816078081,-0.0228624489804253,-0.03103845079498794,0.018352969278990633,0.02541922377239803,0.07761370933361555,0.01733233051317908,-0.02666331833411873,0.11972117668678366,0.022087662016964577,0.1644317529527547,0.1834770828830032,0.05430598589144938,0.1842010683042096,0.04505492872659895,-0.06262858910138078,-0.0404200053408968,-0.04024309144041893,0.015133513316691837
Other Long-Term Liabilities,-0.04182949101262849,-0.03361510152763438,-0.034744814843932194,0.028767644474372082,-0.010576245381466357,-0.02074521742626171,-0.02000237415790572,-0.03554000528684796,0.018014801899960093,0.01750674208786528,-0.036076861905593074,-0.03737964989236249,0.02181262341091847,0.030933399963762282,0.011908775641201122,0.06344643626968935,0.07200238578984644,0.03626191738524046,0.007745019906897557,0.017891988628365822,-0.010195530402054528,0.0034572956154695204,-0.003177347708208899,0.02326604184279009,0.10505335236345408,0.08758543700790436,0.10402172659959703,-0.01451415279235877,0.11489746474154203,0.023214264966378895,0.046417443821831404,0.022804565021145067,0.01555794290750728,0.0015146052199548614,0.024412622377341885,-0.00249681330165685,0.037670792771515825,-0.0023892596249690534,0.021147116448144727,0.0707459480136847,0.04029295482583492,0.03281495372068846,0.029248806363313756,0.049761858700137364,0.02382184757575532,0.0446257794315505,0.02548474065390938,0.05025524287969304,0.049842849396361785,0.04883246900413476,-0.0006350693835003251,0.013824622029992142,-0.020698956797569185,0.00964124248631472,0.052402797366691255,-0.003941753660759944,-0.00805344416323565,0.08704710564539644,0.08980840762395433,0.015231229503596365,0.09237498689081354,0.03114108070720304,0.02814847936307029,0.0022775842871777664,-0.007232820879820904,-0.0019262756271364082
Total Long-Term Liabilities,-0.01586555229943688,0.028369519191926897,-0.007850925167009224,-0.002244715436007698,-0.01214928231148832,0.005563621514870141,-0.012594921403841327,-0.012710748174136435,-0.01100202555744101,0.028680655584845838,-0.003227701863264064,-0.012934625105733611,0.035268749824155315,0.05087313113168524,0.009432618195996128,0.11237866795278217,0.05338913608162232,0.050498610700892864,0.0598452871728998,0.013458734807542774,0.10017414567148532,0.018595971977117893,0.034899436856744966,0.004702528034369799,0.07132116937292661,0.004423041911229675,0.06652314710337219,-0.016209488350508807,0.09111038783465095,0.015184557909241635,0.027833543865333498,0.02098277177576312,0.03314859553600478,0.001334582089290486,0.06071443065614644,-0.0133168895820702,0.03454166143052697,0.01226094406353596,-0.004533201895914803,0.04003122407400316,0.05676503252614908,0.002826737044252541,0.02619077218325505,0.03778226689224671,0.014015326382839609,0.028804239920702412,0.03571262030522508,0.03238268532979989,0.03429368161629637,0.03820146337041434,0.023141399240252665,0.003625656979351682,0.02888979578214613,0.042077680600970176,0.061000504973709596,-0.0016408480020534987,0.0034097317288608133,0.05733590074079311,0.07796075039770009,0.019031884953027323,0.086902091516433,0.035183061525843065,0.020984708730827056,0.0010871885361144512,0.014222787968391257,0.027447347700230156
Total Liabilities,-0.015754111239061695,0.04292189080352028,-0.007671517230950326,0.010371759242143851,-0.004256597341938278,-0.006784404143739955,0.008765829258092096,0.00679054863560871,0.006715984166100999,0.009820005263781486,-0.008232991806784313,-0.006679454013963017,0.021407546761869827,0.0009477213420524991,0.031234618331171308,0.06271914907850686,0.0440340018781289,0.039412493866221435,0.1276319509160283,0.05247040922826529,0.10023435087830129,0.017838866361916512,0.051813398784391854,0.0489069515685247,0.08154163577512318,0.04626943542742568,0.08364845645445892,-0.001401743818615076,0.04972413231614065,0.02398624376561415,0.06354546078057312,0.04538317852206133,0.021086685839435192,0.03163295823500452,0.07262950126094307,-0.055339181055795064,0.040392066953870084,-0.0009709633043153113,0.01102173689214494,0.04002075466190735,0.04450526468919414,0.02975967039976376,0.022423122119705693,0.020469863983080098,-0.022755780456346415,-0.010379058132951867,0.03623337548107802,0.007732697740497108,0.019747261100386604,0.00991296139958304,0.049259132846488626,0.036913886447677874,0.007141781075911153,0.030192993375759734,0.049780564844221456,-0.0145015337052753,0.08824058828076027,0.007018553896913667,0.0187438279766523,0.015188591219971442,0.06490077784280793,0.01407684238131813,-0.014144050749068882,0.01798696698799407,0.0073295289350649,0.01570139835312109
Common Stock,-0.005204990646736083,0.007196340708898392,-0.009381717972738145,0.010299701402090083,0.028640138185960874,-0.006478910405836827,-0.0053083204185814924,0.003264082224949622,0.0075948175083017854,0.05063670805824271,-0.010864138711144673,-0.0170159117052841,0.03911116229657261,0.04207421677361121,0.023396588059953136,0.021864811432037935,0.0181801646850519,-6.3676386397370295e-06,0.007437722787125362,0.014383790281725525,0.013772666604816608,0.006432753784807047,0.015402043977767,0.033679767792103785,0.03014997711524292,0.030133975689130118,0.017719498618817428,0.0198308204238624,0.025725046585643518,0.0022976919978128043,0.034960059078227024,0.023113450515728162,-0.0038528080708526923,0.0074332845672135574,0.03289042468494518,-0.025894588077737403,0.006389512740845236,-0.0008230621576176141,0.008615104980650736,0.028310489947043143,-0.01762859624306262,0.015395491602963255,0.0557274613808229,0.045234086258916,0.03688176630146431,0.04358401977590402,0.0162942803094291,0.043644919152543885,0.5186165465379646,0.5273828244426205,0.02473681218287551,0.019035144482708443,-0.004981589861920858,0.042303525413214804,0.0349623523205516,-0.02916997212468679,0.02572678270841349,0.008258870241789895,0.007580815504671285,0.00676769352554475,-0.00012780249044380253,-0.006702217390616087,0.018412802879305596,0.03076683899174381,0.05162736515607047,0.04956882599956364
Preferred Stock,0.07802628689259643,0.08224128179420229,0.09632521773440317,-0.02431732548682366,0.017889836712295458,0.0866022181138858,0.04343885959428261,0.029161970583198357,0.07056485611352542,0.04088556695266283,0.036785023035096974,0.08687356107843916,-0.014687904124616541,0.008403953923787908,0.003842309935631986,-0.029344329106909574,-0.007021346361643802,0.011334534143628127,-0.006604565811318655,0.07071497743270372,-0.021709044953016284,0.0014335938478671753,-0.018809812277394124,0.007188408133501725,0.024265813631894208,0.013976271503450557,0.035664317331479733,0.018274221626794464,-0.037409348111849657,-0.025717540787501537,-0.013912144357891197,-0.018380323589331036,-0.002762742093214727,0.01258846591951876,0.015413361598161472,0.011221371683809829,0.021890696876022662,0.08659060057829251,0.03221029269104973,-0.006992841058613851,-0.019584356559313388,0.019886365180032815,-0.010758178521412837,-0.024730679198073067,-0.052693973556083636,-0.041513258632647786,-0.03783088039073866,-0.04425552429307582,0.05383887746979971,0.026047335860363924,0.007147873039461001,0.004794439905775116,0.09351349771585558,0.030017158291905828,-0.023173911928120575,0.11958277400186232,-0.0007514640879758431,0.050256259089234846,0.068363159303286,-0.005605274483473369,0.065449076050041,0.04119194208438268,-0.05709440704112595,-0.021990002885281173,-0.020888251900554284,0.0335954733450581
Retained Earnings,0.03679080547654011,0.05880354034078619,0.07310077808654926,0.06499386181529532,0.02573153141293996,-0.014298281359845736,-0.007342517355354028,-0.004942404666403173,0.0029000362001105626,0.11115398437405373,-0.01556346621883567,-0.008452108176309151,0.03665095861802738,0.03843918728517266,0.011121161820814029,0.013001912663193279,0.03793938440236286,0.015370835151140747,0.0634523186878074,0.08480147382411804,0.06684381657667268,0.048241518100967426,-0.006188903683040843,0.07574919892067436,0.04651207353339778,0.07274004484005597,-0.02154892185324743,0.03805047843540453,0.036674012472182674,0.008531238860503642,0.08606461324925081,0.012796593710644552,0.014851217237995944,0.0491549132394158,0.025549136964786216,0.03124799702797393,0.04397329526654652,0.011760783046969286,-0.026468833443081652,0.05278064075997879,0.033543497947645814,-0.012241121888113124,0.04199427967705146,0.0187544929793421,0.07209108136831567,0.08421028182995331,0.05130748638721343,0.040376158455752625,0.0855037357252169,0.08117214150273896,0.05423692164959642,0.05672251547167503,0.060314451751101984,0.047171607555055055,0.09359616506077774,0.008723785695996527,0.0556421461912624,0.026120631242419874,0.005457977259110944,-0.0010127436548182395,0.01719561572688253,0.019248436295470576,0.0013324868551155434,0.051509889095658644,0.008233891790615518,0.03717283600291353
