,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
Other Stockholders Equity,0.037437247758483456,0.03799148230293707,0.03443750216430256,0.03665374936125443,-0.0003978182425678385,0.002338653972648809,-0.0039670297777467,0.028335863975381327,-0.00975835028256732,0.0006150303534969122,0.16208665832671265,0.039459409745370426,0.0012361134683285249,-0.0052894237608030956,0.01691689514172081,0.01847029023723721,0.008760034909370367,0.052049307935854765,0.012255957038559324,0.054821785230948904,0.054338494961148384,0.054445329543286076,0.03871322739030719,0.06872725670158245,0.02411223683977958,0.12650187983736802,0.0446350237891186,0.06347984605841742,0.024273981655462726,0.012064224871410493,0.03859836364471242,0.03905681623451373,0.1316050926661861,0.008370164879345726,-0.02227683488519929,0.041998943964580294,0.10520390563707434,0.057584495025483344,0.030464297929966015,0.14648533151876417,0.17009008875359594,0.023018211235278394,-0.017372757118399217,-0.015402746667691702,0.00313054004770473,0.007308104803718091,0.08312166091387196,0.10236449997781522,0.07305423821772689,0.10826709065893934,0.05970283107481881,0.1435693623471508,0.11815993429387285,0.15436201373259212,0.1660713609399385,0.01765243945378074,0.006552118110933111,0.1304242851214084,0.008034071359327176,0.14080261045470882,0.008003402296261068,0.0010963136852911682,0.18579812691845216,0.09909090164498066,0.12214054481202145,0.10080892812458501,0.06385641751694628,0.16110294966044336,0.0368123893632949,0.016386468146471968,0.15640367782946832,0.05856627399027801,0.02341908865815664,0.03823130280643263
Total Stockholders Equity,0.01408065616242702,0.007168941872162882,0.01702520596928652,0.03756216692184879,0.02746666516573002,-0.008014345426726938,-0.0014411562106421603,0.033555020655586236,-0.007792555378586719,0.003124635334255146,0.07431356855172049,0.03751490804858969,0.0224334112907624,0.03271356102781672,0.011010407560932498,0.023094201765670782,0.011300413772792365,0.016447780415776242,0.005308019317840659,0.03936884075986608,0.009634631305505497,0.033853871129634054,0.025060783660617918,0.04022775591407735,0.03819340482652159,0.05927527005077891,0.019195932536821555,0.012043952169871766,0.038372528389217196,-0.025216148532471824,0.042840524931625344,0.00880834977635181,0.025341006737458854,0.01024324624342185,0.009046312561427808,0.039836247018976985,0.0297205435596553,0.038394545408623304,0.01671141343856763,0.03513628976495019,0.04266107340509382,0.056558038765176226,0.0010610829916598745,0.004654597310338621,-0.011031307936311886,-0.01629260165735311,0.06160694580635794,0.101936939432518,0.0880595672659306,0.04561981676614451,0.021734087802774634,0.04236469190302489,0.054967034148927334,0.11664309831966303,0.11604751404808317,0.015010382055523784,0.007428131741031128,0.04152934768004356,-0.00828830331602489,0.13947661102740258,0.0038426274142634178,0.00885082030595659,0.1146747753489198,0.048578380121147915,0.11345788791494399,0.08350452379257603,0.0172777992533908,0.04307445906628672,0.012869505834205493,0.005325146224192329,0.043031746231931685,0.012011129566136865,0.05439845094835531,0.04616683108219292
Minority Interest,0.032745875193484104,0.02642450050251204,0.029264874689755915,0.054976022120386735,0.033024924205015974,0.025349153001823565,0.03358167908704525,0.020350866740218368,0.055643998700257755,0.027906542539775793,0.024978019601574714,0.0442103264012818,0.014264971267048723,0.004216635268349995,0.018539757987999363,0.03285731531480805,0.023422789687136392,0.010005362364578864,0.016043974050886416,0.021782134935677433,0.0429852936186202,0.163997875963957,0.1689290648651393,0.1287978683107653,0.019160858904173936,0.12153684672960856,0.03062557038906053,0.026667144911976297,0.015380643498666352,0.010163004946880567,0.1035092275034004,0.0143045587157348,0.0610903650581732,0.0894313435152589,0.05662335201886002,0.0522492462483764,0.02302012337370579,0.1330927655878236,0.1194977446002827,0.10087310289700835,0.1378736998553695,0.026159798181755203,0.04403324558370402,0.06112905067819831,0.016729277332449118,0.017919821973598295,0.014200515715536426,0.0729033456824995,0.05454150916473398,0.050326581057452704,0.019842057394444904,0.17161070876160445,0.16366807605516845,0.024143432247426308,0.02265879350804525,0.0271957560800386,0.006746945704163947,0.1756089595327294,0.035468625351485907,0.22283560554618276,0.03377151394890317,0.0374995740895496,0.2378699250606858,0.15732021648370814,0.012068044879931438,0.5256787796079995,0.016836251969153955,0.11476274724988712,0.03442209729282544,0.008549532277718697,0.09509348863723482,0.024144436056934136,0.018910773489649618,0.05833334861844284
Total Equity,0.006261081467150867,0.005844637577819477,0.005395943875128723,0.031329488765265055,0.02148173605086299,-0.009676124453523154,-0.010290781629693093,0.01485499685214868,-0.008253894667675586,0.0011188107263035213,0.0895047168735281,0.005154293469255331,0.014670893369211235,0.012918637045752978,-0.010177459309687657,0.00969836322495624,0.007822208843626912,0.014094298238446136,-0.009340580995738989,0.013852535735744827,0.01805603641142744,0.03226134630202424,0.02605703350715137,0.05107260819035115,0.020144253981697266,0.045448263493117175,0.007494486794380592,0.019244455509553726,0.01951737909130195,-0.018079796753094606,0.024958147572249664,-0.013120506554258261,0.021370639635820556,0.0031591569526893248,-0.013966562785417712,0.043043268569992625,0.01476186671476419,0.02405523574190649,0.022195107794070017,0.035843997203592805,0.03847052306727454,0.049910665099490034,0.0014416446142759467,0.00288853008055386,-0.014647136625796073,-0.013205539661142346,0.0002511007918566833,0.02865205115695245,0.013338946241322772,-0.00023615605365092263,0.016226923843419373,0.04350289146217066,0.04213652827946936,0.07341373625080691,0.09310611151732008,0.008349958184587095,-0.004770703940721571,0.0353280141023046,-0.03128491899357517,0.13344861960329243,-0.009915714064326578,-0.0010962881218143424,0.028207044785745164,0.03252328853573107,0.026870043178936695,-0.0009079679295348102,0.000424190813254502,0.04415305973082418,0.009048474684996418,-0.009250399294454224,0.03542821468698835,0.03699979530828429,0.04132845223356671,0.04641071467352092
Equity-to-Asset.1,0.09293442458072523,0.09540385741758742,0.09768937023338813,0.2001931307851263,0.1786010672188345,0.13920563176750836,0.17703150873396153,0.08113270248297924,0.12628859539191004,0.2333626027592663,0.21568047883138292,0.07544989574365511,0.08968249609575892,0.10645800144465688,-0.005960753831955023,0.12283310982339908,0.196689583468137,0.11142882990938245,0.038451841399497186,0.09163302440367257,0.19940747016929705,0.051657193980974764,0.09290189922375415,0.0453242614814791,0.03246235244479281,0.11490314030759424,0.1110974580561775,0.1363768474642575,0.0602366442867205,-0.011296789023015365,0.07042235563228698,0.08006185706928867,0.0648164719415055,0.182583877787962,0.012911708654351213,0.12111438218422763,0.14259703874269816,0.06548064573287835,0.0011421350703786986,-0.0025315509925204005,0.00912124876483241,0.03293540288526762,0.18152830426688177,0.18417258788984806,0.15815622419659248,0.1564485824423842,0.2325897916055975,0.28155005582901693,0.26096755590608955,0.1223554962535852,0.1550949691914395,-0.029193512806861936,-0.02769057349101049,0.19412231244701872,0.22101788285420432,0.12499281045910236,0.09362751920934183,0.023727189535593062,0.15245339801638397,0.06506290126563725,0.16892397602997627,0.21204381121455648,0.08987716016996382,0.09076369579253274,0.04421112550298361,0.08272991717826153,-0.018017638145594584,0.0440355812930301,0.1522978059425608,0.13235110585983628,0.0035307039381216113,0.04967479921846104,0.06651219588382426,0.16361542083836692
Net Income From Continuing Operations,0.15624163055168516,0.3301635001470107,0.14468471931099391,0.060062145227706504,0.042048277288260015,0.05453755823427915,0.06334156542349882,0.027154546216471946,0.050874281529297086,0.13980009219068618,0.11071299322060452,0.036216159818583206,-0.010231790866065633,-0.0021556526614133383,0.04362175562948817,0.04544635115608454,0.022188869293734505,-0.012027870303264458,0.011673047508281745,0.013912694373927642,0.04496001829953351,0.18883183547508456,0.04191231813109477,0.11301801262342864,0.012509390625028151,0.12836071925020037,0.03591678822725371,0.04895955863226501,0.004859675332572737,0.02837494442709681,0.012806281885109475,0.053140610284901635,0.0978219496057815,0.054705029526371865,-0.019338113275482724,0.026963091052973197,0.13891461017077195,0.23651086961337744,0.24173832414107144,0.13476215246312956,0.1524622878767948,0.003904922869748298,0.042677695408667914,0.03597112160178844,0.0837754918656743,0.029380391543355134,0.1126087212193725,0.04208441751969235,0.03454881023663871,0.03641672276044097,0.007375710384534157,0.32074907129479097,0.3258368314300121,0.04337461761845835,0.03788666677143045,0.02717162058172568,0.007438003237944995,0.1728620382127437,0.08994023405938771,0.18693424292172217,0.025053305747043713,0.03199596096813076,0.1252627856614188,0.10881819561776404,0.006335502871552887,0.018166604937160182,0.061904200696794955,0.12783218934551283,0.04272659423546312,0.035970148468080464,0.15951973340986003,-0.029804277292037388,0.010445315768471061,0.047457430073395084
"Depreciation, Depletion and Amortization.1",0.020640186267355733,0.015780171640123786,0.01583084137637591,0.05264138994875835,0.002651985102387117,0.5364495459810773,0.3108212264847206,0.26989990322018126,0.013764115273145434,0.011200333987428465,0.028272887978278725,0.0073281065869289725,0.05058965133951665,0.04626746086103659,-0.01277925904065863,0.046868306710742054,0.04622870015207221,0.04781862202291505,0.06802871660852981,-0.017106615324149844,0.01530406939125991,0.05113459745717954,0.05918181616296677,0.06303692830269707,-0.00863053114917718,0.1349626286199808,0.128442946538624,0.1119869733512625,-0.00822564466867563,0.01497964360849056,0.19134558074046137,0.08717239828945612,0.001821219035282858,0.017782273921758518,-0.04431957639717063,0.05019746015843057,0.13718915105761076,0.06600810814193808,0.06400970639186562,0.12035388618031988,0.12715350448216303,-0.018365330055957033,0.006240571833726316,-0.0033058051015034257,0.0026041035689963726,0.014310890160739269,0.0057777123009620495,0.025759289033123654,-0.006223630640600809,-0.03916733992559468,-0.021468778277739232,0.050255142041150704,0.05124980392061586,0.10325812567160962,0.1101683375579502,0.07506953120040907,-0.017988710926318846,0.08804306329900316,0.02779601499132564,0.05387002924979776,0.017559792804421576,0.014228178936377412,0.06972650635339842,0.04116290925384211,-0.00031316833479058106,0.002460506741296329,0.01447746893501548,0.12514834618596957,0.012175375976893249,-0.009404056894225337,0.12524559297038934,-0.020554439289487875,0.0057703896150957295,0.04236083388942122
  Change In Receivables,-0.011882261887761567,0.0030544257995495866,-0.011350644431616617,0.09239943344226255,0.041244333489852666,0.041968777733383894,0.04486896519009796,0.05074149409988896,0.045178350923607946,-0.01228933642631289,-0.011027514332566532,0.003911945779982707,0.05287314216073259,0.048524500786558664,0.047254155476129295,0.054705268230227144,0.049780897517394174,0.04116333056649464,0.03272708629406399,0.06321737436070311,-0.00704077552714087,0.21042773148822996,0.11298273269474038,0.2954614902952904,0.24973888484716367,0.27139476193268064,0.07714841668625819,0.07654682700607386,0.07605730780224602,0.09838035650122672,0.20854838833732833,0.12498859671488366,0.10774239019600047,-0.0019118726305191068,0.011055551917550975,0.10502301650633752,0.02738357841304475,0.041459464172867416,0.05424157276650555,0.030756964783852325,0.03199832837916443,-0.007130298091931392,0.06607503267758458,0.0825833239403948,0.008384873447960139,0.0025605592221996315,-0.03431053278094795,0.030749101640580673,0.00041599680067316933,-0.014269494256340758,-0.008577892759958666,0.0664736794943443,0.060952273788009284,0.007218430610729708,0.002262384367516513,-0.0012249187736776928,-0.022245891638379783,0.09721557888119339,-0.007180518692149578,0.06251001011928085,-0.02434733707823824,-0.022831718611754835,0.12580931839995657,0.052881261964820084,0.0071522319494397414,-0.003183222666905361,-0.002734735657587703,0.11271754522284688,0.0733139356259759,0.06031066498208454,0.10885187852844076,0.09909637712847787,0.013264246012348498,0.09345199673178753
  Change In Inventory,0.10455674997215805,0.1080702361618749,0.10175207889781693,0.11170363683448109,0.1512874504323639,0.07534023714219497,0.08398924878675873,0.004842200082190724,0.0971709425735747,0.14545583270300064,0.08295918888318554,0.022521232579062123,0.0039901424662272325,0.0047255133877685705,0.05024755822458522,0.09177242662782,0.004818312280173029,-0.0007601109319473329,0.027403553374076912,0.012157072268325754,0.10922681354159851,0.1314501304044741,0.651398028569164,0.18661396462093166,0.10238488384251362,0.08825754930288222,0.16015530121074326,0.26585645033033767,0.10691787995333071,0.06077811658020334,0.21468587155027846,0.07596479838809439,0.15051442796030665,0.12072299803635858,0.012520872225960687,0.1703021381289227,0.20657738153862643,0.15944202720797987,0.15769336845092058,0.007358183522779216,0.016811000847839257,0.015940324685275536,0.12280163731944072,0.11296941467128811,0.15895595251553787,0.13193563646712667,0.1252497204285125,0.17528433156322085,0.17467519014723942,0.059340946390776333,0.007380746353164792,0.02973987999425253,0.03961425429903856,0.15911515325538786,0.17119799353153833,0.12524230966381922,0.11336215755458744,0.04435588313928859,0.04912112877535994,0.03190481862847529,0.08841369453587344,0.09887655819976869,0.06582969286973946,0.0638315993560304,0.022185098665381875,0.017122403265561185,0.021643598290571407,0.02029306091176102,0.17144404474724537,0.0823552043883378,0.025196511517490524,0.10738922245031134,0.01512154431886945,0.15679064549436114
  Change In Prepaid Assets,-0.03421862008132086,-0.017071994796997943,-0.031246866454902152,0.04135022596712857,0.05375740941333304,0.05022951317038878,0.051583116792703415,0.06540286526520331,0.07503259737030642,0.07806536370255429,-0.025385788776427675,0.06193528869618291,0.022617755856016233,0.06105292669401884,0.049113404693442345,0.04722323580094493,0.06410026750044823,0.035318127445796224,0.056787552180881794,0.02986437066424422,0.018092443010857377,0.056638104136477595,0.07457029196729727,0.12067633832230314,0.07345255596543077,0.2798602646608792,0.09566229930170658,0.12353926089974693,0.051981033277702635,0.04051526207158875,0.11970829350586512,0.08669278085927333,0.1802480610036937,0.11009360009140565,0.06798170691230737,0.05525724200579058,-0.05374966875388646,-0.02281347959970059,-0.019129677108296373,0.027501006482787905,0.049321307915729744,0.078327885223537,0.016038431779401632,0.04992891935358857,0.006396900173629996,0.005456829185746508,0.10595366428840301,0.1056369762382517,0.09469673384107756,0.1344581444882118,0.07409409656575915,-0.01794158278339557,-0.011853905130153577,0.011706304183334444,0.016854380273923004,0.06931767717611521,0.07977849702387255,0.07463919061343599,0.04055214587707699,0.19283096992490234,0.03827598435926075,0.04916437090909505,0.07261659625625223,0.029477685830751763,0.031601798902425975,0.006747079009951149,0.12501348951894767,0.014941124363547206,0.11880998887147819,0.04913177979601397,0.021943807846733217,0.03292769401209705,0.010306869839930764,0.12220436352867499
  Change In Payables And Accrued Expense,0.049053111876079976,-0.026309158522118674,0.048790993424488276,0.03922659483899131,0.04825112724346561,0.07876022975134422,0.08553840892475963,0.05991619498835076,0.08479622355489749,0.0759063920163687,0.03722265118891168,0.07426668150577301,0.06207187769303072,0.06862814169122433,0.04332455450937291,0.04058152969368274,0.047034079351892355,0.05980718204356975,0.0656776492813694,0.054752961732681064,0.011967420221005996,0.057160021136335774,0.031932287842588135,0.11861829312138786,0.05489870110296541,0.2773492882290455,0.8032267506010126,0.10123128298419434,0.12372517832322262,0.018549104792855448,0.12113974444319102,0.11398091118153393,0.23502742110249186,0.07327316542708855,0.08572859653282922,0.03928267017974672,0.008639300338985028,0.06414710687535213,-0.005375121766521774,0.06681603919525626,0.10630493295022245,0.11308181720474213,0.03541832672598667,0.04053779958880221,-0.010888631574631187,-0.005780725755791461,0.026951446491919172,-0.02372636442007263,0.017986310077786966,0.12117394268258284,0.006508567986517601,0.05605551486908667,-0.0026447212998840495,0.012174493188520239,0.009519171109155298,0.043603104454264206,0.05755125635870603,0.05080849323548051,0.04504335815166023,0.1602637649875094,0.021773091547280844,0.018374530745119185,0.08802249204226209,0.03424127240679917,0.021361711301362017,-0.023751654215655275,0.18242256187934008,0.14989575805339533,0.06110269417570875,0.11211901245260456,0.12304378889933348,-0.007234219694141392,0.0640805197638977,0.0932748113856103
  Change In Other Working Capital,0.07134818609079495,0.06318412068448093,0.06579476876614164,0.052270763305074665,0.030031252464817217,0.02179525384572538,0.011752184392502515,0.041367800159334896,0.03787788059618225,0.09058388055365241,0.021461289436203783,0.04367147557649741,0.03461519739535501,0.04105595440154661,-0.005315924700833917,-0.013157421853223916,-0.003281831104896847,0.06715654570138635,0.023526664370473727,0.06920329469323175,0.03905461460684839,0.21585902192411668,0.21988825805298712,0.26477904253454293,0.09493525955378546,0.2068605288117327,0.15419195750001793,0.26009391071991056,0.085129338833184,0.061780363672799696,0.252437884496524,0.07187152207133012,0.24861627194079755,0.031223909752905163,-0.0061693198950523095,0.10186969948061458,0.2849561847820277,0.22563283842036508,0.1591447902960772,0.11086883322919053,0.10169603232277798,-0.004403751648363882,0.035202011393706406,0.035489022090767465,0.01965225359242128,0.02338758086413658,0.013333336294426935,0.0449245659494722,-0.00548724655151523,0.09208456622321579,0.07742320149299697,0.116677959240942,0.1149025200395654,0.0845126664312403,0.0822553805115579,0.12725815929011627,-0.004585445971841851,0.1501387623056279,0.033992583371901475,0.13150534148507786,0.00910975332520569,0.014515455925751375,0.11352303245195033,0.09536303772081266,0.05065578005364947,0.048941379507007526,0.1292210794239447,0.10007330783462148,0.10458720507529587,0.09578828681415086,0.12163837778326157,0.06450223571916905,0.047226032529895635,0.14701840181017575
Change In Working Capital,0.06530327020348886,0.06646593417066012,0.05493590301503614,0.061507609675054094,-0.007582395938768949,-0.01284469960888477,-0.01390515412659068,0.04939306652932829,-0.016250603030862763,0.007340960510504742,-0.015598792348464018,0.05829881186965977,0.04973987316161228,0.034543078904278386,0.019482588366411396,-0.005623134735086784,-0.016334483166909775,0.03951765843442047,0.018917716185966632,0.05303794127562894,0.0025154036038422915,0.3167182844558265,0.18297755141687286,0.2568076335664038,0.0945393969230814,0.24502367366735064,0.08740243294495775,0.16244044417850376,0.10315392773271559,0.06915071245031314,0.20696990141194993,0.07107408456788117,0.08544977704509973,0.0048082777920621525,-0.007644629810605204,0.04829643398348045,0.0864429726050939,0.17381506546589875,0.14569673784447437,0.0940541193702114,0.0925079507517347,0.010828732406542713,0.005401327420102507,0.01253409630039905,0.02634302705108399,0.023293216608682485,-0.0002892387550570072,0.05570184098983426,-0.0027130059179301352,0.05531066482884017,0.06471920165655419,0.13081013453908558,0.12349792126165118,0.0565970876984754,0.0564307540459475,0.044562411162522596,0.015379567571759997,0.1749322362560251,0.04061230385090846,0.13827765602440314,-0.014913311785211207,-0.0076150528659668665,0.10714096102384904,0.10733744637197341,0.059442285868183176,0.04888749099716394,0.06855078159268402,0.09081696956070963,0.09009862166962114,0.055164268194119015,0.11051969523267094,0.08120217761023597,0.05944296450119923,0.09656196537735129
Deferred Tax,0.09097899870084594,0.0881617006358483,0.12370658111853575,0.06717534369704796,0.12178960240828324,0.11331039258531653,0.13102588258879952,0.015433830350359553,0.11409002665464822,0.06971086070553384,0.07312200419331057,0.01901143837789072,0.006889708324116321,0.007482904501273353,-0.009247370719124647,0.06310485707076093,0.06613894571433757,0.0002979943425857278,0.059164431433917364,0.011682109135466518,0.07075686035439742,0.04592782619164107,0.027827424066558887,0.040685521978670196,0.017386653874184796,0.014781867341880604,0.07956686829570235,0.0908331225246415,0.017289710554025825,-0.012733963032502198,-0.00033732520443054744,0.21538116968122745,0.03353663031293853,0.11609211040549865,-0.02113442862586582,0.1373351522079119,0.15625271461317403,0.005651595801567753,0.006150901786783209,0.004333418227358585,-0.014700364502614027,-0.013498080481947387,0.12266782656683313,0.1550887065142072,0.0926092150777583,0.08012619114148249,0.06778055615291595,0.11505133903936131,0.09267466825313209,-0.007288772385080222,0.028480812944080287,0.015516039854450306,0.015562898026535781,0.12977743186140664,0.16096343314831302,0.02984932423450635,0.07876324417352892,0.0018169266771487103,0.1189031468459896,0.03575033981987815,0.116847990962839,0.14762233398582336,0.03407223977657434,0.027361620055628505,0.02591636885752669,-0.010562335278517273,-0.003211562643030133,0.006178740555848182,0.13027890578845538,0.0858566438084335,0.005221510312049257,0.03003200196725703,0.016680047455266092,0.10826358893842127
Stock Based Compensation,-0.032475048055872494,-0.00842096285032861,-0.013091248992343818,-0.016466687451478577,-0.0013429569301178306,0.010630850996298727,0.016333086535067185,0.01607761729822421,0.01984976691020467,0.07633350067084385,0.004416207617067677,0.0655058060707764,0.038462308920526704,0.04210428158244636,-0.025860462746810538,0.05164178869501554,0.05731966999218753,0.07071956551572271,-0.01974621554655343,0.007234891064430539,0.04056020056234638,-0.011535388418103212,0.002091389755148672,-0.018292902741173553,0.018689815331146338,0.015935419350663324,0.02052238755204308,-0.028962834307495362,0.00190968466543774,-0.003295663169503011,-0.015348780570603278,-0.03976389474754436,0.08365140484292677,0.05913069231564624,0.09619381932558303,-0.025224385517989112,-0.030035872837020326,-0.028009871874431075,-0.014363076324425775,0.04103524347427853,0.04141630753028054,0.08624050525025981,0.019170738630796335,0.037008197596113006,0.02314801496089859,0.04092242470550526,0.03308507791159226,0.016668134978448233,0.07879579621462322,0.11657915422591371,0.024984332680806187,0.006013935335137021,0.011230937031432273,0.04775112017530084,0.04360507599347606,0.0005768042028915336,0.02435676310062811,0.016860299994377416,-0.015389210022284635,0.09674424730535677,0.01281316125012591,0.013577090632861064,0.03616997196489927,0.03808882232552212,0.08178410202057398,0.048189895309119574,0.12196459939396528,0.038919430796672386,-0.008852388687478402,0.012323636684786192,0.0445018324930079,0.02337256246619414,0.0255242234368835,-0.02161876241291709
Asset Impairment Charge,-0.01512486641090777,-0.03237227315718347,-0.012781840960405496,-0.011128617519781052,0.030964511651333154,0.019476640836004772,0.06790051858160849,0.018352969278990633,0.017042413287362796,0.04243088695355411,-0.009322024928233197,0.029674751612703016,0.07289077972712422,0.03622548713030853,0.007657378853037079,0.07341831391293487,0.08275999489701097,0.07375953712076043,0.05152107107723213,0.007651014844287656,0.045865736515498245,0.0187501885966769,0.06124164522930712,-0.014255818146577923,0.01615000888993184,0.0461069401434812,0.04365462843554845,-0.011253841365702944,0.011853893500885865,-0.0007221314506618078,0.079960935357367,0.06452931641764133,0.10537468890552194,0.024435601288192423,0.07823052582223378,0.008579450632477996,-0.031174931233282355,-0.013847944765789676,-0.002290732083411926,0.04356641508356922,0.05796819652035893,0.10408041792894074,0.00570249827756455,0.04866775755366592,0.02113657232876632,0.015355084514436953,0.04859854328206681,0.03654986640202651,0.053671655405096406,0.10735497813090719,0.01867755123877827,-0.011626254689208944,0.007950239711454275,-0.01920077320926214,-0.02476308214770097,0.07308439579990683,0.08682093655075225,0.07437616172842033,0.04932868817579073,0.1380516895524797,0.020801843454090172,0.026221548742548555,0.0057279432188789,0.0191607488563858,0.023177721331593428,0.0008642199837869211,0.11614909954947604,0.04094837901243681,0.009356476937968095,0.04049433247428102,0.04299744859116886,0.01925183527328185,0.030904357458004766,0.03546768278034745
Cash from Discontinued Operating Activities,0.0835446841798401,0.10184567560084783,0.1463856171085393,0.008861622646984122,0.020905100899819888,0.026557669233230392,0.023455474698422067,0.01867755123877827,0.025758435256700844,0.037376741044317624,0.04825393677859448,0.032836422903519104,0.0825420966145632,0.03013287762004878,0.024799908623188666,0.10558214485508648,0.0413721076177694,0.07940046144989239,0.07570867321476701,0.035261411502607476,0.031940778175618856,0.07256564860492945,-0.01776697129003057,-0.016779940340881604,0.011026142241012936,0.016413149775351958,0.07196605116513605,-0.020701176113574568,0.018895798687887818,-0.024201404086661785,0.0220182754082866,0.011039551800458874,0.23460180495512195,0.01716774832432554,0.07985442202919367,-0.023904927342721656,0.03966244469051827,0.11884756095374675,0.10832041124861087,0.041699156941610124,0.061115111628323816,0.10774146667225984,-0.0005669849588348006,0.00904205685992611,-0.01868419694517125,-0.010141887532826544,0.008667562264803405,-0.015683290181712287,0.022681683435876066,0.21843466253428867,0.02150960353288863,0.1282284273496473,0.11788711512398864,-0.050546638999353515,-0.05526654826230769,-0.013868912422177655,0.004854079247445508,0.022943872724125524,0.05971135729795142,0.10143686626196817,0.01497108657887839,0.013912523237155737,0.02891950037988547,0.009968608058767599,0.02259510745432605,0.009828010928542345,0.2173417977663926,0.1255246182820452,-0.014970733496143645,0.017006145574542872,0.14394043095643153,0.01792467401669503,0.07932966986675229,0.07637268239602726
Cash Flow from Others,0.3174623583630538,0.1242192886860463,0.12342164882695905,0.04854357910115534,0.03259741474746381,0.007300276875958163,0.011672327731746372,0.03685652748205275,0.07754448083301352,0.1144962200809308,0.05242366406541691,0.012047448207686787,0.06783716906966698,0.0665199306408674,0.12360681608964366,0.11903401034960547,0.031236340624054705,0.09757782356948207,0.05661993701704558,0.09816948171218509,0.059149092456443904,0.12387699988315974,0.06960913892654087,0.19946156921129707,0.04980805962669968,0.14741081729465788,0.06698511772002765,0.12625402622154464,0.0495821619395807,0.020528067032014922,0.12003278678297973,0.029593134338136953,0.06009918032651701,0.08918035873298526,0.05400218504961607,-0.014089862838704361,0.30122108554185834,0.43440155323596136,0.20573212933522217,0.10312799735916865,0.11411150787260489,-0.008758984595061945,0.01135993059862854,0.019316530418534143,0.010644362743330615,0.01455124583669648,0.04284471739685534,0.0035764299800026458,0.036322769190169246,0.23545004057925709,0.029247496884531172,0.441903372726557,0.2464918532726844,0.027221264848180878,0.0260267228278128,0.006264176161398658,0.03132482799973137,0.1736026487427295,0.06100404288143601,0.1667493262599626,0.03741845879395067,0.0440746916267261,0.23458721422243908,0.23647626695728857,0.016878457359164663,0.07412913697609376,0.27784464890174915,0.16964027476033433,0.12000270816803567,0.05529670772773266,0.1362555112630742,0.04608553921841762,0.08902942792837046,0.09612777958957341
