,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,"Dpreciation & Amortization, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Telecommunication Expense,Insurance and Claims,Exploration Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Tax Rate %,0.04910384412912388,0.09616095198875149,0.034881977330842424,0.11375729793693663,0.08793828891285858,-0.009876057750231003,-0.00048446821751697497,0.019056179006826598,0.0222241156300968,0.00544341843279462,-0.024788801949225062,-0.03558630637894345,-0.003590441917874373,0.001902070519222432,-0.007315828926148871,-0.0022932943669664346,0.039314170738374725,-0.023227905020248213,0.04731438173197167,0.087190931414332,0.10347796839706402,0.03342651180731402,0.043874294192572695,0.047307983999265946,-0.003985215686737547,-0.013409223710735413,0.09581248563591481,-0.008606571111310822,-0.0027972100528458536,-0.02716569658210952,-0.02040734148956394,-0.030581352209501235,0.005509275446444965,-0.005575915246739425,0.06808629240027868,0.0116896091156748,0.013585373987322048,0.0915741993635497,0.03811544671008146,0.10247362835812783,0.05259445206641147,0.0027772451013965043,0.002476615071308248,-0.010247467147452678,0.10544583349995855,-0.016231817648860985,-0.003926148224928309
Net Income (Continuing Operations),0.01924168532262053,0.05508126954492837,0.037460216323955506,0.06779889156700374,0.11103465707317323,0.2648254040974158,0.09928932161187881,0.0226854985104118,0.06429839508665418,0.040746029962086226,0.026797888512090914,0.016344767614963562,0.02679427004091111,-0.0009057317279001172,0.024006100329082875,0.09843736293396918,0.14285229805830083,0.07025895478205797,0.08776192483145544,0.11084272865085017,0.1159915792737463,0.10883926484361334,0.13004333544699517,0.027410640600088017,0.004633855851481693,0.09563763166350034,0.08362688189984113,0.2663007998319064,0.2663007998319064,0.10327499841190697,0.108204940429171,0.11081170200355875,0.09808449783514728,0.08629785718399641,0.05277144722850017,0.09478767138119068,0.08866343577305971,0.10662827467491422,0.20689419490244335,0.1044584767338929,0.207854857266361,0.03801566235565295,0.028053831427722307,0.02443531548574853,0.10418682277519786,0.02153120219522493,0.014735443250167611
Net Income (Discontinued Operations),0.03945880454100206,0.0250237626283569,0.04132872061064388,0.040732278598165805,0.10097668992553183,0.03824338316643862,0.06159388116812191,0.08599532988821523,0.13234093309849299,0.01204014825786385,-0.007580292091980043,-0.008909825930119675,0.0063160466222862265,-0.012640166098974732,0.053702943458542096,0.04033819127120086,0.08149761872475722,0.07903141262222611,0.10719207068166448,0.10778063403819933,0.08334962229409307,0.08593927557585286,0.09379373805954,0.01115886935824202,0.024709555675675107,0.09412685285705613,0.05518732422606861,0.2524078242751275,0.45061058918321606,0.06171056662725525,0.06227216467680861,0.06979391037509027,0.09418885191847431,0.08064683276939644,0.057035093800648466,0.09327447989891602,0.0752621912623104,0.013647829397492787,0.14848437685939822,0.032945355842991825,0.15034804529519416,-0.017551041748869303,-0.017599786205081167,-0.07495078038058514,0.039278483778822613,-0.04104060828015924,-0.028237317144977205
  Other Income (Minority Interest),0.09654948469548476,0.01967881443559922,0.04072692179484144,0.04407553844013857,0.04832481238994824,0.13885891151369711,0.03242824528682651,0.033030944135452996,0.030072414442071302,0.034273850041217926,0.03628905253755308,0.12242725953960881,0.03247856921452833,0.030572575781302538,0.03366020560365095,0.026914951655471316,0.1948213134130866,0.13951238362897997,0.10744144545458782,0.16182533090076698,0.34687333448725466,0.14506138725755338,0.17529486907249436,0.08530810610670449,0.06636495088151399,0.09963142367426026,0.11511957417388385,0.12353262035321222,0.06933870913617346,0.2849006372048959,0.1334073901650828,0.11817802530028101,0.11400743551082038,0.10568001911061604,0.08961850740023136,0.034294898828430606,0.03219684330241973,0.1593274987824089,0.19922616072169386,0.15335920470406883,0.20060198747158048,0.06657618222536979,0.06253666850827462,0.037263059321357865,0.1516627693139546,0.03774085366527938,0.04475501337508603
Net Income,0.058568290338727555,0.07301053799806667,0.08698795858092657,0.08105005949243221,0.0034617874693555852,0.10099260041226034,-0.009899150822932745,0.037697758820469246,0.04249950450005636,-0.0013493789208555431,0.006044710205721594,-0.007645171997537278,0.01255556094868906,0.004711185444157087,-0.02022947753994214,0.01743804731497035,0.12351708936505452,0.2607601085658261,0.2534265252220429,0.08228053545766498,0.11826665323151932,0.09730024490418998,0.11939753911073907,0.014810278311595457,-0.005050821441311328,0.08038137810351592,0.08124726383827117,0.47639502328199806,0.476467857946481,0.449202564883454,0.4891104173735926,0.4872734492918635,0.06956105823544351,0.04860755606725981,0.022670473078806333,-4.925712929008301e-05,-0.024104593242595673,0.12669722427986985,0.1113771871029229,0.12430475262392338,0.10655597960891686,0.02698451276774613,0.02604515676082643,0.027399526389892993,0.12711848739393866,0.016436398086746788,0.017867461015700047
Net Margin %.1,0.1279956314785166,-0.0028444368675003763,0.013972763557505834,0.07709071024446197,0.07130434957219611,0.012319833486681203,0.022050748325699913,0.04507798217385884,0.04088362297314842,0.03187528613715071,0.004163014974421059,0.0012856506364440157,0.0215937528961516,0.021165083046030552,0.025857216743509232,0.014066597570025806,0.013709142826846423,0.09875806916419509,0.06203486257784316,0.06550483896196073,0.02756966852163434,0.01886468597884329,0.036598420207489754,0.04107295959216358,0.010601460193989566,0.004025380320238166,0.025469341315513892,0.01873352758614659,0.01827451693448684,0.026227748927013097,0.029730797803148894,0.007996016715429977,0.0073109966928399705,-0.025897523943013458,-0.015082357652241665,0.00857190564807268,-0.0011115391349484551,0.07859213649920545,0.04407932805259592,0.03174091276286918,0.03544102220196603,-0.004275178445736275,-0.0032518195424959357,0.0045023076308066505,0.08383249278056916,-0.000637709406324646,0.0055703706315267405
Preferred Dividends,0.021973209430174046,0.025934169852744344,0.02605374305003014,0.039972577229404595,0.023024592775396084,-0.017980183943787736,-0.003727437600320992,0.06947464223055005,0.18786196268610492,-0.011401468490876598,-0.020048308769201252,-0.02698012306013049,-0.01715692051777322,-0.012159294403285894,0.031493521940198964,-0.006752518797721154,0.03779124025862784,0.036383348582610185,0.019657009434299492,0.03857458155013406,0.06761812018036857,-0.01074926817283996,0.01891098536830706,0.0126643970433797,0.031152991876673267,0.015982003815437965,-0.01116963865944908,-0.01593975218709539,-0.010260979772093488,-0.025047110722740643,0.03454935189759143,0.015394296112595381,-0.009922788203156402,-0.009081311009472862,0.0232408208198423,0.02351892982929012,0.027914967080803234,0.012020642161208663,0.0426050935725947,0.08378638013040106,0.07024587485514232,-0.007970756648962962,0.04866998839738427,-0.09590769594796347,0.0828054313544059,-0.047911844960810565,-0.013231737203708509
EPS (Basic),0.09559699183397508,0.06862649938261763,0.050428260137287496,0.05205111646703638,0.04811519056331422,0.02081971227158663,0.02184855716866807,0.07978250230086244,0.10683108890534608,0.02030735539079981,-0.013530706633710388,-0.01307227409046545,0.03363655849525003,0.025589402398728266,0.05875966173172982,0.019016322576326482,0.048640763685024006,0.025595048224032784,0.041778130850025796,0.022100816361264007,0.07655260649210519,0.07934723362831168,0.09255046608943415,0.07169159609713008,0.03688526249627108,0.0723283053261266,0.0742504618357879,-0.008090139198935815,-0.013957414121328865,-0.015633960077466466,-0.015378921547784008,-0.015504273825553506,0.07119151861094257,0.06672366014874001,0.07473746761872888,0.08858947755360706,0.04204331739806519,0.5422201014104706,0.09371822480125663,0.14806953524713767,0.06802559203840351,0.046058398987120705,0.010353756052867289,0.35534608883666524,0.24964259391690877,0.11253071616738895,0.07576671581074983
EPS (Diluted),0.09816842699091402,0.097052435999659,0.06383785127343501,0.06943812685782841,0.048338030748807805,0.003495529839426604,0.005761938942716477,0.06616277211394146,0.07316568764833854,0.02583368775952874,-0.01382809006592651,-0.010900982768402252,0.03846230687969861,0.026068020736409955,0.08200401741759723,-0.008182128353992854,0.010128038473270233,0.025715342463874618,0.0430312701693685,0.030052560563515046,0.08784263388402776,0.05710883794829282,0.09282728280136777,0.09104315465288125,0.04767787905695271,0.07224551097397845,0.07351079243280817,0.001677813119857961,-0.014818413355196642,-0.015279481683455042,-0.014516916759595402,0.012936178803741932,0.07787491798352818,0.08663881576537072,0.08628023739754649,0.07234732878804763,0.05391964021699069,0.29625051957986126,0.12266228558585823,0.3325520117956798,0.13220774800407964,0.010847668619916501,0.06609116278012052,0.1313289919826385,0.33907920749159703,0.023386562634045142,0.11779933994517244
Shares Outstanding (Diluted Average),-0.010924765897570608,0.017121839321418978,0.03065652237021593,-0.013154160822446213,0.0028644227675551654,0.033693901149357657,0.02480853532733782,-0.0032940107672689537,0.03943020434470417,0.02430961698753727,0.035657954311554114,0.035249720199651745,-0.016232899848566566,0.017918462458399162,-0.019815840228919024,0.026393051883088128,0.05992581720236959,-0.01000159907258983,-0.00880639734916058,0.005648840750327044,0.030422826852001417,0.009448329415372688,0.032449864829303045,0.031214482381859972,9.743998029551658e-05,-0.004313844495465168,-0.003716875129859327,0.027397135335070592,0.02678407554308493,0.01723010063019006,0.07392789106973988,0.11483835769405507,-0.009067641736111581,0.01658082129077197,-0.008761057117688932,0.021104818220485263,0.029429303377735524,0.11839040872398403,0.15573279416409674,0.13272534111160006,0.1707655903314823,0.3175675430880997,0.3357079200487981,0.04864732826476417,0.15222876315045727,0.014945402768408675,0.04270980170270507
EBIT,0.011017708870365347,-0.003138246700644824,0.005728037513739526,-0.027319061127235894,-0.02799378204642992,-0.012904158084519219,-0.023447761853202645,-0.010054050515039482,-0.008587164566921258,-0.02181483795587235,-0.03543334450351414,-0.033410034680483265,-0.012702853102720426,-0.012217339620323469,-0.033511008388889346,-0.003614460412678494,-0.046269415164749424,-0.050065258594959514,-0.03753660086538487,-0.027213561724773783,0.00831441261593728,-0.019690437839086385,0.008953850403670947,0.009956290177228355,-0.029997155706179394,-0.02200809755406921,-0.03000252782331305,-0.013547498373955622,-0.014002185227398621,-0.03525096145513487,-0.03531801847611511,-0.03330074169528349,-0.029543224723576955,-0.043521668071922315,-0.0455708653541,-0.030270073250271066,-0.04295639691600094,0.1544620542746887,0.11484288403428433,0.1457446027554426,0.11433130294926332,0.011464661219431441,0.009161606804913338,0.03488351027554701,0.11254184545380647,0.030065621867829566,0.03809601464135089
"Depreciation, Depletion and Amortization",-0.01583218057270414,0.027385958257769526,0.02169031169555065,-0.018356702383849104,0.17119351738354083,-0.0023378175254559833,0.02126954966441293,-0.05541779149579427,-0.0022390260036591106,0.023619692766926697,0.024028795399055763,0.02354098023505563,0.020002998150118894,0.007006318657653155,0.03897201112061774,0.0025122592531422803,0.0457719292495235,0.018105649743492137,0.01668295851897065,-2.560010851740315e-05,0.013404023538952642,0.01186920699617383,0.021152593332181467,0.09088299584182125,-0.0037720497160127512,-0.008047712628932327,-0.01346966231627695,0.012456072893684219,0.016623500294192697,-0.001782953358673154,5.6290193035482636e-05,-0.0058544787818484035,0.019530023302948625,0.021863752813328582,0.0018611709984747,-0.002210918135972549,0.0049378728816191425,0.059045137945507975,0.144700159761117,0.05745946845273852,0.14839944104346028,-0.0036129627630499773,-0.003344538922222315,-0.007102046557102445,0.07852863254003077,-0.03966732027561587,-0.022771650049154483
EBITDA,0.011954335810635064,0.020608243439372256,0.016297011953182096,-0.025085684671576264,-0.008888100368983739,-0.01418317087353066,-0.022572543109925604,0.0003450366577586446,-0.00733282848675563,-0.018340791939995472,-0.03344331175301972,-0.03604971335430117,-0.02269941524684181,-0.010964145411126,-0.0331782216740679,-0.02328582634234873,-0.046973654082102134,-0.03798773625550671,-0.033542360142759006,-0.025585181348031994,0.009106765249495292,-0.012265967408971875,0.009122863090734729,0.009304002072024706,-0.032181838103527705,-0.020723633130752137,-0.01373939562890753,-0.014800610950387757,-0.014003326367090601,-0.03575842406531404,-0.03586585331539298,-0.035752391023114796,-0.021485359028770516,-0.017192629297404324,-0.0442381362751308,-0.031520144787554154,-0.04368698265962298,0.13080643473775946,0.11115980373421996,0.1321534428680407,0.11248853406800116,0.016068133239370185,0.01376507882485208,0.04253850089473511,0.14128306607614569,0.030943165896029936,0.029508565935734962
EBITDA Margin %.1,0.1299124044331043,0.0028293737695658733,0.01622982986391926,0.06430225137971216,0.06267091751980075,0.015419918551223917,0.029061594248260172,0.03904655897780584,0.045286657254660766,0.04184784246237213,0.013205717498973524,0.0067016196438553065,0.023485742350412127,0.028967515354437888,0.027375330998759887,0.015050321119251465,0.01943725238413446,0.023346642227752224,0.010659667905458818,0.056453784756865216,0.024451745180859418,0.020165221821173362,0.03921805259181153,0.0441633568552061,0.014309408596537794,0.005488797975758573,0.030064567704897394,0.003539246333031817,0.007999606743068249,0.005865296207133233,0.02208131777481321,0.0064790416779023155,-0.0007517093508596426,-0.020582527039883274,-0.010075445842625735,0.01174692276014754,0.006242091077298661,0.05940220216891897,0.06687670839568179,0.05602470173625685,0.06071978918435912,0.01099568449579704,0.0040642252955214505,-0.009924054872108058,0.057749106420810964,0.00024198910885876897,0.00033365520813094605
  Cash And Cash Equivalents,-0.03990271023430676,0.039498953474773356,0.028509257193979908,-0.01998978280597624,-0.021785592830173,0.017880422416254052,0.03655382053153652,0.007195921522425054,0.027068233312329406,0.037830898120535666,0.03990304266792651,0.03990304266792651,0.022169498157504085,0.06114769752165602,-0.009808452564826159,0.016106055446835826,0.011567222580538206,-0.009679497490385481,-0.009679497490385481,-0.017475853506691154,0.010260409459376002,0.010000385959757701,0.03341160895694741,0.03479618029866541,0.0062767412125799855,3.346444508468783e-05,-0.0009755564387231301,0.020330080733360692,0.025115405270572336,0.007605708699934412,0.014310452586818087,0.015316374186171568,0.0035656247723483683,0.013567833557063999,0.004858417163272325,0.009997853711027186,-0.014685948566474705,0.12568124076642742,0.11239258079351154,0.12761260171061412,0.11776459909308427,0.03803845455211794,0.03251487439740371,0.022975423675718837,0.12478156638244542,0.03261698691194852,0.04132017277733386
  Marketable Securities,0.013497906909513097,-0.012971750180204071,-0.016325392310424815,0.008436012811317659,0.008461857848413284,-0.025667318055136452,-0.005107429288521876,-0.01542857411300312,0.06008334850380333,-0.007107437057916064,-0.02642366929624564,-0.033453947345715454,-0.033424065820626445,-0.0325120103943665,-0.018553192110137822,-0.03073523414456889,0.03144524973711235,-0.008917148617433621,-0.013143143308353228,0.002832063482436883,0.003304329817982972,0.015563727602375937,0.012163794042015869,0.008434697628466634,-0.017975337916627403,-0.013961201466292225,-0.03641134052283934,-0.03707254825280911,-0.03137652662502967,-0.02551960084286786,0.04221236724271315,-0.014169534496798112,-0.007050763927146828,-0.013907258652111558,-0.01516045697603632,-0.015439731059866901,-0.014709064513385873,-0.020400327308495114,-0.0236698221511606,-0.022529779943013677,-0.04270165058680831,-0.04169559643756566,-0.03587244696159844,0.08166324178736455,-0.02159057225598786,-0.03791674609290546,-0.03502880087989265
"Cash, Cash Equivalents, Marketable Securities",-0.039897815877054016,0.024796978492773483,0.021358942999783644,-0.03644163249249864,-0.025750943813392334,0.009471660914105796,0.01194403649556405,-0.00985693327472597,0.018854110130936012,0.010618971879741871,0.017492122869527126,0.01605907255106041,0.016415067918847892,0.003105529289645533,-0.026271596775295718,0.006529357415555189,-0.0004092034298430881,-0.01361879524020864,-0.01362941099090477,-0.031924940704046174,-0.01619082317176177,0.013551784865331653,0.022533440259114225,0.03320029218609888,-0.007306292485148725,0.009809728156337755,-0.0047396033229846705,0.0009754149132249253,0.014746936289062191,0.021434017103311644,0.031911480668198475,0.04081120526547602,0.026239097534341255,0.01013819417890055,0.005238130453579886,-0.0014690795866505288,0.003287758320787372,0.11072464700586199,0.11471340141605511,0.10217116576670551,0.11219073840332212,0.05803991431678272,0.056008374935945994,0.027269525858098807,0.0946668214015129,0.03227678896659134,0.031524199099656446
  Accounts Receivable,-0.020658262635245367,0.037074581767621934,0.05424880274359672,-0.009944603415329163,-0.03063256087364045,0.021818787837690215,-0.007494431317246108,0.019690666415293226,0.021272321467029183,0.007575419585449831,0.11158409426356729,0.11248360571867849,0.029014633108322863,0.031069798113845228,-0.020503874372361636,0.009270424168294702,0.007377333076507805,-0.023557372182720804,-0.02119372833920187,-0.030488269536196596,0.06534582198466504,0.005892308308756844,0.032751180928004914,0.0276171918079111,-0.015617486403164186,-0.0038301245083343675,0.024894001384093638,0.00027722949071749565,-0.002066665724390761,0.02089075369448192,0.028320754011517457,0.027732833014765586,0.002285588293472255,-0.012199061565631285,0.009782358936229899,0.001612094955411245,-0.0001851627956158501,0.11587595397126257,0.13541464862870178,0.11095447894917351,0.12844418555284248,0.03649165372206928,0.037213663341571064,0.035681501144544756,0.11863354402818972,0.006553048747021402,0.007659164814862365
