,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,"Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Dividends per Share,0.1016900031531201,0.05265199613791768,0.04866786634352214,0.11267214651634813,0.12019409361846162,0.16920406129127702,0.10292431462996823,0.02012013472779321,0.04564166373524177,0.07430578554010057,0.02181004268730279,0.03239066674933681,0.1034229100378009,0.07378515139996207,0.08016404101766186,0.07159510313388735,0.07868110023709282,0.047461452231823936,0.07079166444521308,0.06594890170087382,0.05763002952061632,0.05288573260454913,0.0746376305164257,0.07435861862810403,0.04926706080889169,0.05103532205761477,0.12658612816219386,0.05753197297670596,0.0660353667306757,0.1216973349161247,0.0452144571539301,0.04954567522378524,0.07086270326084695,0.1514588890224215,0.050445014699021316,0.07828205614052758,0.05333470250600551,0.09098762657226137,0.06536012427899551,0.04652189577078085,0.05992366208537907,0.032121461555165716,0.03601460047615437,0.07520841605865122,0.02075757293135312,0.07859033963121675,0.057804932311751274,0.03556481139209019,0.05094677852193218,0.04100047851784024,0.02102381225463691,0.03783378918829568,0.042633859538355585,0.06841134695881308,0.06978637473012872,0.13166381500606514,0.1276038466635718,0.0844682846171693,0.08517306026958131,0.5578358885531922,0.2858617757433686,0.04749286380202282,0.07512705218098543,-0.012425682126267943,0.057225185461870845
Book Value per Share,-0.008313900431914455,0.008686087860193783,0.008686087860193783,0.08436437669532088,0.08367210714786992,0.08321619192877783,0.06369192818722111,-0.011746148084678758,0.013891239134042992,0.012203263187814242,0.0031595906786953715,0.013802248097194405,0.06011573978343268,-0.04300331563650811,0.05056086487911396,0.06049071045510905,0.05564186730835271,0.0034105372680968467,0.055310524126974785,0.056357452627052024,0.014166787932759946,0.0432863456173708,0.06266990234915404,0.06552997561324142,0.01989645362670579,0.014398935747270011,0.04366751036184052,0.020288470144500772,0.027446984597469536,0.04339171182510688,0.07122227058575287,0.05023330027827282,0.059846889927667436,0.04970604648115986,0.009212962248676002,0.05163226105081962,0.008132173216228653,0.07365394304983008,0.022263822160365775,0.001440289713622543,0.008957215196874362,0.004315884594875196,0.008332355960900699,0.03084818367603709,0.004109135618940076,0.004483987999633996,0.0646617239347336,0.06231672826713213,0.009070228068188597,0.0018911948591811686,-0.0015097994224319605,0.006544550046717191,0.007831831340023156,0.003977493358808001,0.009132311624426225,0.03596939828831247,0.03427418519586973,0.04366652315287187,0.04425078569228346,0.07658077064434834,0.08186497307004298,0.004720287266276357,0.003017236626559012,-0.02054083358253169,-0.008656780646654061
Tangible Book per Share,-0.007034970371582969,0.00908374793967691,0.010425539648543276,0.08215582652706077,0.08394267408238859,0.10548039177583973,0.0697198367997747,-0.002869331361693637,0.007391684118741452,0.010703491114337917,0.024170516332993344,0.028542814899724153,0.06727062148543571,-0.040110983449488616,0.05755555513483097,0.06029359165705681,0.050374655413241244,0.018937079153623644,0.05469696469217262,0.0650225281614702,0.013666623030813282,0.0391943495378566,0.06725674543482967,0.07313607267474195,0.026541161761476167,0.02864691289007597,0.02790309756652358,0.04207147486102015,0.04451816710878152,0.043274985463233925,0.06121626822363079,0.05143607831709104,0.06148178021963894,0.06196049251455084,0.014213406412105892,0.03449079765653039,0.024010061271456322,0.07697511696437603,0.046548164306742634,-0.014051385540848248,0.006974766171995636,0.005096072827596881,0.00559114905226052,0.02465567506215776,0.004751901427066973,0.013794086968650362,0.04668025973639569,0.0441693509184021,0.00942872623942085,0.005208848339807001,-0.015611095112418504,-6.849365568521769e-05,-0.010309031698721029,-0.0016689407440647467,-0.00777168638692485,0.061248353459370755,0.05920166867637866,0.045951852714764194,0.049128063475167724,0.08832098898484168,0.08667029283573548,0.0015117220795164638,-0.0019044764506612165,0.005099690766908263,-0.002630449026538072
Total Debt per Share,0.057470802304382375,0.12084968957059898,0.015434618046838633,0.09824897075515837,0.10309248323167784,0.10571704831968434,0.07506775278510112,0.029137435413737457,0.024810486847722014,0.02334310108737301,0.0008376584224884247,0.013662134738405444,0.07917961765978712,-0.012762825762768288,0.05110474134631139,0.03416012804414747,0.05404975631308042,0.03810457234838797,0.0427147683917983,0.05274010971139692,0.08617050571482833,0.09325089624689598,0.11127310274556229,0.0953192453095607,0.08235374574704568,0.07916911029332888,0.10715959169362387,0.08143024407945419,0.09013364135261132,0.032383887047066136,0.01584074742283617,0.03842864535524222,0.0483424786375251,0.029609834034381267,0.01394939614039269,0.09347837416533561,0.021773117869774355,0.05371281205392737,0.021974431337963014,0.01672045889693548,0.032685047173430085,0.016793842380264552,0.02055082322166099,0.0458016300787628,0.019397244683445176,0.04668205233886927,0.052558276568839095,0.036301446085004026,0.10424019753081719,0.044550847056796634,0.008567959763635963,0.016090760376454603,0.025926779693751775,0.00045853588006890766,0.032263435025762205,0.10403746025611996,0.10370387248600037,0.0530877549299267,0.03154298637813644,0.17199153670665068,0.13777280578786785,0.016228898749949018,0.019427298915486328,0.0017433388274264616,0.012399673880825347
Month End Stock Price,-0.03869168985574454,-0.014273364391395454,-0.01517635598604553,0.05555535890503145,0.11033361735742088,0.07353041015312971,0.06534638598020324,-0.0053122423475745004,0.021429980886697092,0.0003528225048914854,0.01649137375386073,0.011980108919621693,0.06375830135110486,0.01830471336302284,0.01695083110409515,0.023333928520220464,0.01524202183602809,-0.0054371579021821916,0.0008602182378285557,0.0015718634498915586,0.005246485232004956,-0.002303578488730704,0.016806537710477878,0.029067036781267305,0.0120285722422098,0.010255721707432903,0.006728482121058442,0.015475012745616431,0.00913999311996817,0.017457446820949137,0.01721050885471367,0.012586473096082625,0.01644790407330016,0.027841206505087913,0.01807796431519449,0.035033882021835605,0.015207592945196642,0.029176008068026428,-0.002770594147197982,0.0047955995836928686,-0.011567384419545142,0.01352000944163336,0.014372450192272476,-0.00859955862860617,0.012249063112674183,0.015548011499431403,0.02160071069768469,0.02030740866113928,-0.016833411408730542,0.005785830880779129,-0.004281717614299735,-0.00746938793548119,-0.0016626197656709556,0.002084600145838856,-0.0021044663808609727,0.01736464037150082,-0.008789792145608492,0.06279698686735619,0.060679435236608854,0.07757369996180358,0.0853618474620994,0.007407957272469962,-0.001269463742307259,-0.02573978851178687,-0.014030974922381412
ROE %,-0.004159487720492669,-0.005557909102859906,-0.008001783366717108,0.006890747439100736,0.005305764175890541,0.0032426846213781707,0.0033928141754265393,-0.00445307431017317,-0.009620798882148056,-0.010849677713296237,-0.010026229023665827,-0.01324860839648501,0.0028097971734257657,-0.052562293700575045,0.014281225543331225,0.013381801116735656,0.026531632905861455,0.0005339965972035727,0.007116680317442881,0.009896465350685906,-0.006882850401949605,-0.019216922578321863,0.02593686901865299,0.021162306692015995,-0.010634842782808657,0.0164351516621774,-0.000266369518553597,-0.00889207681873629,7.899656837570025e-05,-0.012304064784691508,0.0006372932531298024,0.002069468050173431,0.01477313061869195,0.010664742320186955,-0.0142184708501641,0.03565657272698048,-0.015742984536748567,0.0057389555338814855,-0.014087145571520208,0.005077246203659952,0.00859295665894647,-0.01050750352377728,-0.011500852499756456,0.012515008519814097,-0.008948910343312287,-0.009662383284521703,0.020935272302343728,0.01219790598837089,-0.008487678164255464,-0.0142453454978267,-0.032687123660530115,0.015857855357654552,0.00036773802370025773,0.0047271908326570215,-0.0008830893843863347,-0.011936290289331988,-0.012695721525590644,0.02761553716907459,0.028230194345244528,0.019700944204337264,0.025789598585740238,0.0026608423860028886,-0.0017938906137234228,-0.013627784305990244,-0.002868426527814258
ROE % Adjusted to Book Value,-0.03342764804459374,-0.016668164382227537,-0.019792171040477213,0.07670691602059922,0.07692362775605202,0.039285358568133096,0.05083429845272305,-0.02703778284469696,-0.018758598272323672,0.004085814274442927,0.014314406019620723,0.008714200423477989,0.04122951001279965,0.035856215154555435,0.013638089954364972,0.013239313485483432,-0.00020738766005758743,-0.008638801263466191,-0.011992544695150879,-0.011334508576908167,0.002357215712806715,-0.0017937204415971212,0.012554886049340647,0.015450020985493222,0.014341531800877213,0.0053785822787385225,-0.013004854036168426,0.01144758320310181,0.013955838013222654,0.011121114145230926,0.04351526031707725,0.006655513681338362,0.0019590563399350547,0.017554076045839462,-0.003659753874894582,0.03345766798470493,0.011755206042536973,0.02724499321759175,-0.0020524000569031443,-0.011417424966754502,-0.001752587265159619,0.0034905616061925663,0.003067939868093606,-0.016003937285320242,0.004637942289699531,0.008858233752892328,0.021153542638370958,0.017208608102216697,-0.026363874979202145,0.022361158517213365,0.006367225883106613,-0.035482380014793924,-0.03539563485107374,-0.0019190023873997782,0.005984469795719654,0.018237815371380698,0.017423488980349768,0.07182112765686728,0.0661476819478462,0.024716269078998813,0.02655986356285785,-0.0332893606074986,0.0124789114693936,-0.02727113057495352,0.0009155079562056714
ROA %,0.035501293398916646,0.0015093397429138313,-0.02914193895834746,0.02643234697016225,0.02573590108325258,0.015109731731346441,0.017064114080335813,-0.016432426007171874,-0.018330007840538662,-0.007515255254982208,-0.006465291356656532,-0.008749556820529253,0.01900312285398423,-0.013667538900619811,-0.005347645422420026,-0.012106261791084063,0.00044740146492488423,-0.003410508257539707,-0.01758383921651809,-0.0175192547432424,-0.01888186491788265,-0.030733340325937938,-0.01094216433509423,-0.017208354717646163,-0.013866151619126313,0.05326086014658295,-0.025916557780140535,-0.01459569689220782,-0.013331365909366247,-0.01539014529689188,0.0044719299361484655,-0.0043408148994449405,-0.011069109200634255,0.0018971200559947453,-0.01329726549249588,0.00821871341608662,-0.0052066934531507,0.004973103877838118,-0.01442274616991529,-0.003710053379235084,0.009094491722607463,-0.007799733091088036,-0.005896950343572598,-0.007560876483910912,-0.015605681030759516,-0.010402157167374089,-0.009981653279056474,-0.014177757894975301,-0.035328775702800436,-0.009496289495816743,-0.03074417733116266,-0.0031809203008101488,-0.02142973969363913,-0.021893623118340887,-0.020551156780293074,-0.014652578531904749,-0.008760058560341163,0.03175305763445366,0.029736598470666405,-0.0032194561022900717,-0.0039705479821997005,-0.013558714053850233,-0.025398535371141784,0.0026828183913841855,-0.0007706336231590367
Return-on-Tangible-Equity,-0.02446437496781043,0.013485550984182942,0.012296429460479305,0.038904029281532235,0.05019175117397618,0.04650665947326286,0.044250702315802866,-0.02835809429909971,0.0076120476918967095,0.01108512554162435,0.005593713213206954,0.004322675986238287,0.040906622813797804,-0.056144026375380345,0.029092252449674363,0.028730192162833446,0.02331710573632204,0.01419846133481569,0.021839019109894747,0.023634289717887384,0.013306810472254842,0.0033744593814364066,0.04114549927364324,0.0441349217262998,-0.0009297614398885972,-0.0061392889712029355,0.015779491951235056,0.0014777726492259296,0.008250557370643044,0.006061817084039127,0.08790686350291052,0.025631687417147674,0.03161860881837446,0.010747823839910148,0.004678689066439496,0.039098729301947556,-0.007731122075748692,0.028044722961106175,0.0169991117372533,0.014925151328945743,0.013942988728936189,-0.008634755705485907,0.002762127383719133,0.03571013319314038,0.011077603524841821,0.011339544518377518,0.043755937801649734,0.038070001942047654,0.016915572472404605,0.001395765802229951,-0.0094129350304444,-0.0032434121923301477,0.02375226352320522,-0.019700935932904666,0.02066060320639788,0.008721186844104133,0.010101449861369478,0.03233395921752449,0.02161395384930908,0.05023843248861754,0.04776201720928895,-0.0006912089331297815,-0.0029975787986103244,-0.010669360846952757,-0.014191563743612861
Return-on-Tangible-Asset,-0.03177719061281093,-0.01805586949708126,-0.011137200607644572,0.024999095619606004,0.051092527049974946,0.07086701558849372,0.06041456635733259,-0.030753586251525633,0.00019764642356636438,0.005211230342099721,0.011746033594160057,0.011144173488185746,0.060421520074241675,0.009948450707616107,-0.0026037832175257493,0.019486403268516535,0.009793586254431165,0.011161938185892176,-0.002776151469234994,-0.004053075847196423,0.006861602836138354,0.0018324179302967297,0.016038830020409497,0.021618105189721327,-0.006189726152279274,0.0068999141752167405,-0.003193385654851535,0.005579584130683834,0.006845116016422273,-0.0037724141599039082,0.08140996505362436,0.009443236831160905,0.00436390209795268,0.017264623838130436,0.014230536436658867,0.12067247883449249,0.07612560284806952,0.10154012032063162,0.018430331232019894,0.010931082304085963,0.010628005924159953,-0.005082348418563104,-0.004754869415228637,-0.0003799047101137312,0.008460700543288117,0.007754170566110602,0.022136620597451088,0.014728727641765742,-0.016967034907066723,0.0027781313950288496,-0.007928592097509544,-0.05321161718231151,-0.015470425361302838,-0.05313852711913202,-0.03903499577629749,0.008183403839490996,0.013565306844181984,0.03655209008104207,0.036122991868192685,0.03151826977214387,0.02869828482326844,-0.04893298547586606,-0.05313852711913202,-0.004355165612210345,0.002284996524435922
