,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Sales Return and Allowances/Discounts,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Goodwill Impairment/Write Off,Litigation Income/Expense,Merger and Acquisition Income/Expense,Write Off/Write Down of Other Assets,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Dividends per Share,0.11001081564310537,0.11122310784979704,0.10914094524066029,0.08341637482652771,0.016595161646312986,0.10122534952118227,0.10976432053056415,0.021186977739467924,0.112444611646559,0.047663012319776495,0.06669118229543838,0.10600923262482467,0.07493167690402637,0.023650337146267655,0.11298249598068609,0.017317660012523637,0.0706135763552008,0.06205679427438255,0.026214817386225206,0.053775224915761866,0.05991278057755732,0.08084970974388818,0.03821112566244172,0.044413166894514446,0.04482064739564544,0.09477582893483297,0.104767007267161,0.10631611540734799,0.10806807162334124,0.1170055718497178,0.1369052947470594,0.04204078367632274,0.07596723983468025,0.11835394087291728,0.06338789632004012,0.09911292368144026,0.02456053362934324,0.05563249459504194,0.07863976063727472,0.06666832290884481,0.05087053352971607,0.08015975973352589,0.07995530625958014,0.009998033116387419,0.05198075223313878,0.014715729251475655,0.018656294426013298,0.007082557024454749,0.06443484514072728,0.06437533544933924,0.057804932311751274,0.03556481139209019,0.11148005840418715,0.07894822743584338,0.03941191648519977,0.04421198683525968,0.07107753410657987,0.07366226729111469,0.13796457813632515,0.12856852657639797,0.04907099109892692,0.07655430361169724,0.0016059034736696765,0.05973035274718519
Book Value per Share,0.0014132634785977123,-0.008476226599788556,-0.00841668262735036,0.06156952245219033,-0.0051808945297620425,0.06348753304119895,0.06332508289592759,-0.017560254306111397,-0.0042465596828815694,-0.032669494568101545,0.05436341651971115,0.03964908372558423,0.012829154551740048,-0.0011551003329836871,-0.009317227301013154,-0.014960099065946246,0.0004304078231330598,0.011997209563965855,-0.004390377940170646,0.02935136442895203,0.03232798736830835,0.044326651029230564,0.011809943238296532,0.008145957612054852,0.0049827357200684375,0.06078505478039954,0.06134769949535425,0.04806556328353766,0.0626621210762611,0.06982063552922985,0.044324060788447514,0.06548866873929886,0.0521880346829062,0.04589032963444372,0.05449594880806872,0.04878002453489368,0.024791364871441915,0.043267541882165576,0.059270986203722585,0.052360566472414403,0.04678768688709375,0.06977858048501692,0.04079736661399084,-0.007672167341233547,0.012729637507286583,0.001409346255941627,0.006910581482648253,0.000993323312582361,0.0010637359867898084,0.0009040884461175873,0.0646617239347336,0.06231672826713213,-0.009894901488919985,0.04560826871432589,0.00829404366609406,0.009581324959400023,0.013930242134317532,0.016958698363283023,0.029249177850520915,0.023968278803599877,0.006469780885653224,0.01285562629395749,-0.025551139588353776,-0.014310067914056441
Tangible Book per Share,0.006095411496785389,-0.02092489356210072,-0.019760992998528824,0.05855756053592805,-0.00021462865085424823,0.06758417947570539,0.06824577335987214,-0.009990063065341816,-0.015277951545725704,-0.03115167799384626,0.03724742287732613,0.03686267980898839,0.011329382478263723,0.01273172382139796,-0.018637623350081293,-0.012707731039588048,0.007082942089592082,0.011018577540831274,-0.009333564987836421,0.026095964800627085,0.032423307304602654,0.052636323766782254,0.011478728806520065,0.017412044359410555,0.014679403889895434,0.07599127636458779,0.06661033881741861,0.03901083820448387,0.0776798511314023,0.08020307852637364,0.042045846754855454,0.04960631890359519,0.05336518201117968,0.05980327778694341,0.061042398990700165,0.05778168209457797,0.030302193331475918,0.04463508505630267,0.056632210901695436,0.03657760287202292,0.04515814548267184,0.03413588756272958,0.04886864024758656,-0.016825459757921123,0.012873456961175665,0.008453553098384735,0.009370687401600828,0.008316748773135041,0.01800196846386366,0.009250801906270107,0.04668025973639569,0.0441693509184021,-0.022318757167101664,0.04182625759829175,0.0016809999636916485,-0.00855953807934416,0.02435519860061182,0.01743866655679727,0.04003081272801621,0.03183715755145659,0.0032612156988933326,0.02335702396402504,-0.014915506238663754,-0.024914851919439013
Total Debt per Share,0.07370282015705366,0.10210958871098452,-0.013177086444734813,0.03995470881731905,0.009763122502173517,0.08192814986796754,0.08582383267866217,-0.018650332889308896,-0.015121595273101671,-0.003035686800291174,0.04963784016584604,0.06116006897157467,0.02396899245129882,0.008002834495915897,-0.012892197258564261,0.01550350373075974,0.02830763907021086,0.011282803733018536,0.016700603176118475,0.049157837069433975,0.03810010813099494,0.07522641653351399,0.07955187857384435,0.09199392756217252,0.09228370703765053,0.10068617998205945,0.10873368219701407,0.12794279377308773,0.10844665379340088,0.11715005106655799,0.04097388086721902,0.04109833070246554,0.027602970186591396,0.07918456179967517,0.013900839209484287,0.04531464027699445,0.02192104455922315,0.08193609616453898,0.04929223410600832,0.03747519681214803,0.03983753034779166,0.05581445193425372,0.047285692627741925,0.004472257567020541,0.029607217103525218,0.009122313819361353,0.012700859210737308,0.011451276977965042,0.038093656130314776,0.037269672404331135,0.052558276568839095,0.036301446085004026,0.07844060251841237,0.05847709104420554,0.017840253995831463,0.027676273313128642,0.0236184037098177,0.04063324222792043,0.10868418402380617,0.10739903731800043,0.017978392369325878,0.04075717169586359,0.002727284369401585,0.014107538017926937
Month End Stock Price,-0.00635394325229008,0.04922386692243039,0.04878031619328106,0.026786684689542054,-0.005580790094971149,0.06265983052749888,0.11892393997020835,-0.029109310130447236,0.060018695646211685,0.04394399364322418,0.014089531647219445,0.007384074132508466,0.000978713868817288,0.022080505705415893,0.058095882943730755,-0.022081069102247157,0.01257953685000513,0.01637373191507513,-0.0015818517203741197,-0.016367227007594968,0.017586574444211855,0.03416603291042914,0.0019781837950458925,-0.0028630691378958018,-0.0010090976920633567,0.04422663942059076,0.03672652708780163,0.024916124625137776,0.043172711348951766,0.036837691723303506,0.020501642281731874,0.04091290925696579,0.012146911374237925,0.03788182091255703,0.013743458016382793,0.04003066100998952,-0.015680637845219888,0.03751235894508179,0.03278486915525691,0.009477355897824427,0.05412965265940592,0.025233964360035412,0.006209490935724298,-0.006244609433074799,-0.0028621999028931415,0.004552554164702946,0.005472180855569126,0.003283569126048363,0.010256168779696295,0.023254429550933486,0.02160071069768469,0.02030740866113928,0.04706371679815785,-0.00033691777862044053,-0.006063652411526409,8.687385370590708e-05,0.007675289745370254,0.0061719556384788946,0.01790491379969289,-0.009527244247475492,0.00881369279642474,0.008938854519194152,-0.018145855049656167,-0.01593710801081191
ROE %,0.015445963591775344,0.012030512596674182,0.005731093073305453,0.01524916805679704,-0.02571083778650003,0.004860409003342094,0.0035954007713117804,-0.03753889177151978,0.005181521095842195,0.011474948310470237,0.006902800820428576,-0.0018295020560325469,-0.01086558300972304,-0.004396928684660739,0.00459850409384142,-0.035276816868833744,-0.013357936960804392,-0.0141698739334031,-0.011779051340168468,0.01248980881568272,0.0448863622333622,0.049930946496937835,-0.011372924276200614,-0.020836900063551645,-0.01587023066686735,0.0110381438812374,0.01840873521339769,0.016937435342648882,0.022573153233232918,0.03189297398725853,0.016796640523073635,0.034986990268274905,0.015269866039633042,0.02543261158191086,-0.013831481801669557,0.01506259153080814,0.012612301600000955,0.02560100505326476,0.010851104089517205,0.00943204999479004,0.03298930108280573,0.02088407270323603,0.02468175644517276,-0.017292463392235863,0.005396143861471086,-0.018619467314015047,-0.01979644184060602,-0.016908287075646143,-0.017115675766761738,-0.018227169345455405,0.020935272302343728,0.01219790598837089,0.005921904851238454,0.02214741035749421,0.016227636115688268,0.0008744247214366595,0.027815471476839052,0.028029611436550538,-0.010552720101320322,-0.008969850044125809,0.003929671970254987,0.024347110043285637,-0.010863520559449821,0.002732277294173589
ROE % Adjusted to Book Value,-0.03295211629604059,0.06900551879282203,0.0669960025375537,0.011578036001062511,-0.0017298588796096255,0.04464045048308856,0.04575478186803885,0.015202467802206807,0.0709702142338249,0.028924043751372044,0.005610085784217249,-0.00412380485042677,0.0047117056383687295,0.012300391464696268,0.061531804228855354,-0.02819624697674949,0.00303137393329311,0.002974965011193511,-0.01622338119012477,-0.015653945509043667,-0.013509403260119237,-0.0027508554066362195,0.0024562327063784774,-0.0007297963327648187,0.000735088647644629,0.032763049967606046,0.04078494488921535,0.0013383990436883165,0.03733675235740244,0.03874081571514144,0.01165337032518745,0.048178106155948044,-0.0004994960558022199,0.019102142906647118,-0.0016507892117926712,0.037465485302718975,-0.009737766582085612,0.007157346481204608,0.02577065237918061,0.006172706435520513,0.02822422095114903,0.020375168132092513,-0.0010311832423073159,-0.02554176036260976,0.0060868547667184796,0.0009100846294569807,0.0007695401165996761,0.0010567604383943689,0.009180961948511902,0.023289508963042452,0.021153542638370958,0.017208608102216697,0.0633781865595259,-0.00463191397620579,-0.034975693317057535,-0.033646141231696874,0.0007506929767377795,0.013216872977035497,0.014820294652599387,0.009227698314056888,-0.032782673909762194,0.010772331131412082,-0.023232060498933706,-0.004592270592951244
ROA %,0.05311033663666165,0.09266802399843581,0.02772978600906099,-0.006605984007267162,-0.044228813935862185,0.020029756175438222,0.01937804892088309,-0.05112393673624777,0.026292541324602,0.05279526066789791,-0.01767124724374501,-0.005521593218456604,-0.007531160551409012,-0.0004746394788299338,0.02765038323011288,-0.028788776236933898,-0.005802772911688941,-0.01204339364097522,-0.02112891195891749,-0.01732120185010841,0.035297119812641796,0.035023014612814776,-0.023424013928764746,-0.030313567612916675,-0.019274059005160125,-0.0010588264456758702,0.009204409509464192,-0.01228970140503461,0.007899664257931014,0.009353410237080065,-0.009059943787887543,0.018001682147521743,-0.008969974168876783,-0.003898679042120619,-0.019039030559212182,0.015014174224438135,-0.017314903377374097,0.0012876748264775348,0.009394406588935415,-0.015491253754679711,0.017894595567451647,-0.004320597547451736,-0.0068167368125276896,-0.017973792201535006,0.015785191543371237,-0.013447264499384954,-0.011544481751869513,-0.020365805378571165,-0.016160683697219774,-0.011980544555673985,-0.009981653279056474,-0.014177757894975301,0.0225564016479996,-0.002256327843963317,-0.0015683326211359647,-0.02099437622847844,-0.011274961777755816,-0.007132839781799637,-0.012291190535774748,-0.010298687634192377,-0.012224301762471164,-0.012330811902923818,0.003019511424697847,-0.0014431958725878288
Return-on-Tangible-Equity,-0.009798216076169366,-0.02269434166047031,-0.024912797508373167,0.018208685572203016,0.011833069657636128,0.03514315478496815,0.04750343503564775,-0.02989568667667867,-0.021728864885311016,-0.05482510512249249,0.03722998843286072,-0.008538243867564238,0.011711016905550152,0.01763090199951048,-0.02253051521584892,-0.03461890476220336,0.0006848622973346513,-0.0008403757236068905,-0.019072366058305916,0.027964712976275435,0.0314569431383178,0.05284368580008132,-0.0007063306251728994,0.0008244896049960483,-0.00307746024462804,0.039135009032240736,0.03873886947053719,0.02646415297408692,0.038266628502294286,0.0450394132237114,0.031755102616607585,0.11496268425955647,0.025449196891602424,0.027992550030433463,0.005498510617676604,0.028593732819767636,0.0278761471990516,0.05540229529869137,0.041331363668769855,0.025099363295590333,0.06311871035501444,0.023308663087438126,0.05899279164678223,-0.006629887996593951,0.011376843744651144,-0.01791192915453274,-0.0065569737424104844,-0.0003205026674830778,-0.0013296237245409188,-0.0056978263111351676,0.043755937801649734,0.038070001942047654,-0.019288099717572327,0.05041897444598512,-0.0027367254945937476,0.025501757142582085,0.022381651341014205,0.04976779514512585,0.012201285972867832,0.016433251421766465,-0.00018452223539338155,0.036336001615653535,-0.00974994492361975,-0.011654122464465747
Return-on-Tangible-Asset,-0.003411609238034164,0.03231053639271199,0.03968093242350119,0.01586309061304272,0.016561840546922044,0.02863282715494409,0.05625560258345496,-0.03083247262715004,0.0424778087413766,-0.012428211443856158,0.011172761091869486,-0.011890002550937018,0.00583712170602552,0.014197674284570506,0.04239349134970772,-0.02022917629436265,-0.004547505459244927,0.017517334673434682,-0.007134589641656204,0.004649326704940379,0.027669529815640782,0.040518017685287656,0.0009976368416666302,0.00028822811063940017,-0.0029173016386777446,0.03525329338505787,0.01843043585606152,0.007998850486098504,0.03272188557107321,0.03398741745681163,-0.0009661114363959007,0.10723018104595702,0.003346874474868291,0.02579613517563947,0.01409807508346738,0.10509689109422228,-0.007317865159405829,0.036684051958725865,0.030429657023252246,0.08190307961671331,0.05117545485634213,0.09252844030442366,0.024203293621247027,-0.006939410608759955,0.014026694367978374,-0.014792963994939987,-0.012894670752030659,-0.0006993826870553294,-0.004519058194743483,-0.003069275016041578,0.022136620597451088,0.014728727641765742,0.03376192857882334,0.012332907732599844,-0.05180588165835673,-0.013720931741925974,-0.024492115540056182,-0.015835983636402085,0.012080004470331529,0.01342931005552302,-0.0475272499519113,-0.024492115540056182,-0.00266912613121347,0.0004855068271247265
