,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Leasehold and Improvements,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Construction in Progress,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Customer Relationships,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,"Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Amount Due to Related Parties/Shareholders, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank Overdraft, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Provisions, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Borrowings from Associates and Related Parties, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Additional Paid in Capital/Share Premium for Common Stock,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Debt due in Year 3,Debt due Beyond,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Total Contractual Obligations due in year 3
Long-Term Debt & Capital Lease Obligation,-0.014096586863325425,0.03255010122274823,0.03747902271734945,0.013410307571646267,-0.012119365506309548,1.1017187666329301e-05,0.023781320808557833,-0.00030739881333998256,0.01868847447239044,0.015051027608541916,0.01160060954862607,0.009260305416921289,0.012429787781378933,0.014212041623535824,0.013533900641791058,0.08331121257411198,0.025207695662459215,0.014475251588012375,-0.014485870608131423,0.021357994801530528,0.0032384314975814187,0.1008503064458994,0.004705184372552563,-0.028594723478330558,0.009193024673168636,0.04138388641507325,0.02190692572785997,0.029584673635721634,0.013714332240708033,0.00668587287253167,0.022435911315131663,0.10474271951433109,0.02772810247407445,0.004484318807961294,0.010164822318464613,0.05909966343343861,0.024889524353297332,0.055805000865661446,0.05852389132636167,0.0040887091903201635,0.012088567736826497,-0.031679441229234204,-0.028611591767930523,-0.020120811494354927,0.02063955613584381,0.007085020913156124,0.028279735740011178,0.09541959815028749,0.021324951661761616,0.03720719108965323,0.046283681218224786,0.10297612385495551,0.013895898504797511,0.0011005717197525554,0.013358680318687186,0.06805787698090868,0.08472013123844731,0.0029444899486917885,0.007953895337396724,0.0009584285065931649,0.01058704160495437,0.0035646259333676125,0.009534231193137708,0.01154926139993757,0.08178518590894925,0.5463956275089725,0.07092784243893857,0.10938957505319592,0.10245570343229625,0.5652046499502327,0.30370936511987795,0.27448156468483764,0.08227794649134354,0.03166156955746068,0.09200392660522762,0.0849839956077006,0.5593998024666208,0.2593087134824861,0.08233150934805285,0.07351457533811707,0.06806147967395385,0.3668794342422239,0.033278776521982724,0.08737681287607131,0.035444585616423274,0.004380623540062265,0.014848598813905845,0.012043904614458515,-0.007380549836995605,0.006244437525628725,0.028507586109740506,0.011799585834952461,0.0280521170643762,0.054464671562014816,0.05064154998978214,0.09907652191449699,0.00866194163718593,0.003441994893455161,0.013544180183639547,0.0559922653508986,0.09098160465958285,0.06884838009596728,0.07975579502821856,0.08900553143672392,0.08953604359553906,0.049323357525642424,0.2708164574216123,0.12612031385202044,0.1116584613289303,0.14290006134679964,0.09299853271036554,0.13274729330036766,0.15906594360455942,0.1693488480299339,0.14611456439278053,0.14825150282401306,0.12412838438875326,0.10991361255654611,0.14103316708789712,0.11238658096203732,0.15276309055526646,0.10604788150500707,0.168349312921138,0.12620932217302502,0.12542081271500005,0.12951437910139718,0.16472766691165117,0.14025267507274217
Debt-to-Equity.1,0.08530343078496522,0.16937475989274675,0.03716802495286988,0.08120222679309641,0.08709281711712763,0.06157064233447707,0.09363331760781783,0.06131745754601682,0.04863730497549606,0.04052823391936535,0.049818291575346015,0.04067970576637413,0.11328189899531659,0.059354080206291134,0.07651944143190467,0.14902798515848711,0.16693854163418045,0.12265903971735789,0.08503547655457573,0.03341182933787452,0.08934347290188754,0.05714010254210272,0.07633687105569571,0.03221426729109133,0.08165912831894191,0.01922815516363982,0.08596933749057187,0.12642937083232997,-0.01626095451718765,0.04260506865352428,0.04323068551833846,0.019787401442049032,0.05415278441400024,0.012126165873328265,-0.0042529756652476556,0.030045155055815766,0.07235778272616541,0.06636446800256805,0.05613431111647794,0.0673835799540918,0.059542092093162455,0.04327911382199862,0.05429404897011836,0.0643869187257203,0.1039343589893107,0.10827817997315471,0.011569846665435035,0.09627662163679745,0.0534438144348726,0.040410222555878235,0.10353463605127837,0.09895945715403665,0.10362098911587563,0.09636312169071423,0.09906471580841542,0.12549914723118713,0.11728039758765356,0.09493822687702456,0.07622959973045276,0.10626700572644944,0.0995153492663144,0.12665457519639675,0.08021804759546801,0.13366558513333576,0.1187541484359135,0.1306847708118358,0.29193596999024424,0.17209362347543244,0.11293579237567809,0.1324993313459566,0.1416443800305667,0.07224999125574719,0.09084302705037361,0.09133339716619938,0.15456902728927388,0.10325137023061466,0.0945245700764875,0.13412839139072197,0.10686552318120969,0.07118411802598683,0.1159874689032882,0.08756048738453147,0.09238493575702404,0.14360379311500615,0.1495660817433279,0.1286691463218046,0.10055551461053287,0.10343105994086277,0.2054402550496075,0.09472660916947549,0.0943242167862144,0.10662705222421845,0.06351892124527588,0.08558204218992016,0.03541965087343258,0.13315435717828117,0.13085022723097786,0.07445926471116067,0.03493074549395274,0.13971270155889431,0.32551155747756627,0.2899926327466818,0.14302673864387772,0.09670552202875565,0.11347162218496495,0.2924205385601073,0.04619878037193752,0.10999790448610637,0.12595808300153877,0.06732610668132269,0.10549576234098032,0.03538985798597541,0.10646879906233145,0.11237908461798153,0.10590830937842936,0.08338597972179806,0.19078432073825075,0.19450889043703895,0.08274995305916127,0.1838354052564889,0.10317475432038142,0.13724834371921346,0.12203053774443993,0.1327239715212249,0.09390786803478382,0.11593332518852117,0.0693733995892677,0.07180384482144986
PensionAndRetirementBenefit,0.031135431368785577,0.025741160561289417,-0.005567766331633772,0.0048508769982899365,0.01935032884128693,-0.02044316933630678,-0.029403630842882205,0.029669251443173006,0.04049130668288303,0.0385692637586441,0.03321237179842742,0.027920877435246055,0.060913299849787036,0.002425583276232394,0.017180900152582432,0.03675896291833001,-0.005680335588845229,0.05115505122061717,0.004735993214374061,0.026750391350516784,0.03033709453426841,0.029818616816969137,0.04191216102594128,-0.0011215325717969997,0.02675083700233582,0.04075686627304826,0.008780236729495208,0.040344265384262404,0.05557798755031701,0.001202638848758946,-0.009371728566770607,0.010505141016286194,0.03965168497047009,0.102347465115683,0.09127103608450003,0.03830850923044038,0.00874302589422891,0.029455572552050585,0.052417842150983995,0.02071243885913629,0.038550889049968846,0.01317696077536101,0.01516956104925515,0.005537320406580477,0.011235664326536565,0.0034093112077678463,0.0486200631058427,0.014021956703833481,0.007204716867677027,0.034950575665646855,0.005862704188875995,0.0461761694083706,0.034160846629917724,0.02301021555648753,0.017338208040724303,-0.015666437601304463,0.024843552461696974,0.10112299756503594,0.02626605088999777,0.015144742162089657,-0.0019255818468829995,0.06429302626675644,0.020027147254567185,0.08186051249175341,-0.0040277173076328915,-0.0014562648487312074,0.00836505342907266,0.021554554728484346,0.010721182518602698,0.010175807030061422,0.005167129440232624,0.009309237999508717,0.01829161769425674,0.012029581728343456,0.019017149880453367,0.026005008288246163,0.02600955975611703,0.004452651509945385,0.03377493151448606,0.018324872837638492,0.015816031045356164,0.046582041472566525,0.013335891124966349,0.06979192615421312,0.002657680793409347,0.08058148633466161,0.004268442463327892,0.005299983517362822,-0.029455610778388132,-0.006519152540455778,-0.009214766386300838,-0.026717365951195143,-0.02121920129878087,-0.0020695278948701904,0.04933506214925158,-0.013954773132334283,0.040207737192797584,0.10326524094154749,0.057099216184925125,0.011461914873745194,0.002860562535785921,0.044411687372564346,0.029371963184391284,0.03860073824834037,0.02831685758311787,0.02501851347879328,0.047221961176116774,0.011427280521406414,0.0003433336234935358,0.04174145011842106,0.004680130671262009,0.047205107634762385,0.04764532664037795,0.04757218358628795,0.023392945228785194,0.041663907082927366,0.01696165509772044,0.006501668980570557,0.04616942305786507,-0.0005036640011860712,0.05884225734325242,-0.0029000597903635827,0.05284313308807136,0.00417340677154353,0.03377825822279674,-0.013864904571849142,0.06653388234972726,0.03706780281005743
NonCurrent Deferred Liabilities,0.04295577249463923,0.05733347370971369,0.003039956169052424,-0.0011283771427180005,0.021543087553296078,-0.0157201061810401,-0.024918413852716505,0.03061292623359037,0.06839875331948926,0.0688426119366231,0.06069063064930815,0.043681029015456466,0.08431210018117187,0.03425264043064629,0.08817714107946895,0.09826706435401623,0.08430126997880048,0.03534247140207242,-0.00988667642919984,0.037335403294912695,0.003951187547294861,0.006607476553056158,0.007941302202716381,0.008044388524001555,-0.017904421464431757,0.027921886798114318,-0.012999101492410172,0.025416299450778893,-0.024815382194949977,-0.011968477640925968,-0.0029350364494837473,-0.005472289867642037,0.03071548252673178,0.10359188260686591,0.09317876397375903,0.03565737783062068,-0.0038332053699252928,0.027563609413161983,0.05763994867085064,0.015276063129047456,0.020386401172163487,-0.010128097168701243,0.017319417789077047,-0.02096471999638457,0.007529301258127822,-0.0064256032645740755,-0.014628088107800797,0.04616656849388897,-0.014690318586499572,0.04758433825175382,0.035302465237574035,0.08598113224019649,0.08777124176485955,0.04287063476503472,0.0556944726664402,0.04002142258290002,0.08206865987623814,0.11406585903485132,0.057242537710265246,0.037284397282526215,0.03166823703092022,0.0476204952691749,0.09465354162213328,0.09339887902701546,0.04911052399993626,0.08852740671979316,0.08504516272020075,0.05724486118926902,0.09593596949422208,0.031242968318524654,0.045369753723111944,0.09514792024960757,0.07519144128443582,0.040730310556963994,0.2227160946010441,0.24023993787436376,0.08539955156714832,0.07985480016989895,0.10765437961553768,0.08739411532700213,0.09007320706715598,0.13483006139415193,0.03524916514734472,0.16167466517987736,0.2652631720752996,0.08438495766258947,0.03807432690812708,0.0564859923400795,-0.023283206642396793,0.016792250824537447,-0.02907548379152164,-0.030469703111447866,-0.023176297448105745,-0.00022532295513057275,0.03323064793767818,0.03522576302671082,0.10365869336786564,0.053791596550916906,0.057021439546553365,0.07440794970256401,0.06724529232339867,0.10619436134662977,0.08377777659259562,0.09748719601676323,0.08923046397233828,0.06117435890296462,0.038000622622278706,0.016148180307501356,0.004394888382997409,0.04461787914465677,-0.001785725620346589,0.053999664466568766,0.10828342400862287,0.09088068863045348,0.06024269189934456,0.12249640003579779,0.09758548975745532,0.09670839549148283,0.12215040277138549,0.08072855053811948,0.11942667168942671,0.04113266199221271,0.09811132407007661,0.049182269788147985,0.06988571769604063,0.03501106364422047,0.10340092873614885,0.07939702542968222
Other Long-Term Liabilities,0.010893590180349601,0.007763356180351488,0.012851313473345699,0.0012055885809143076,-0.010552426999476783,0.031132986104241405,0.01914363134051982,-0.00026988206665945263,0.020914541880025703,-0.00451094778632527,-0.010029478780918744,-0.004675386822681066,0.04592163938176983,0.06177043699999481,0.07197602441218798,0.09571130356292848,0.07527791706839009,0.0013763786019232427,0.01273443039208565,0.032387461149208784,0.012980457475225641,0.010791055744579746,-0.019209519917702138,-0.0066371657337299635,0.008985839314307952,0.04671802528404345,0.0187958910021989,0.0748429866639021,0.06494636755237045,0.05272939062837427,0.019576726376316498,0.0001799152234952658,0.004658818317704912,0.023216106271349488,0.017539287557614237,0.02552467143153993,-0.0008763565846703163,0.033226471174149966,0.03882749692407816,-0.022169331313581443,0.018647942615875806,-0.025775094097434146,0.028909898102935733,0.020659934772053138,0.030164511761812205,0.06326808886472493,0.0720832530687587,0.07260828990790741,0.023017017753198997,-0.003581561208819412,0.07153597870187488,0.09194745140827681,0.10241419278471957,0.032117796709690075,0.0013558839963468418,0.29111300078735586,0.26618643634667155,0.08207343543502561,0.012097441819282656,-0.012466057027287824,0.02461404908754779,0.13282030423867675,0.07213238059093956,0.09540166053698701,0.2794571970360624,0.07238677523846869,0.06728533213930214,0.10404211360663447,0.13402745977044922,0.10181691858132819,0.0896868514889503,0.0779210189024616,0.07349577217867227,0.036817496458001836,0.2747591075508807,0.30191035596515925,0.06449644822629585,0.23166111988573987,0.062109541902783734,0.07951968019243656,0.10256874358207023,0.09643479993947544,0.023361623040592368,0.09165695725684574,0.12912344956806265,0.10301877464574755,0.05758491462105165,0.022575696703934393,-0.00035805544231882905,0.004451008254130384,0.017515297590884504,0.025857373753934192,0.01943999533075338,0.022921570866862206,0.024864508625950795,0.04310139295264947,0.06873002196260285,0.0751588196831115,0.04105588436365395,0.06090193363105416,0.11299455086596298,0.07443503811033358,0.07413021978419386,0.08923779703337686,0.08068851378337205,0.02938258887468893,0.0229132991682645,0.03930643276273617,0.026915144633434654,0.030510655428939163,0.01702622235488967,0.07245258831017978,0.11621646015916581,0.11829051948774946,0.12495079696196505,0.12635224544535803,0.13637861361634718,0.12528029287116443,0.12324398927091268,0.1200713946552505,0.13324911815236715,0.09114070295182417,0.088577274865636,0.08211798154373608,0.061616030121643,0.05024188411335858,0.11521249727825009,0.07615214922927738
Total Long-Term Liabilities,0.09775519876655378,0.10844652850281171,0.032899004552500395,0.017751115578411563,-0.010745724082203117,0.032147790781363976,0.01921271051978257,-0.005324951897496457,-0.0021031589327493052,-0.0023506384419863966,-0.020219128284790094,-0.006277083090529956,0.08301802786836025,0.024388695737745103,0.07111686216015309,0.08597979269851727,0.11768833804813428,-0.002840405413084936,0.0014280913337030186,0.05071276318489421,0.012195258597533997,0.018581305045716177,-0.025103444644084632,-0.023587374337083317,-0.002378002068132834,0.04557540349821114,0.023811549536594017,0.0446654540844694,0.026940873190719146,0.026198345554323026,0.018571812098261697,0.01514473839120092,0.00817775216713947,0.024335890708989276,0.013028745028409242,0.022038703066227336,-0.0013005739390643447,0.030686807621636544,0.014972490507798985,-0.023813249735312507,-0.00476902100100949,-0.03836705283657179,-0.025187463755419658,0.01332276605745568,0.02613706652374641,0.024722819486611636,0.08123812639846566,0.07171865914291707,0.004743081498376166,-0.005181897798128077,0.06597776058397004,0.06630768534093254,0.09871436118073636,0.036116456087555614,0.002785719504878888,0.3283817715709319,0.29373205222281984,0.06943595998162087,-0.009015916538708002,-0.01946686427972348,0.024954474592935056,0.016285792308032572,0.07769622886465054,0.08619544743103723,0.2925866995005641,0.09783468653447619,0.049649196162377146,0.0994140076055066,0.12196532603068176,0.09493583053154743,0.11107441287522243,0.2560638414939525,0.0714497730560937,0.022998693376971392,0.2732900659002781,0.2688798841436992,0.07856947199997162,0.2284732084951872,0.08144371947659937,0.07751050556485331,0.07226953223806,0.12065050237340749,0.019633363495535752,0.09773791871614605,0.11883712648384459,0.08502559191359242,0.019973279751431143,0.023926691822156673,0.024161238673196948,0.0021488083789377656,0.025335638640098922,0.03084935912107489,0.007002125454044159,0.026264830776286878,0.006401852852488905,0.015645985712689145,0.06680971750606067,0.06947673004916917,0.006121248223788763,0.07802273270977306,0.07718459195782766,0.04036519565762505,0.047358030821778856,0.06625728865262095,0.053337622532899996,0.017459362975936733,0.11359816501121046,0.06703369345319538,0.045352708810040505,0.04263846033867374,0.05207064691903372,0.037232720303339156,0.11633156583635385,0.0927601048102927,0.09781965814105724,0.11674687252693804,0.1457119372514151,0.12446977709295415,0.11907630429894267,0.12881796266400874,0.13340628954004016,0.11245083590780479,0.10988431325440681,0.10228176011322206,0.07856431239737674,0.09623293376291302,0.09806416135893149,0.09693010835618038
Total Liabilities,0.0984388462851907,0.12619681799834054,-0.0025727093366917754,-0.0020794745454551793,0.015197581318538869,0.06356377581348051,0.06488103634278493,0.003222399534045216,0.016651651906689866,0.018482027932377236,-0.0006195439755258697,0.0041419307943677324,0.1285991375799012,0.06095381341206049,0.0897025169153194,0.11442084533463347,0.12315983179561955,0.004296979027674759,0.004008252789980315,0.05317548605848766,0.04812760090930836,0.039879662629841384,-0.0046499398381887914,-0.0009780447763017364,0.046915390736617144,0.01729554488707518,0.05636331964883025,0.0444567989837862,-0.0036144305374263357,-0.00040549257675793343,0.027887978066111388,0.02100741530311382,0.019831821835048183,-0.00743465977405805,-3.553364832076982e-05,0.01009685534941562,0.006162203882497788,0.07280694212596743,0.010221144360220426,-0.0008923898630893027,0.02017306702339119,-0.0154132284011295,0.013075471706411405,0.048842482166419676,0.05954346318471139,0.05947274725055011,0.034888618143569985,0.08059382756122824,0.012841190207210234,0.0008237067474163218,0.01948139914471032,0.07836919679486531,0.07956424018881525,0.07803872301041048,0.029627754810181633,0.9560683844515664,0.5499011205029962,0.06210368456307166,0.013500895863235095,0.01098743460818538,0.058902482079636054,0.06742272723638944,0.08000409604736666,0.11800890773415657,0.3328571186609755,0.14228343502573462,0.10276882226721823,0.0815453094591959,0.09662108390971987,0.13317183816715567,0.14884654169909922,0.08914556328959986,0.09396254311448896,0.0499759547307387,0.5363390744523385,0.2834881154287862,0.10084526771624157,0.05137669794211495,0.03783228965495372,0.09229075188483508,0.09575861740945742,0.10840981233346393,0.05095251008101633,0.12439300939777324,0.1555441685231646,0.11250368695733258,0.0628408853841709,0.05836606083337316,0.07623168500811411,0.024000519581280456,0.0724619333622177,0.08535471016514175,0.06004978851253369,0.07110132551634137,0.034623977828879986,0.055595595681725604,0.08631351145047163,0.06417476583784817,0.031604176991326983,0.09924362193999353,0.08097887542957535,0.06854909415533228,0.06258036965352122,0.07569487213910708,0.03538364785016007,0.06076646214295978,0.03228916916304663,0.09942956816176486,0.08881168537010703,0.0426913390514861,0.08390192726315329,0.03415213974600639,0.10461316873174543,0.08042119657904098,0.1314254253451642,0.17886994928517738,0.16219248237837616,0.15359404462519466,0.10437709104509557,0.1301119793318828,0.1091443407783761,0.19690637704940075,0.0926826379222955,0.1344885103813579,0.093419886455592,0.10266656827920537,0.05825934079902254,0.07383295691395307
Common Stock,-0.027180753446483203,0.025381230641707307,-0.03826167135275929,-0.036206199655089095,0.023014285358033557,0.02384116641389779,0.018463614001345663,0.015942480880518438,0.0035094785114783388,0.011415790981615007,0.011842072186726149,0.010639754206738735,0.033395317759188095,0.01980920913003552,0.009846046062029953,0.017841390701822887,0.02281127402139299,0.012509160759108925,0.009342032274800037,0.0022564070470450373,0.016999049651135564,0.012800895243277318,0.008810318920495091,0.015605710490654375,0.0037566043181206012,-0.012534580939266262,0.010274947810803833,0.004371517120343435,0.025711957997287677,0.014339721261612828,0.02620224715998703,0.03270092843488493,0.01587456992488724,-0.006653481532664601,-0.0006050123030469741,0.0033639191996345736,0.014270052858063294,0.031997516650989266,-0.001336692230197242,0.006161545277391636,0.01229977270231485,0.008939957371966581,0.010966941534768768,0.01969547981469296,0.0346535107828799,0.019969167702488137,0.038862909951397184,0.029837726882142,0.024443282287041745,0.028647082939315505,0.03601289889541475,0.03098770802143206,0.02612710058392358,0.008729747007410131,0.009904520204644732,0.029323325220680724,0.028410171424726616,0.012291147878374221,0.007931930493895213,0.01979294157306597,0.01810198797293059,0.01978611832102677,0.00626595088959076,0.016202019119247464,0.011318141740198802,0.009812737902512927,0.019449209655453503,0.0027095243769296442,-0.0010415808116620842,0.025885268061432862,0.02110203359024543,0.02685964262329115,0.019293902628525834,0.02751237667721355,0.032949836945585266,0.021103007548159924,0.0195615515152784,0.02979767105760289,0.027436465704247088,0.005752883063197871,0.023722336568575392,-0.00540955426152995,0.02914173822334074,0.025774510812831868,0.011458564286262598,0.016938827910194347,0.016283625464687528,0.03836789336205502,0.09851898796455077,0.10594311644211662,0.028021744692227266,0.0984068336554627,0.9337155324688553,0.014686889798569833,0.4698737410193927,0.08742442264801506,0.011756995933584284,0.0036270403955549124,0.01070239515873273,0.020852243222945124,0.019287002193265006,0.008688189254518088,0.02453639916597076,-0.005901443659670606,0.0030454610093078698,0.02134870655121934,0.0008439735854455389,0.024442326808464636,0.02272550291208651,-0.009306064884533383,0.026527878805360363,-0.015008038286802415,-0.0024220899251814016,-0.002636278828250966,0.029449496159199083,-0.002831458181332426,0.024649507488859773,0.024529338419721994,-0.007883180254693454,0.026633348356910346,-0.010734794417451263,0.021009227237781893,0.0069866951236376915,0.029856890813301028,0.02387966568033716,0.027367324527957492,-0.009127626706315959,0.003979703864486298
Preferred Stock,0.059981110103954655,0.03088438496634103,-0.028820295471553854,-0.014685437116256757,0.034623063855839076,-0.010684908401849519,-0.010979588748750279,0.012081408677054418,0.03559885263920925,0.03989964631487452,0.01771380828919753,0.011461219400354978,-0.012223257978806013,0.010215743252633181,0.025502360162586574,0.005700105561296576,0.006328187196750619,0.0344424897446675,-0.024922293861840944,0.036496019074476894,-0.0021915269508221043,-0.01737626910529412,0.042170903980735426,0.039122942914186096,0.0035820486823938073,0.011605046877226534,-0.021711884512949517,-0.0036511331667036856,-0.038744398884461226,-0.013366661626595635,-0.00020665823805018674,-0.011955310477830172,0.015819592054818737,0.06417869750503177,0.04071130071885838,0.017527930446032118,-0.015244364066687813,0.005680509566013988,0.029644379015797365,0.019690285257131238,0.015131591025945402,0.0059788808304225205,-0.011687855010210673,0.007596156928770598,0.0138490755621621,0.009034085672554502,-0.01625305141792211,-0.01589241809549156,-0.016722409229000063,0.024525278181815102,0.016067475131403372,0.01842467227593792,-0.0015874747561392295,-0.012761885537278913,0.05555179031907001,-0.0209538356291971,0.019881405880428964,0.03643497003695631,0.026085923310841586,0.02169101379169943,0.015996264482808036,0.006708065940004726,-0.010035178835187118,0.013852595601889152,-0.019481003822003826,-0.017674134384683654,0.02583476292776335,0.018327599126227164,0.025331542722195486,-0.023511852075282294,0.00499158142189408,0.025763141764172482,0.005180122639862226,0.013137296537537382,0.018300199355703074,0.023786527554878475,0.013656943769026205,0.022459534614008018,0.01485640365871308,0.010956975978370134,0.03805342531775172,0.02403782681290009,0.016134709067249255,-0.00868545547954253,0.047894179611677634,0.008237935256859766,0.00850981512316358,-0.013213111362664301,-0.030559384754916947,0.07365211581890009,0.000367795778544293,0.06709546685534461,0.06496527124617177,-0.010262129557926445,0.07966512754232652,0.04435062638290259,0.04152875083703822,0.023205233542347794,0.052400821801559326,0.01981715342798266,0.0034925965237565947,0.04229608457222102,0.029351520157182166,0.029518201102913158,0.028903585176584572,0.0193380918767984,0.012156251881804577,-0.016722157351157344,-0.03117847957433403,0.006978323703758258,-0.0034539309989016632,0.012456079992970739,0.019294240337021824,0.01518232449588621,-0.011177242636639514,0.016557287955614886,-0.01225331338844101,-0.019588879801125326,0.013193836554652703,-0.01348508522363134,0.017083578900668982,-0.026091172474502003,0.01566856497991956,-0.02238069909573838,0.012607800588540623,-0.02322587490150356,0.013836318605767608,0.011395407769481537
Retained Earnings,0.11681576465182701,0.054536344847112256,-0.0018709337548209913,-0.006609257688361339,-0.024565100403358308,0.009821020850293577,0.02301085218711424,-0.010284870711276862,-0.019707723921099634,-0.020120987219090475,0.04443370632293931,-0.021776067684785433,0.0909295759586768,0.026013583977033492,-0.010048849341314349,0.0067669355131781544,0.05911022691894433,-0.011523228057671704,0.010564948215713915,0.0041837264511983534,0.015068882924172685,0.011129251330983159,-0.031068680257762306,-0.02679825543529999,0.0005716861971129078,0.04580638338646445,0.019519297946529554,0.047054585732193906,0.022063331569297323,0.10285181148347804,-0.0175795896418543,-0.006952179306595323,-0.0037084936887510026,0.05086994484927858,0.05492840792832283,0.015244268682153934,-0.006537327384132297,0.04303985488578729,-0.007767153878022208,-0.0341836778134321,-0.01772952533925298,-0.06057288540080234,-0.023856532327942475,-0.00311121701343198,0.022057540628473985,0.022524241918978543,0.00015050226357612778,0.05709451293771408,-0.018413571582653377,-0.015066409207750204,-0.0033958348062599784,0.053145269271402604,0.025853965516278613,0.04229601846072092,0.05305301927768213,0.010400548615484798,-0.012575863419069145,0.057659906826707394,-0.01713964359651952,-0.03151771647221802,0.03769741594143363,0.0076457476048989075,0.049158545627292036,0.10668228066086334,0.014967096407312955,0.01371909235226593,0.028083309421276962,0.042553488650537055,0.03549646555135438,0.019767572506885128,0.02475481561811247,-0.0019595967624965855,-0.009481474332195823,0.026026758327511796,-0.019086996398402428,-0.014735622302150562,-0.01531851000053967,-0.01928922678521178,-0.01901932060153582,-0.004171748855777151,0.003127822685724904,-0.009666947870671155,0.025874085295857073,0.020811208835827703,0.03447851575784426,0.10026496248895336,0.016616470922648386,0.021020270626767614,-0.013598508807241628,-0.009593734570567173,0.01087688631739102,0.01775726489452605,0.015138961964743663,0.013593026319012616,-0.003179089575370871,0.01918343202087082,0.6157803580665939,0.05283448085112519,-0.0077102105489684596,-0.02493669653483471,0.0532720653310292,0.0013058389279035885,0.014116096403851912,-0.007234918319254239,0.014560400040943028,-0.013048410428230177,-0.0106002976229098,0.04283347745536764,0.03456055166836604,-0.011176440899747873,0.023241630033463554,-0.010928824438836252,-0.020425708206196047,-0.0072146903267872944,0.05051350055560774,-0.016417456923658987,0.03838861804568047,0.030718634166408562,-0.011994701174208203,0.024566075676151183,-0.01752931265985061,0.005350822876310113,-0.007412027958112405,0.026863151555270744,-0.014090279053718726,0.01605432122566821,-0.02373555977973306,-0.001984108027152781
