,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Income,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
  Current Accrued Expense,-0.05747268306728111,0.05058419391437087,-0.01132245600534972,0.03864990546194763,-0.005648864768002512,0.13386631805878282,0.08872426134929833,0.10068884384690853,0.12167980084049165,0.07208478408863696,0.1047135960599365,0.09496373686770436,0.09823047202148504,0.10133613395097443,0.2664163823412428,0.2650047647271468,0.22834462656016047,0.08216840190747328,0.09584553556859432,0.06246271949615828,0.23027066751308986,0.13204528162500803,0.06322329170706431,0.14834095162655403,-0.0033525770042254588,0.1710362796329464,0.17166068935931234,0.05795452683104498,0.08572441840804892,0.08517796685719982,0.06767002477352291,0.07440700407341955,0.057148400242623874,0.14785471600510286,0.06864379334037132,0.06165140158988934,0.05223002592319197,0.04448027474749891,-0.005834093580201379,-0.004251117851696877,-0.011972499616396785,-0.008202286700990862,0.020700058856010187,0.018245930856485366,0.03932026087193028,0.029815000045628894,0.04034611374775582,0.03460918045068393,0.08347226687622968
Accounts Payable & Accrued Expense,0.009134472784750153,0.05826628863751737,0.01895649972130275,0.05760490210170419,0.0002635208047000355,0.14280450806391698,0.14289513863693148,0.14763720806223493,0.07673227721759648,0.05221946742021186,-0.008740218948305631,-0.014945260181102126,-0.0025751288831514446,0.12701688991005491,0.12391369653977347,0.11025407988051177,0.11025189135313682,0.03424697865719594,0.0026719145544594025,0.027722426504730294,0.10732054924239248,0.028144809257724123,0.08244119612265577,0.0004994907804538682,0.011116982638757544,0.02164857919633303,0.018896494457314277,0.0026043186655434125,0.025427030325779837,0.024704470121044042,0.01546722828647939,0.08522856072060876,0.031668661617596336,0.26818092648713865,-0.002083406086059953,-0.014123246943990881,0.009405765043670864,0.011277317607092302,-0.013084519436865293,-0.0006709306527192625,-0.031988814044204554,0.00722694350051622,0.014974061649669416,0.01211421038827256,0.006737003699368869,-0.029722950864411766,-0.03988523823364347,-0.01837929852182683,-0.01888309325449039
  Short-Term Debt,-0.02289593091859471,0.007934145457490247,0.010702453219325204,0.0926331809743296,0.08950959761868836,0.015035515042468839,0.006119098779475505,0.014178695395138753,0.006494360174453411,0.013960288397124473,-0.030809710549041084,-0.008501218335227245,-0.024308660874617607,0.018670444883277244,-0.025573649963326596,0.041368165788513045,-0.03201615940033751,0.06915304506620157,-0.015810146195473967,-0.03021754420315749,-0.02896874599032406,-0.034332001889632216,-0.00973734954091586,-0.03637841136429876,-0.0226921000317069,-0.039910804379016104,-0.02389545889490219,-0.024254228961954328,-0.024376807535364448,-0.02239264947490846,-0.00478724706806065,0.002560518247558796,0.021326377707910554,0.11133069929265331,-0.023357441824063074,-0.02049914433892186,-0.016706732030155193,-0.019111962432347845,-0.0244207885124904,-0.03299938540553794,-0.038204824197897,-0.032444762357116436,-0.015161227043005415,-0.011006182981407051,0.01423312694534507,-0.0009611760563561095,-0.017668701808514885,-0.03885392694934166,-0.024335964929525986
  Short-Term Capital Lease Obligation,-0.04544742735494144,0.022759199314121695,-0.02660132010307345,-0.03063011913693549,0.002928285584974809,-0.005160712394685952,0.016933077886753297,0.03777341536437379,0.017801584914786197,0.03945417224472308,0.13692208404216255,0.15526358644802793,0.1185844325925403,0.036242008519836354,0.13723040635824738,0.11322915465962245,0.2303568193212761,0.024313890923229838,0.07600687564884973,0.06803609880127127,0.08804157182838729,0.11536218947945039,-0.010829546652975836,0.059419790801409425,0.038261798481351555,0.09393528049576588,0.11270940501075366,0.08952136235921011,0.07789079136590105,0.08382804384257796,0.041490341238465546,0.0401041257397057,0.05412488422359111,0.06051312345877076,0.14606746102557872,-0.02480152111510313,0.056819613775522276,0.07901918925072345,-0.02991520566071688,-0.0034198713900293262,-0.05322979070837227,-0.02086344060420862,0.014648696380322127,0.014414130949845033,0.0017540780335268376,-0.031565500903198596,-0.036970444729541384,0.03821034747954977,0.0356839317312203
Short-Term Debt & Capital Lease Obligation,-0.0030954215139444214,-0.0028514599237918015,-0.008625864521397662,0.0392245151070723,0.07536100766642766,0.00736182919888294,0.006560057251838652,0.01021834354471889,0.0009444016743945798,-0.0012328547609173658,0.0040821164003616815,0.023021211137042353,-0.008898047998366135,0.03033715012209267,-0.008274421942103819,6.858837770878489e-05,0.08369733163675902,0.012673030325266553,-0.015253409270917465,0.017797919988089737,-0.026421870029977073,0.004858869753252015,0.004494666098407627,-0.037576483503119935,-0.022660883591139287,-0.012214670530680021,-0.008048649136095596,-0.02659548609473828,-0.026411404332899707,-0.02644710344112754,0.03517109237943698,0.03018002128518774,0.022995675432556272,0.09712128746958344,-0.0009002447921349199,-0.002219103084251591,-0.01710385856004495,-0.010371285018756594,-0.03847638570515941,-0.0021438732327023506,-0.04689481325449264,-0.012039044368497835,0.015880471102725446,0.011563783947056084,0.007901013123365937,-0.06455946314941047,-0.06653966228536089,-0.037601234829946345,-0.03791560692958849
  Current Deferred Revenue,-0.07547391628272876,0.10375744528718403,0.13655294230678217,0.12489581443787637,0.0033473437672419046,-0.0061009679729140676,-0.006351116777598989,-0.004941372861776717,0.020734897748969028,0.07410604446059722,0.11329648941179246,0.10437071363170561,0.08932319949505237,0.006813275478873851,0.13044740509461666,0.12108384489361386,0.10711175176570122,0.038754513477373125,0.10849064213088423,0.06247537886377397,0.11482669137691862,0.09376638415924513,-0.00949690082920673,0.145773957951918,0.07286615459393232,0.08333403396623483,0.07248097065989907,0.08283163175024184,0.08332316715211961,0.08431402536146777,0.00254289157586824,0.0736134925779004,0.10446763996315847,0.07481543999845905,0.09384865239250173,0.04627823292930398,0.08071889812268607,0.043419492970917954,-0.018627669890650005,0.00039349411757108425,-0.008640531672619753,-0.017448690884292184,0.013178368865813847,0.017348593745142638,0.02025070058962819,-0.0016790805996537714,0.040013889644199295,0.033066726188711655,0.09297930146882603
  Current Deferred Taxes Liabilities,-0.054198799035665914,-0.03958240665578138,0.005122902205989492,-0.024900106609827225,0.000844789091839538,0.004419054445955586,-0.0007889465729792821,0.0019118898208243112,0.023350714631103362,0.0704791640350286,0.10114836196040189,0.13434545822217359,0.08510943852869131,0.011987487464273212,0.12872690600517483,0.13703664637990573,0.12066885060741332,0.08030025577187631,0.0897566470121488,0.07938323649546677,0.075435739908959,0.08284866278812308,-0.007355556342968823,0.1507879846520008,0.09747101818392909,0.07389206564799114,0.07989579373595312,0.07732234651938137,0.07760829789488678,0.0708884990799074,0.02616605557616413,0.00918368554262908,-0.009180043483739827,0.04615177735519768,0.11818941964071288,0.06867549535539776,0.04425992737365386,0.0763658540636654,-0.042908570032674315,-0.007761488940099148,-0.01769426822627458,-0.008163113916748625,0.030354047107499487,0.030983342266119405,0.03380835976259293,-0.03383733584029189,0.01771911094968176,0.009899941248894277,0.08835913636460815
DeferredTaxAndRevenue,-0.04686847681877872,0.09778546231562621,0.06984892666036499,0.055674574966038406,-0.023296262862950706,0.021431760983929023,0.020815771529177237,0.020936101689540385,0.018891955109701528,0.05535642199936719,0.10711143336783548,0.10541303060395041,0.06470760835117274,0.031019563608439896,0.13342982308849335,0.1274047078609723,0.12353491335515426,0.030418463238743382,0.07844157290319062,0.06004637134265849,0.09829536165504264,0.09021746041101243,-0.004404813671255287,0.0903622790435708,0.039457510450007054,0.06934018204309379,0.0947890886843636,0.06159365123779118,0.03613118388897429,0.06289869027806574,0.03081144279601244,0.03054111548569475,0.05714823448796157,0.044018816437540596,0.06395144837129298,-0.018088375837215332,0.05678057897582532,0.05878367299674773,-0.0201949715657009,-0.017435287215330324,-0.029116099176540615,-0.012406352016192689,-0.008976706861192212,0.007335996248156208,0.018783696257763133,-0.0014878779503963747,0.006910729714045503,0.029509257835957987,0.06833346937570907
Other Current Liabilities,0.021648102126090855,0.013505294999710104,0.0135380931507472,0.11707460239053126,0.12268314846615318,0.01409209298853665,0.026108094153446424,0.008407371179309023,0.022927415222754394,0.05491024091288641,-0.0014298669871856164,-0.000729486406145109,-0.015268073584235159,0.039617068397228214,0.003994591053823062,-0.014041464525645812,-0.008375671708836734,-0.0036224835690655223,0.03333193989487943,0.021922611671829396,0.00016464084353926857,-0.00829137103250974,0.016003748778739946,-0.02162581415165226,-0.01396701575445107,-0.028226613945393365,-0.02416056381644458,-0.01725381202341501,-0.014569641163987406,-0.017123040021938297,0.03036347875040677,0.005251191271742447,0.01653044373768244,0.12181301094475346,-0.0155308169130562,0.024909011851485717,-0.004186076613630026,-0.006558839007958757,0.005924201860294039,0.0024604119464222704,0.001397783760635941,-0.006825406402466108,0.04324105229466995,0.043637274735584236,0.015178195965702707,0.014589589581173956,0.022587213466615796,-0.030990481824406165,-0.028988186967982756
Total Current Liabilities,0.01253011972117329,0.017983109801857397,0.011278436368101398,0.03896685285185432,0.04109776048196628,-0.007016468367778201,-0.008540606634783985,-0.009982866259286186,0.004008462549009709,0.04095626108366888,0.0014639922415010534,0.000982351310087756,0.04738027108943755,0.03016236960623104,0.09448842194223941,0.07005328414987681,0.09019504326134972,0.0028933252017310437,0.057983380372604476,0.02227386916876553,0.032896400109534686,0.017504379790682555,0.0074212398492399245,-0.011719076255460916,0.0024537678297987557,-0.026779181121019985,-0.021684967721395977,-0.012339092063809776,-0.015914338682827142,-0.013691531446145634,0.04949079144024525,0.028415053766127404,0.021083193445838314,0.1370578733906246,0.008199002799366386,0.0026854115212683457,0.018291458010129918,0.014436680279516615,-0.007294121318998036,0.00503814883338156,-0.011672197496860411,-0.004719386216114539,0.024979426162722973,0.017366141929892588,0.07445102675618318,0.03607535270474561,0.04465403013181866,-0.02473952374336175,-0.02196612497162979
  Long-Term Debt,-0.02777835207980982,0.06218947740300785,0.06400929834703274,0.07798211902467889,0.07826501054824006,0.0680168076795535,0.06684918667629225,0.05642887468442841,0.07138765492414537,0.022893579459448397,-0.026769716653382403,-0.0108186754748878,-0.030477843184081893,0.018930506245967958,0.012646610621216359,0.04041119201337049,-0.02775385550789459,0.07458253922193853,-0.020158773105820923,-0.030887131247085784,-0.034049349112185816,-0.030892754471778056,-0.0036706891273051365,-0.02805875758502814,-0.02439734955210695,-0.04232766433192261,-0.030537795348538045,-0.02998734068165284,-0.02908679868637494,-0.03636758970780614,0.007811906409718156,-0.011643893423810923,0.06211271922240951,0.06482001839499718,-0.030601240439951854,-0.022878902825844233,-0.01638306563760239,-0.014659984497575631,-0.04772336194896268,-0.031075885481208446,-0.04073609386411996,-0.04221779909690147,-0.019741291070472573,-0.01756875680898299,0.012218812573239408,-0.06547391312837059,-0.027191148653651444,-0.06962622520868493,-0.05933391587351634
  Long-Term Capital Lease Obligation,0.03645141320361882,0.06398996840885848,0.048976353538683175,0.08117598687393332,0.08674490529040293,0.056783670038443,0.07079901893227543,0.07347955827772663,0.0630637490843654,0.07152119595485609,-0.012701416378574496,-0.015811512164873885,-0.048152047022841094,-0.043657966024901844,-0.00666389628984992,-0.020910346264536223,-0.027624083403062983,0.008324321483348354,-0.044442990209920444,-0.04168270555436181,-0.04510936229356066,-0.03313405226257201,-0.02719791793190343,-0.07056962955475268,-0.06147033655742283,-0.058216874634205426,-0.054827000907737566,-0.06422744749581051,-0.06870122790357512,-0.06514063467274865,0.03072040488044654,0.02778405852450643,0.07793750870218392,-0.01142391684245873,-0.048159167448545766,-0.05631284338423802,-0.022609105763514867,-0.01666308248580483,-0.06005139191351465,-0.03531049007441033,-0.07368644381509684,-0.052569693543624355,0.042687597743192335,0.03982839843061761,-0.0005879440090664852,-0.05155351931361902,-0.05218610540811282,-0.0776426919844033,-0.08994250972865188
Long-Term Debt & Capital Lease Obligation,-0.003335186493494338,0.0013584688571723954,-0.010234630861347427,0.03657864853992266,0.07193196658188211,0.0033221403823203914,0.002940943872259192,0.006602044826498149,-0.0015790287768431704,-0.007877365080472704,0.005511754333541934,0.02502637121655553,-0.006287944860999965,0.030805699135488872,0.0017534193755660175,-0.004512530850052982,0.08475904788291627,0.00880188594443037,-0.01546570412903461,0.023756906340213862,-0.03264667200821649,0.0047836882018579534,0.004883170092050455,-0.03473413218840491,-0.02407668545914123,-0.0041061067108352865,-0.006552730159615576,-0.02473371155115396,-0.025323865826102562,-0.02264777391341962,0.05188398093308585,0.0460003888118798,0.011129717230733307,0.074981850425302,0.0007698514753651884,-0.012358531356039707,-0.021708114771914245,-0.006414610344930523,-0.042887510923861755,-0.0027771993309109507,-0.04706454621873839,-0.014077893104001217,0.009886948273112987,0.011142329614467525,0.006412751461310498,-0.05267657624674158,-0.05564331976652563,-0.04635773644847852,-0.05935836209398684
Debt-to-Equity.1,0.08939785880811307,0.15755579524471583,0.14892499517075763,0.1625588839234237,0.1099301601265211,0.08768459386875783,0.08669757333159789,0.08673201231668094,0.09036371379487473,0.1286392163583683,0.054678148371529345,0.10276582157284485,0.05734963624823043,-0.03638044934881263,0.08231022318891529,0.1060079406575517,0.0033365271881786165,0.1534750889605061,0.024470943289159386,-0.011882440610391514,0.010194983598588832,0.022249614740198768,0.01828072939812544,0.041094572161956326,0.010524666162914958,0.00798813719364769,0.006660954230772434,0.023766257774768092,0.014667154097218686,0.0071425257140114076,0.03496263977437274,0.03883059610243425,0.08639442393940672,0.0034664991445865264,0.028173299679820213,0.018080877419374905,0.026265983151659393,0.041902964870666984,0.05176109935606384,0.05758021129858974,0.07734152294410089,0.05060327994203433,0.06632511470447104,0.06578704523760509,0.0869575172412672,0.09381490660052036,0.09844827556145645,0.013036718554063362,0.049790284515187515
PensionAndRetirementBenefit,-0.0322672087326222,-0.0028700344109903477,0.01673678347288963,-0.014591527736024807,-0.00063596279260578,0.01952849677401087,0.028979440254430312,0.042128530793581816,0.08423093173544823,0.09946120848189965,0.11229222783718608,0.17160417705542547,0.10863444961031725,0.037420788105479955,0.14084005055505427,0.24481600334538162,0.12462545936069482,0.0811546189877604,0.12069594741100045,0.10193217712701244,0.18393257795337753,0.09895386435756147,0.0574488062285926,0.15223424698264837,0.11522073020934188,0.151421166141724,0.09642642391269815,0.15120057299730438,0.10797798309670034,0.09437738716221154,0.07736770099665931,0.03480696049176637,0.02916500938873462,0.07690609118172587,0.08851948000810958,-0.02353177977174917,0.03372691921014314,0.05668761199236236,-0.02349966874052481,0.004639049609028577,-0.030420896276675505,-0.01705641605077124,0.020057585225885678,0.017423542766718123,0.00782516384801412,-0.0025522779048355432,-0.00574654419232478,0.029294796127032226,0.0024639146307187222
NonCurrent Deferred Liabilities,-0.04452714866609733,-0.02352790315239077,-0.0017507995720907076,-0.003985391024147285,0.002432823537055184,-0.0019807506386648245,-0.0012781651843503457,0.00045167161788759727,0.024074513647503976,0.07035611319048005,0.10477433169692607,0.12526847051423426,0.08545484513557637,0.015959320894308526,0.1118083487244718,0.10693478672676053,0.114752902753545,0.019561757569959676,0.10117478869485257,0.07865763814450907,0.08251333100358431,0.08185071479203178,-0.005493818621767998,0.049391196415785786,0.02454075570258619,0.06386698374290081,0.07779575989816372,0.0762322771254096,0.08886142414925065,0.07561000884552704,0.018352969278990633,0.02541922377239803,0.002084715084565816,0.04910739200283641,0.09379793230505051,-0.01862943912164136,0.07035247604563373,0.07120894340977725,-0.030150434821080402,-0.005087203413558096,-0.01692313317693991,-0.005092912431212045,0.01188863292862637,0.015304289373594347,0.02884863324119167,0.0003526369468012996,0.03267897009174324,0.03354876178691501,0.0911087437173035
Other Long-Term Liabilities,-0.005915033904166807,-0.008480246319712972,-0.009220266854061248,-0.000305088743404203,0.010141312691732867,0.003014581017329444,-0.01283255439748326,0.0005239781618135769,0.008446228720666799,0.01822661360721319,0.03201851291824903,0.04295283018067712,-0.023944310668997958,0.026841652900359936,0.008824154026116436,0.020239187589509093,-0.0007853971870021275,-0.0033865281098138535,0.033125916066422775,0.12246648993422375,0.0020610525918555887,-0.003839375616939624,0.03421051547243728,-0.03995783291388584,-0.01252497696830897,-0.036100447641717576,-0.020918028067860726,-0.022473234523272014,-0.02206710292297158,-0.023077483315198613,-0.0006350693835003251,0.013824622029992142,0.0018656379846282729,0.1308962121667096,-0.01588155911473089,0.028862313495397855,0.010225167800272855,0.006062583776695016,0.0010986305321493489,0.0026258594554765253,-0.028705372698671586,-0.00794120930822768,0.017699746284960342,0.01519351686700375,0.02320435204395704,0.017806128517859298,-0.022459713238570697,-0.048200707423704046,-0.04197985009847347
Total Long-Term Liabilities,0.016211197368510746,0.02591703904949282,-0.00552182830878823,-0.00967275946387381,0.004162204029929,0.0016480989524970905,-0.003899203975375914,0.004637641390301772,0.010272038177481766,0.03241946088096893,-0.0016897488675443012,0.012385724582000799,0.06263330507475497,0.057181960788500345,0.09550298918862903,0.019692905533436007,0.02942500557802303,-0.009529377990059516,0.013229644728562931,0.08958995996855659,-0.0055365796572429925,0.0006799663653949805,0.002768797406917327,-0.00858065250563113,-0.008792450327785684,-0.011491391236916787,0.00042341006097508776,0.00551512636935632,0.006064332806255339,0.0028663128133606004,0.023141399240252665,0.003625656979351682,0.026488241806761476,0.1193177528370877,0.03932660672106432,0.029166862096828644,-0.0015531265108182477,-0.0009992784610362549,0.0024641744682748273,0.0012670003586302504,-0.03892892437248117,-0.008707630501122495,0.03733616012516128,0.04013999724152625,0.02211271427069876,0.004533289947844858,-0.02035331070124736,-0.021918856370205086,-0.006025798314691123
Total Liabilities,0.008828574834970454,0.05484510029647977,0.007109068686030199,0.03307025539269601,0.03860583962942306,0.0005082393234324663,0.008238233189448062,-0.0027200777535618227,0.0069417597160455775,0.014666821155126124,-0.004800395605396199,-0.019306902697208375,0.10571165366724723,0.042719164827021115,0.10170600028366902,0.016472347860112438,0.02106066076160324,0.015873632926267003,0.013116382384919006,0.0003435331366221854,0.0022857402972151263,0.012960147622174536,0.013041883502717391,-0.004596904716382679,0.007813978835637692,-0.03201272816484235,-0.024234354965499985,-0.01584696071754379,-0.004384385673064057,-0.009176436862313434,0.049259132846488626,0.036913886447677874,0.023871258863958134,0.1402317490084521,0.02855836717258308,-0.023512866351236828,0.019787761456247513,0.016524606524107012,-0.0007961539851199591,0.0047799499894510475,7.355918018442766e-05,0.0024089041288910683,0.027129253397413573,0.02631822698963747,0.07563452759649623,0.01650993865788401,0.029231461176527605,-0.016413861302780476,-0.0031343016302467237
Common Stock,0.05299163598292974,0.02564601316137547,0.008928935574748453,0.023769681414830213,0.025822126340406624,0.02533599934197675,0.008248120133079587,0.009322602204707469,0.008031124022710064,0.02012605434613776,0.008991692674936515,0.001116241048941999,-0.002031569067107946,0.034101708805877436,0.022321573776770742,0.02373157156528158,-0.024434475736487576,0.05339412021694344,0.002034309539663314,-0.005731853140796807,0.008332625224840389,0.019306112601480036,0.027016480202829558,0.016020020333588902,0.007144664563289703,0.004474758650067284,0.004328231100566342,0.0036389552542125895,0.4872873989919696,0.4956683443735157,0.02473681218287551,0.019035144482708443,0.013607600921247857,0.10780383497478925,-0.003285883151047214,0.003771086423853923,0.01860708567628069,0.009158543291679398,-0.003596165075099092,0.005299530482040149,-0.001973614162570362,-0.010127210761894368,0.0848949337393127,0.08534381602508496,0.02086750581727248,-4.3040494502361634e-05,-0.0021778750986239767,-0.015500113167912347,-0.009458647049237243
Preferred Stock,-0.008507620097468858,0.013558942409005896,0.022090909307849644,-8.08150822716085e-05,-0.001296997015293913,0.023139334785765592,-0.03169915742050856,-0.0023173990034950293,-0.02303827710990986,0.01299063172849691,0.09539988651406212,0.11528008209477617,0.09218892007667659,0.0294183075012927,0.08101134067269669,0.13397458765303472,0.09075152118459566,0.025561255908295524,0.08134493023348877,0.016594697669261423,0.08823984775326367,0.06637878676226916,-0.02641591654140314,0.1121509378454201,0.030196527140066754,0.03163311464871805,0.043802607269573586,0.03484635338970949,0.18279929953665713,0.1411733912989098,0.007147873039461001,0.004794439905775116,0.022867120581701914,0.06031340489286501,0.0927892443334836,-0.019141610851727414,0.06043806411702219,0.06171403750947451,-0.023070986613552506,-0.048895874848760575,-0.010172863623749034,-0.051572435323483976,0.024495621048456213,0.02281295208970467,0.00273522636514079,-0.0004927274483827924,0.03232271124500878,0.06046715876639813,0.10575318060776377
Retained Earnings,0.0871617982610066,0.08983314467885234,0.10372312533631321,0.034105000112482506,0.026449590419314287,0.09503729743187361,0.01899581066079548,0.01987265093508325,0.02771225376516305,0.03873080493367293,0.014206048581704482,0.018097390515286253,0.056615358314517604,0.08802333697391232,0.07798580821522248,0.07719846975007799,-0.0014081353347543762,0.05183258540890198,0.10693742076152261,0.05020025024083872,0.08250829768481634,0.022228830174561176,-0.015853453735600626,0.0011358891872056726,-0.01971823672140734,0.05785410085160745,0.05650740442986578,0.008010005756407451,0.05969306437954826,0.06839112584679498,0.05423692164959642,0.05672251547167503,0.09312232426829417,0.18742129823342035,0.06495177428319729,0.021854128503711982,0.02636764289914586,0.10642276388081334,-0.018092323428981153,-0.01718498851485572,-0.0003357903353204254,-0.006408279771854276,0.0444577505830189,0.033652697858393525,0.05979687127418016,0.002595024499627801,0.047096678488953596,-0.047970704092182195,-0.017254177679088087
Accumulated other comprehensive income (loss),-0.02710702388449079,0.04447767085309071,-0.025826405591888698,-0.03729610802980135,-0.002157782907385512,0.08698622231438385,0.021227317969270465,0.03550956109749201,0.01794560983478958,0.03787084273125843,0.11830809631560757,0.18124146689365972,0.1590983093504693,0.11716874118019319,0.23916919729763467,0.22294919552370415,0.2024352430612919,0.07034057009853306,0.17246013375346206,0.2014209287069906,0.18093022593526542,0.19910831906906742,0.07285743211858256,0.1514674583820611,0.11192702023737255,0.195737218592969,0.195737218592969,0.19531472939548744,0.20110746484352168,0.19636873900605106,0.07089568974602081,0.06578614214080518,0.0518492161507008,0.045471342582213345,0.1790725154251988,0.0610130303915727,0.145617212531212,0.07099426985415652,-0.015590912646584515,-0.00898591185433342,-0.0355322159424982,0.0032068885045195353,0.02980262272699917,0.0296808668395648,0.0334210416759672,-0.0003126874693410897,-0.003996009427802552,0.03590757840274526,0.031282892836763124
Additional Paid-In Capital,0.012156398311352117,0.0033041920562446652,-0.014168979217963083,-0.00591741930982358,-0.008443636896847488,0.003276816768520148,0.009348049425652642,0.008548777245378905,0.012171833971669016,0.002774309648665709,0.0073158424285611565,0.023885389809865074,0.0320473431374595,0.03494015436172173,0.08836726220642424,0.024652765552782164,0.08375982093826242,0.024873043960885185,0.0736901202023592,0.03111296992430289,0.03501080531288745,0.034255158496320326,-0.00017492581608925068,-0.014015699650972088,0.012934266575857332,-0.003678146417607778,0.0033574637920057784,-0.0038265952969597063,0.013095454299643247,-0.005793273374100222,0.038120448410284946,0.03471910982066333,-0.002165222822531478,-0.005975923076442586,0.01765058346524421,-0.00725467075303653,0.015675320397060297,0.02020261377783779,-0.01319160600092182,-0.010531047341482603,-0.03159167849355354,-0.009895219863882303,0.034361787874202666,0.03416998342643651,0.02243995969798197,-0.03130103518232441,-0.04270485171077114,-0.011998045907634458,-0.005672694775802797
Treasury Stock,-0.012762082670147681,-0.004687508895694565,-0.016482091460588714,-0.0006545237983884905,-0.020710964977389043,-0.03602430692874294,-0.031612853743675576,-0.021447525669597928,-0.03073244754790973,-0.011269638833999198,0.0786754171237725,0.1091423168178791,0.09108089801794496,-0.02294851529288677,0.06729109717343094,0.12385407558199708,0.18075993387344308,0.024261717076789296,0.08287727554082465,0.08655562306421692,0.08960723895797126,0.06716758425007453,-0.03036874436575393,0.07927757749475073,0.017048267787769352,0.02671697734464462,0.038413310902001306,0.034695038049503815,0.1723228613829979,0.13800380825085598,0.02511315610244532,-0.005727648879903791,0.019309145829099088,0.019570583223307302,0.06868899633480528,-0.04219250426874653,0.06066442183703317,0.00886341711021839,-0.005189975623101627,-0.02184510750897696,-0.018969731044532236,-0.06011077855504615,-0.044423901097943835,-0.03555466144971716,-0.022961478846463285,0.036855808480188004,0.0264910129133057,0.07714942317507106,0.06023956068174634
Other Stockholders Equity,0.010314098554743287,0.0029794025010365915,0.002182366912026593,0.03583815519341792,0.025679384561380057,-0.00358776360997486,0.014684283495010572,0.0029876433440399865,0.013420073350598787,0.005089785237183257,0.020507827164580477,0.029327004241157535,-0.013103353795189471,0.01641105406616278,0.018583139523018023,0.01948733511399692,-0.0004826952732541485,0.009983026058107957,0.03268664043940245,0.11648596828931719,0.0018795633381728074,-0.006508834817189276,0.04853755594628916,-0.013167565541167423,-0.0159329342573127,-0.005946970040123983,-0.00952611364368725,-0.015925771500735403,0.06897231297930399,0.08382156989419175,0.032536897386605784,0.015666480069869503,0.0017679716817451908,0.1405637010601588,-0.016809951457497703,0.017886803519572732,-0.017002695497467777,-0.0037482862382266042,0.00304255010817144,0.019128728525601428,0.0004101347044616415,0.0096156026742654,0.08403903168782523,0.08298035261439862,0.05618529468457684,0.04719970575463345,0.07134637434382764,-0.017059729117814393,-0.019265609589085443
Total Stockholders Equity,0.014931068853353907,0.021996817992940614,0.0062292749098639515,0.0393281838385565,0.024611545680827067,0.00013873675717277455,0.01988276691773753,0.007709242428057674,0.016893406014549025,0.0039039445546292088,0.0201439792126276,0.026531864190829504,0.06428812534089309,0.04396545273646391,0.03909304721062711,0.012513348513045072,0.006185764818603474,0.017813678488362343,0.08995828744796316,0.09361349164959709,0.022094047564719756,0.02113106237595213,0.006602773789478841,0.00025277282153389827,-0.0024282180353869427,-0.005984778247824927,-0.005984778247824927,0.008184528362824562,0.08628048580064143,0.09001125909011767,0.058969467232737424,0.03718062908565688,0.026247509048008127,0.01914196352932782,0.024870975602856584,-0.0030841246879906433,0.013457698180988586,0.011072470606761305,0.0001227964430278941,0.014081102468028099,-0.002889671580811202,0.007749998625424217,0.0835385743373016,0.08688282054156317,0.06215271239255874,0.0493630760792887,0.07206941997683873,-0.007236595729141268,-0.012300125128889318
Minority Interest,0.030545860552921626,0.0391994047450182,0.034978146254562435,0.03959202274627614,0.03147005228482748,0.047052740536413215,0.03769623039643578,0.035093465376227116,0.037863034280123005,0.048381524095453377,0.024494730930762074,0.022847315261318682,0.03099946336210129,0.005595850001618507,0.036747976097631765,0.07568106178107507,0.04769932918688394,0.08572303871151687,0.04561654542824569,0.02863641812180256,0.040321465695967805,0.04444520146504537,0.038985114056260865,0.02930430616322085,0.02934360108280178,0.039845505865044636,0.03289580475690184,0.5176104589455915,0.029984281873443496,0.026708240138835177,0.019534236514640504,0.021293384094862314,0.033669836089345984,0.14579026390767644,0.027197863789210443,0.032391328422861285,0.052053311293631686,0.0403269131570543,-0.006266684006319912,0.0036894136872595413,0.014515712575923106,-0.0033269718374414475,0.03464801184864545,0.03322626750490234,0.013520239330633009,-0.04549605512532511,-0.010862338522430603,0.003421227519687196,0.02744317146206439
